method,sparse_rate,sparse_seed,feature,importance
direct_rf_geometry,0.005,22,x_norm,0.009351055866043517
direct_rf_geometry,0.005,22,y_norm,0.00928923261740576
direct_rf_geometry,0.005,22,distance_m,0.08613961819432321
direct_rf_geometry,0.005,22,log10_distance_m,0.09454907244530837
direct_rf_geometry,0.005,22,fspl_db,0.09671305421881803
direct_rf_geometry,0.005,22,los,7.305098619151537e-05
direct_rf_geometry,0.005,22,wall_count,0.002279477187786379
direct_rf_geometry,0.005,22,wall_fraction,0.007644946535109457
direct_rf_geometry,0.005,22,mat_1_count,0.007863477554666265
direct_rf_geometry,0.005,22,mat_2_count,0.002517376768610677
direct_rf_geometry,0.005,22,mat_3_count,0.003551185562319317
direct_rf_geometry,0.005,22,transmittance_sum,0.6305095390265428
direct_rf_geometry,0.005,22,reflectance_sum,0.0058910527485412775
direct_rf_geometry,0.005,22,anchor_dist_px_nn_1,0.0017220599309112766
direct_rf_geometry,0.005,22,anchor_dist_px_nn_2,0.0016450628963552527
direct_rf_geometry,0.005,22,anchor_dist_px_nn_3,0.0017093215260653811
direct_rf_geometry,0.005,22,anchor_dist_px_nn_4,0.0020654898680597324
direct_rf_geometry,0.005,22,anchor_density,0.03648592606694164
direct_rf_sparse_anchor,0.005,22,x_norm,0.005775075205760761
direct_rf_sparse_anchor,0.005,22,y_norm,0.005867129158051024
direct_rf_sparse_anchor,0.005,22,distance_m,0.0041993232174072975
direct_rf_sparse_anchor,0.005,22,log10_distance_m,0.004128033924874958
direct_rf_sparse_anchor,0.005,22,fspl_db,0.004030565746829536
direct_rf_sparse_anchor,0.005,22,los,2.5794253050451376e-05
direct_rf_sparse_anchor,0.005,22,wall_count,0.001624415135397143
direct_rf_sparse_anchor,0.005,22,wall_fraction,0.004697409840568971
direct_rf_sparse_anchor,0.005,22,mat_1_count,0.0034736704859798678
direct_rf_sparse_anchor,0.005,22,mat_2_count,0.0009119220185529545
direct_rf_sparse_anchor,0.005,22,mat_3_count,0.0014036783592686957
direct_rf_sparse_anchor,0.005,22,transmittance_sum,0.031109878861046127
direct_rf_sparse_anchor,0.005,22,reflectance_sum,0.0033618554051089537
direct_rf_sparse_anchor,0.005,22,fspl_pred_db,0.004178867798273256
direct_rf_sparse_anchor,0.005,22,log_distance_pred_db,0.018161563088368086
direct_rf_sparse_anchor,0.005,22,multi_wall_pred_db,0.8983526053781055
direct_rf_sparse_anchor,0.005,22,anchor_dist_px_nn_1,0.0011093073167831487
direct_rf_sparse_anchor,0.005,22,anchor_dist_px_nn_2,0.001074131361518851
direct_rf_sparse_anchor,0.005,22,anchor_dist_px_nn_3,0.0011273701457505492
direct_rf_sparse_anchor,0.005,22,anchor_dist_px_nn_4,0.0013077181592168494
direct_rf_sparse_anchor,0.005,22,anchor_density,0.004079685140086856
direct_rf_all_features,0.005,22,x_norm,0.0006860189967885051
direct_rf_all_features,0.005,22,y_norm,0.0006358699014451546
direct_rf_all_features,0.005,22,distance_m,0.000847703345829139
direct_rf_all_features,0.005,22,log10_distance_m,0.0009008306102437899
direct_rf_all_features,0.005,22,fspl_db,0.0008587546525259157
direct_rf_all_features,0.005,22,los,7.326837729880829e-06
direct_rf_all_features,0.005,22,wall_count,0.00046148997340478515
direct_rf_all_features,0.005,22,wall_fraction,0.0013818225512376584
direct_rf_all_features,0.005,22,mat_1_count,0.0006626384339795191
direct_rf_all_features,0.005,22,mat_2_count,8.374333145087211e-05
direct_rf_all_features,0.005,22,mat_3_count,0.0002341985640102167
direct_rf_all_features,0.005,22,transmittance_sum,0.002937657104698757
direct_rf_all_features,0.005,22,reflectance_sum,0.0006666961735881289
direct_rf_all_features,0.005,22,fspl_pred_db,0.00091953043886825
direct_rf_all_features,0.005,22,log_distance_pred_db,0.006990308418895308
direct_rf_all_features,0.005,22,multi_wall_pred_db,0.0007202731865081229
direct_rf_all_features,0.005,22,multi_wall_residual_idw_pred_db,0.9651963562405174
direct_rf_all_features,0.005,22,anchor_residual_idw,0.0034318933789781302
direct_rf_all_features,0.005,22,anchor_residual_nn_1,0.005248208572187189
direct_rf_all_features,0.005,22,anchor_residual_nn_2,0.001992737186243917
