method,sparse_rate,sparse_seed,scene_id,sample_id,anchor_count,valid_count,mw_anchor_count,mw_design_rank,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,los_rmse,nlos_rmse,high_wall_rmse,unclipped_rmse,unclipped_count,clipped_pixel_fraction,non_anchor_rmse,non_anchor_mae,non_anchor_p90_ae,non_anchor_count,non_anchor_los_rmse,non_anchor_nlos_rmse,free_space_rmse,free_space_mae,free_space_p90_ae,free_space_count,wall_region_rmse,rmse_delta_vs_multi_wall,rmse_delta_vs_direct_rf
log_distance,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,7.340912565195104,6.0002593994140625,5.552909851074219,11.681365966796875,13.263067245483398,0.15397194027900696,7.339511394500732,17170,12.39644370287657,7.251752712325364,7.163095411970138,7.340912565195104,17170,0.0,7.341787808995405,6.000735282897949,11.682818412780762,17084,12.350867889750127,7.253620394725484,7.361443640660413,6.0277862548828125,11.73161506652832,15797,7.1004234932620385,0.37922892399551955,3.755180189096911
multi_wall,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,6.961683641199585,5.451525688171387,4.816989898681641,10.401664733886719,12.703951835632324,0.10808439552783966,6.961047172546387,17170,8.997784381236,6.931185461233571,6.906399930527548,6.961683641199585,17170,0.0,6.964530102973813,5.453331470489502,10.400038719177246,17084,8.963557824946168,6.9346449471925835,6.871511745631906,5.427149772644043,10.344622611999512,15797,7.925689592403225,0.0,3.3759512651013917
idw,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,5.538036676329316,4.419666767120361,3.6862831115722656,9.122629165649414,10.675422668457031,0.613635778427124,5.504095554351807,17170,12.008522042864398,5.402726837532492,5.289734619550878,5.538036676329316,17170,0.0,5.551958277733571,4.441915035247803,9.131770133972168,17084,12.035783194957592,5.416325466738868,5.486624970217264,4.378871917724609,9.017850875854492,15797,6.098451278184883,-1.4236469648702688,1.952304300231123
multi_wall_residual_idw,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,4.7524958307901475,3.3656394481658936,2.6852760314941406,6.788214683532715,8.364169120788574,-0.027120525017380714,4.752556800842285,17170,4.463746671521699,4.756145087110534,4.756208033858863,4.7524958307901475,17170,0.0,4.764442727587425,3.382581949234009,6.800071716308594,17084,4.473880048175669,4.7681162741492775,4.606188876026587,3.302527904510498,6.6539764404296875,15797,6.191927299060773,-2.2091878104094373,1.1667634546919543
direct_rf_geometry,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,11.318369965191652,8.384969711303711,5.9700927734375,19.86170768737793,24.312376022338867,-7.459033012390137,8.513080596923828,17170,1.0688496977603523,11.391267923042296,11.560598693919733,11.318369965191652,17170,0.0,11.316097715276854,8.382911682128906,19.85492515563965,17084,1.0710634740944656,11.389013851936404,11.400019679439733,8.433903694152832,20.006515502929688,15797,10.332639583414442,4.356686323992067,7.732637589093459
direct_rf_sparse_anchor,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,5.081649832218333,4.107787132263184,3.631816864013672,8.276687622070312,9.8477783203125,0.36886173486709595,5.068392276763916,17170,1.0779636068826206,5.113191251046245,5.178349020938343,5.081649832218333,17170,0.0,5.083208732322779,4.108535289764404,8.276264190673828,17084,1.080409405781042,5.114769499339214,5.043073707264785,4.07582426071167,8.216672897338867,15797,5.50607695377747,-1.8800338089812518,1.4959174561201398
direct_rf_all_features,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,3.585732376098193,2.716075897216797,2.071077346801758,5.8783674240112305,7.300826549530029,0.03371953219175339,3.5856781005859375,17170,1.0992815055447653,3.606850439404976,3.644181764614056,3.585732376098193,17170,0.0,3.5941599216856845,2.7261364459991455,5.883312225341797,17084,1.1010045910590778,3.615341436237932,3.5133660690096495,2.650726556777954,5.757261753082275,15797,4.332232869687318,-3.3759512651013917,0.0
direct_extra_all_features,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,3.555795788292529,2.7116751670837402,2.131650924682617,5.884760856628418,7.251277923583984,-0.24198752641677856,3.5476555824279785,17170,1.1368896209259134,3.576547618779214,3.6112185151898464,3.555795788292529,17170,0.0,3.563890018157131,2.7211806774139404,5.900302886962891,17084,1.1386658409940718,3.584702668444862,3.484869398310708,2.6482861042022705,5.753213405609131,15797,4.288257755914603,-3.405887852907056,-0.029936587805664328
wallpath_rf,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,3.761883374056555,2.781177520751953,2.1263160705566406,6.076670169830322,7.463255882263184,0.018967952579259872,3.7619450092315674,17170,2.3300246535345672,3.7769701484378597,3.810018111270529,3.761883374056555,17170,0.0,3.7709644960222173,2.792287588119507,6.086238861083984,17084,2.3343243359443306,3.7861057848282673,3.612041663961255,2.6988768577575684,5.9887800216674805,15797,5.183087866192522,-3.1998002671430297,0.17615099795836198
wallpath_extra,0.005,22,B21,B21_Ant1_f1_S0,86,17170,86,3,3.7583738448503086,2.797379493713379,2.123249053955078,6.109930515289307,7.553170680999756,-0.0333978608250618,3.7583348751068115,17170,1.94886265648436,3.7762458795156877,3.8116212507810867,3.7583738448503086,17170,0.0,3.7675963818160843,2.8093879222869873,6.1188459396362305,17084,1.9532606949483082,3.785523663443072,3.6501372622714228,2.7212326526641846,5.999056816101074,15797,4.8323163497866375,-3.2033097963492763,0.1726414687521154
