split,method,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,unique_test_points,protocol,random_seed,run_dir
leave_config_out,direct_extra,7.143337159020351,5.697032958739713,4.806413528004242,11.786507293926585,14.220859982474558,0.0613254312957577,7.143073915263465,2288,2288,leave_config_out,11,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,direct_rf,7.093771761949867,5.673834015587475,4.871075396825432,11.600762372349866,14.08813273809524,0.067826926875884,7.093447491779149,2288,2288,leave_config_out,11,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,log_distance,10.148812855111771,8.360766493468521,7.582219249055662,16.41345126278437,19.06242694418811,0.0547390394236962,10.148665232711387,2288,2288,leave_config_out,11,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,multi_wall_linear,7.382521667527986,5.910136900450956,5.052484342674234,11.826372104518246,14.321111321689385,0.0611459227360388,7.382268441858027,2288,2288,leave_config_out,11,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,wallpath_residual_extra,7.033131898427211,5.614963255325464,4.750201329357388,11.475342949057428,13.630989160738222,0.0678705247924317,7.032804411651068,2288,2288,leave_config_out,11,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,wallpath_residual_rf,6.979365851242501,5.57554464013585,4.85207550387247,11.321453046650635,13.785970286007965,0.0851027842105028,6.9788469822463925,2288,2288,leave_config_out,11,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,direct_extra,7.147085087324207,5.7014165402468695,4.802107880899946,11.814279820622165,14.187423428362589,0.0673346509032691,7.146767891168693,2288,2288,leave_config_out,22,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,direct_rf,7.093772172166121,5.67358011952777,4.849468025030525,11.604268885281376,14.044582873376632,0.0448524011173469,7.093630374689145,2288,2288,leave_config_out,22,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,log_distance,10.148812855111771,8.360766493468521,7.582219249055662,16.41345126278437,19.06242694418811,0.0547390394236962,10.148665232711387,2288,2288,leave_config_out,22,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,multi_wall_linear,7.382521667527986,5.910136900450956,5.052484342674234,11.826372104518246,14.321111321689385,0.0611459227360388,7.382268441858027,2288,2288,leave_config_out,22,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,wallpath_residual_extra,7.042358434830967,5.620771576363485,4.752876664142583,11.57184860051115,13.797925933487615,0.0670745521061032,7.042039003661839,2288,2288,leave_config_out,22,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,wallpath_residual_rf,6.970993265208056,5.5702153075408525,4.841904575263797,11.264490105847193,13.810554624186656,0.066779566051216,6.970673395959252,2288,2288,leave_config_out,22,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,direct_extra,7.152634021440348,5.710626729313692,4.793956897677489,11.743360772805628,14.305259974747452,0.0685406510507838,7.152305615940881,2288,2288,leave_config_out,33,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,direct_rf,7.104888700260582,5.68382508399704,4.88185416666667,11.545759486785188,13.959745472582975,0.0388354472516236,7.104782561847144,2288,2288,leave_config_out,33,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,log_distance,10.148812855111771,8.360766493468521,7.582219249055662,16.41345126278437,19.06242694418811,0.0547390394236962,10.148665232711387,2288,2288,leave_config_out,33,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,multi_wall_linear,7.382521667527986,5.910136900450956,5.052484342674234,11.826372104518246,14.321111321689385,0.0611459227360388,7.382268441858027,2288,2288,leave_config_out,33,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,wallpath_residual_extra,7.043010470232171,5.62301783774377,4.73757779552394,11.539913243505188,13.729291411365546,0.0709801582838453,7.042652788610979,2288,2288,leave_config_out,33,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,wallpath_residual_rf,6.970274694863696,5.571182728207318,4.805457778103857,11.196074570842176,13.776309031895073,0.073204307223918,6.969890275410442,2288,2288,leave_config_out,33,results\external_3p5ghz_leave_config_out_seed33
leave_scenario_out,direct_extra,11.164282960107714,8.987323163971118,7.633818799256261,18.887133333333335,21.405026984126984,-0.2332394148138741,11.161846325260385,2288,2288,leave_scenario_out,11,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,direct_rf,10.88679043993475,8.771913646438644,7.530290674603165,18.434656746031777,20.88157746212124,0.1813164384601875,10.885280448026991,2288,2288,leave_scenario_out,11,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,log_distance,14.995307388899615,12.699733794624231,11.961854248134712,24.081148826240756,26.751563632757424,-3.872114898156387,14.486751530383296,2288,2288,leave_scenario_out,11,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,multi_wall_linear,10.082889508176178,8.108078792632682,7.035666287057936,16.208215730275843,20.01722303503161,4.711608308110698,8.914337215128867,2288,2288,leave_scenario_out,11,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,wallpath_residual_extra,10.952979679431651,8.74525945745131,7.5077279630452125,17.770123557401032,21.036297215975136,5.574238959439248,9.428447585955618,2288,2288,leave_scenario_out,11,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,wallpath_residual_rf,11.055069258641156,8.75828891520843,7.421901819425706,18.033243133739983,21.89047700730852,5.465388595168,9.609582915879349,2288,2288,leave_scenario_out,11,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,direct_extra,11.1718226018148,8.976867126591602,7.688438672438636,18.798916666666667,21.394999999999985,-0.3767674081292261,11.165467592832448,2288,2288,leave_scenario_out,22,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,direct_rf,10.953768659717507,8.80645531616832,7.482083333333335,18.398348809523824,21.10563730158732,0.0962809036261855,10.953345508939558,2288,2288,leave_scenario_out,22,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,log_distance,14.995307388899615,12.699733794624231,11.961854248134712,24.081148826240756,26.751563632757424,-3.872114898156387,14.486751530383296,2288,2288,leave_scenario_out,22,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,multi_wall_linear,10.082889508176178,8.108078792632682,7.035666287057936,16.208215730275843,20.01722303503161,4.711608308110698,8.914337215128867,2288,2288,leave_scenario_out,22,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,wallpath_residual_extra,10.968646190306265,8.76335014467505,7.576663090270912,17.694228060053174,21.087021679610118,5.615524537456372,9.42215916960362,2288,2288,leave_scenario_out,22,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,wallpath_residual_rf,11.153320400088043,8.839065568560736,7.453989667009914,18.331402652678296,21.93407279796532,5.578500794985733,9.657995901187974,2288,2288,leave_scenario_out,22,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,direct_extra,11.093482306964928,8.923637095139417,7.691175595238043,18.686466666666718,21.22216666666669,-0.3241470080642393,11.088745574324758,2288,2288,leave_scenario_out,33,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,direct_rf,10.835747170565446,8.729811241489923,7.520926587301545,18.20379761904762,20.8500015873016,0.1796967968216942,10.834257049084128,2288,2288,leave_scenario_out,33,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,log_distance,14.995307388899615,12.699733794624231,11.961854248134712,24.081148826240756,26.751563632757424,-3.872114898156387,14.486751530383296,2288,2288,leave_scenario_out,33,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,multi_wall_linear,10.082889508176178,8.108078792632682,7.035666287057936,16.208215730275843,20.01722303503161,4.711608308110698,8.914337215128867,2288,2288,leave_scenario_out,33,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,wallpath_residual_extra,10.948997657495786,8.742145164969255,7.508585752759366,17.734947061550116,21.210676335943283,5.580067829797702,9.420371156101282,2288,2288,leave_scenario_out,33,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,wallpath_residual_rf,11.092083007016916,8.781087258920472,7.392004657318374,18.18548837264796,21.78008807099782,5.504127875433006,9.630102894851891,2288,2288,leave_scenario_out,33,results\external_3p5ghz_leave_scenario_out_seed33
