split,random_seed,fold,heldout_scenario,heldout_config,method,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,test_count,protocol,run_dir
leave_config_out,11,holdout_C1,,C1,log_distance,9.94192543422546,8.058243084733844,7.014817600078288,16.254086980192156,18.91622625211311,2.5123172055181486,9.619258994255045,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C1,,C1,multi_wall_linear,7.016972195591359,5.77653340062394,5.131323023134392,11.297835466503198,12.771051086293111,2.75624193949498,6.4529860657428335,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C1,,C1,direct_rf,6.994888801463952,5.642451718954372,4.953088849059448,11.24933594690749,13.406437590187592,2.896546677640992,6.366984112520835,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C1,,C1,direct_extra,7.000455129502373,5.6111500673384045,4.806413528004242,11.222558333333357,13.8274355694551,2.875646678950866,6.382556556585687,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C1,,C1,wallpath_residual_extra,6.852775492821253,5.532026546426055,4.797559723497244,10.92599775111683,13.11151757033266,2.858882794956248,6.227946782023328,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C1,,C1,wallpath_residual_rf,6.8461825797391205,5.549313659011332,4.923412507538025,10.897018508174202,12.93930553046366,2.907330865919815,6.198196766092001,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C2,,C2,log_distance,10.360166987648746,8.676255191148972,8.07901286030068,16.547683286173193,19.11226416717461,-2.5081639052176627,10.051973628921347,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C2,,C2,multi_wall_linear,7.7453819702794755,6.049466264556273,4.9541408795371495,12.463617472845936,15.977497969833172,-2.7494542090268563,7.240955974040642,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C2,,C2,direct_rf,7.195445210833422,5.70656126779057,4.801851190476207,12.019214339826828,14.794754238816717,-2.8821236703505853,6.593011067100563,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C2,,C2,direct_extra,7.28936000254696,5.786596545486793,4.808042526797372,12.160410191197728,14.457203687149518,-2.873609584115998,6.699040021137963,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C2,,C2,wallpath_residual_extra,7.216417989834594,5.701454394606276,4.649684574292316,12.023667201204514,14.457992786539103,-2.842756556949834,6.632904624817629,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,11,holdout_C2,,C2,wallpath_residual_rf,7.115602130149389,5.602899806165705,4.745071010953829,11.870760650862271,14.53816693905692,-2.8580779295720653,6.516378152246812,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed11
leave_config_out,22,holdout_C1,,C1,log_distance,9.94192543422546,8.058243084733844,7.014817600078288,16.254086980192156,18.91622625211311,2.5123172055181486,9.619258994255045,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C1,,C1,multi_wall_linear,7.016972195591359,5.77653340062394,5.131323023134392,11.297835466503198,12.771051086293111,2.75624193949498,6.4529860657428335,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C1,,C1,direct_rf,6.975050408805271,5.631356192236717,4.977082680239676,11.305921184648692,13.167177552308802,2.886501481885335,6.349758845849844,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C1,,C1,direct_extra,7.002455798194924,5.609958065244787,4.797665191752685,11.289858333333262,13.955245321703888,2.887393116778804,6.3794473267558285,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C1,,C1,wallpath_residual_extra,6.8661572071366574,5.539214580978352,4.79517199679956,11.052260145963656,13.117892116318126,2.857992455169066,6.243075677845926,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C1,,C1,wallpath_residual_rf,6.820192266625755,5.530764620507214,4.887471233747796,10.893493494389343,12.98760397709836,2.884332168135997,6.180262979647197,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C2,,C2,log_distance,10.360166987648746,8.676255191148972,8.07901286030068,16.547683286173193,19.11226416717461,-2.5081639052176627,10.051973628921347,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C2,,C2,multi_wall_linear,7.7453819702794755,6.049466264556273,4.9541408795371495,12.463617472845936,15.977497969833172,-2.7494542090268563,7.240955974040642,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C2,,C2,direct_rf,7.215501527151935,5.717613643702725,4.7459669913420015,12.055257196969723,14.78165983495674,-2.918581640254983,6.598889565487395,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C2,,C2,direct_extra,7.294858996077274,5.796794664177612,4.803970976138032,12.11380640488545,14.48597916666654,-2.873583463509788,6.70503436612316,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C2,,C2,wallpath_residual_extra,7.221533060947868,5.705823871550839,4.686282419510974,11.984696167939449,14.339363525732804,-2.8434541182309863,6.63817056333131,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,22,holdout_C2,,C2,wallpath_residual_rf,7.12485808318637,5.611356738304503,4.754661871287865,11.802601499082655,14.700573186595246,-2.8715252904086266,6.520578594886333,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed22
leave_config_out,33,holdout_C1,,C1,log_distance,9.94192543422546,8.058243084733844,7.014817600078288,16.254086980192156,18.91622625211311,2.5123172055181486,9.619258994255045,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C1,,C1,multi_wall_linear,7.016972195591359,5.77653340062394,5.131323023134392,11.297835466503198,12.771051086293111,2.75624193949498,6.4529860657428335,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C1,,C1,direct_rf,6.988086579330986,5.63681027025277,5.001809343434324,11.214404761904742,13.285677579365087,2.884524167303597,6.364972456222204,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C1,,C1,direct_extra,7.018874356245639,5.634201999961192,4.8073629842380114,11.253174999999985,13.992862586088885,2.894660178859796,6.39418014116634,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C1,,C1,wallpath_residual_extra,6.869164174381812,5.5418040877740005,4.78409368911322,11.093294341240927,12.916860586072234,2.861559279182953,6.244749390194333,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C1,,C1,wallpath_residual_rf,6.843527155129876,5.55182329812761,4.883859270872307,10.816588667703032,13.156878010736722,2.9020423848400347,6.197742647092729,1168,1120,1168,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C2,,C2,log_distance,10.360166987648746,8.676255191148972,8.07901286030068,16.547683286173193,19.11226416717461,-2.5081639052176627,10.051973628921347,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C2,,C2,multi_wall_linear,7.7453819702794755,6.049466264556273,4.9541408795371495,12.463617472845936,15.977497969833172,-2.7494542090268563,7.240955974040642,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C2,,C2,direct_rf,7.224685428075701,5.73285481833035,4.798918607944337,12.04193353174606,14.698981425865792,-2.928811360802577,6.60440334530555,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C2,,C2,direct_extra,7.289512236168535,5.79032680420987,4.776734226901766,12.091682141072964,14.43686803066216,-2.8786982850929,6.6970205931185545,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C2,,C2,wallpath_residual_extra,7.219849717467243,5.707712176997958,4.668750738409322,12.188939342480484,14.346985460687852,-2.839195210653795,6.638162433882767,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_config_out,33,holdout_C2,,C2,wallpath_residual_rf,7.100044493468812,5.591371848147586,4.6670519438335205,11.775533371350978,14.427455508046592,-2.8768696880043185,6.491090247984443,1120,1168,1120,leave_config_out,results\external_3p5ghz_leave_config_out_seed33
leave_scenario_out,11,holdout_Comms,Comms,,log_distance,15.643411327913832,13.09462898209432,11.631089185047728,25.68539049420793,27.96416443488424,-12.757977027094231,9.052642716380593,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Comms,Comms,,multi_wall_linear,9.482231582019024,7.445694747385867,6.016049421290106,15.259524583719934,19.306893933000183,4.127525701802376,8.536758597734845,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Comms,Comms,,direct_rf,10.067418871966405,7.924190631566626,6.526950396825399,17.4730496031746,20.061240079365103,-4.07827312245554,9.204379994452752,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Comms,Comms,,direct_extra,10.805763174861148,8.421477323001858,6.602499999999978,19.00910396825396,21.823597222222208,-4.645633493810249,9.756157400963437,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Comms,Comms,,wallpath_residual_extra,10.668145339614872,8.329172791041909,6.858776789411195,17.075849663168352,20.862422314379057,5.357785614738583,9.225153564773152,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Comms,Comms,,wallpath_residual_rf,10.920725068625824,8.446297698645221,6.800638626709628,18.060429763051552,22.028572971974448,5.356912411227523,9.51660262083844,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Library,Library,,log_distance,15.38199404245583,13.92357849832046,14.55296764793465,22.44472939058985,24.31860957990501,13.562103252874635,7.257761092824277,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Library,Library,,multi_wall_linear,11.276905352139998,9.544031692207565,9.054897061054234,18.063514394706203,20.750227926345687,8.595170252511052,7.30011250950784,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Library,Library,,direct_rf,12.560354595222991,10.71423485842126,10.316708333333352,19.780075793650788,21.7910261904762,10.00237039365932,7.597045087781617,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Library,Library,,direct_extra,12.189908192183257,10.487782946497852,10.211357142857068,18.86575833333335,21.27892380952383,9.748336785795331,7.318728827095997,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Library,Library,,wallpath_residual_extra,11.770240749675406,9.869265235447346,9.258141993865353,18.37754067086179,21.2491017400682,8.963277551775096,7.6287759722752435,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_Library,Library,,wallpath_residual_rf,11.6285325766031,9.672083376388835,8.954737679414436,18.3602860784161,21.843925149394455,8.62672784367577,7.797585305481992,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_SSE,SSE,,log_distance,7.6452516112722115,6.211411661632073,5.58568355615229,12.611787093237592,14.43136012399613,-2.248830304331704,7.307026376165596,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_SSE,SSE,,multi_wall_linear,9.79580849468331,7.791382665293398,6.821711547711345,16.434904081185728,20.09298463209834,-3.970094873447252,8.955233707745295,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_SSE,SSE,,direct_rf,10.189664220081442,8.030872286604218,6.695465930808325,16.541190873015875,20.739837202380915,-3.7393066747720103,9.478757434918007,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_SSE,SSE,,direct_extra,9.93970807479871,7.8378479809267025,6.5321577519702245,16.343792857142894,20.187927813852824,-3.678810733741702,9.23385879237524,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_SSE,SSE,,wallpath_residual_extra,10.013242216128363,7.83367177907077,6.460839497193348,16.426253507776323,19.398133872466648,-3.902624236050958,9.221417664927824,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,11,holdout_SSE,SSE,,wallpath_residual_rf,9.979450982191258,7.846863786901098,6.673523314105246,16.61915833041382,20.541259435103044,-3.9803291459506696,9.151307108596765,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed11
leave_scenario_out,22,holdout_Comms,Comms,,log_distance,15.643411327913832,13.09462898209432,11.631089185047728,25.68539049420793,27.96416443488424,-12.757977027094231,9.052642716380593,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Comms,Comms,,multi_wall_linear,9.482231582019024,7.445694747385867,6.016049421290106,15.259524583719934,19.306893933000183,4.127525701802376,8.536758597734845,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
