protocol,fold,method,num_seeds,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,median_ae_mean,median_ae_std,median_ae_min,median_ae_max,p90_ae_mean,p90_ae_std,p90_ae_min,p90_ae_max,p95_ae_mean,p95_ae_std,p95_ae_min,p95_ae_max,bias_db_mean,bias_db_std,bias_db_min,bias_db_max,std_error_db_mean,std_error_db_std,std_error_db_min,std_error_db_max
leave_config_out,holdout_C1,direct_extra,3,7.007261761314312,0.01010643060549304,7.000455129502373,7.018874356245639,5.618436710848127,0.013666143306056472,5.609958065244787,5.634201999961192,4.8038139013316465,0.005346058258171805,4.797665191752685,4.8073629842380114,11.2551972222222,0.03369554179760038,11.222558333333357,11.289858333333262,13.925181159082625,0.08671455969834028,13.8274355694551,13.992862586088885,2.885899991529822,0.009594287985753848,2.875646678950866,2.894660178859796,6.385394674835951,0.0077656385130594335,6.3794473267558285,6.39418014116634
leave_config_out,holdout_C1,direct_rf,3,6.986008596533402,0.010081119243431625,6.975050408805271,6.994888801463952,5.636872727147953,0.005548027030699095,5.631356192236717,5.642451718954372,4.977326957577816,0.02436116574789759,4.953088849059448,5.001809343434324,11.256553964486974,0.04618320843440481,11.214404761904742,11.305921184648692,13.28643090728716,0.11963179785767077,13.167177552308802,13.406437590187592,2.889190775609975,0.006446659154649929,2.884524167303597,2.896546677640992,6.360571804864294,0.00941816076801046,6.349758845849844,6.366984112520835
leave_config_out,holdout_C1,log_distance,3,9.94192543422546,0.0,9.94192543422546,9.94192543422546,8.058243084733844,0.0,8.058243084733844,8.058243084733844,7.014817600078288,0.0,7.014817600078288,7.014817600078288,16.254086980192156,0.0,16.254086980192156,16.254086980192156,18.91622625211311,0.0,18.91622625211311,18.91622625211311,2.5123172055181486,0.0,2.5123172055181486,2.5123172055181486,9.619258994255045,0.0,9.619258994255045,9.619258994255045
leave_config_out,holdout_C1,multi_wall_linear,3,7.01697219559136,1.0877919644084146e-15,7.016972195591359,7.016972195591359,5.77653340062394,0.0,5.77653340062394,5.77653340062394,5.131323023134392,0.0,5.131323023134392,5.131323023134392,11.297835466503196,2.175583928816829e-15,11.297835466503198,11.297835466503198,12.771051086293111,0.0,12.771051086293111,12.771051086293111,2.75624193949498,0.0,2.75624193949498,2.75624193949498,6.4529860657428335,0.0,6.4529860657428335,6.4529860657428335
leave_config_out,holdout_C1,wallpath_residual_extra,3,6.862698958113241,0.008724496292297745,6.852775492821253,6.869164174381812,5.537681738392802,0.005065795445608993,5.532026546426055,5.5418040877740005,4.792275136470008,0.007185218878686091,4.78409368911322,4.797559723497244,11.023850746107138,0.08719150054301864,10.92599775111683,11.093294341240927,13.04875675757434,0.11426989433711288,12.916860586072234,13.117892116318126,2.8594781764360895,0.0018564529933218497,2.857992455169066,2.861559279182953,6.238590616687862,0.009255740949851723,6.227946782023328,6.244749390194333
leave_config_out,holdout_C1,wallpath_residual_rf,3,6.83663400049825,0.014300726537988268,6.820192266625755,6.8461825797391205,5.543967192548718,0.01150241294280605,5.530764620507214,5.55182329812761,4.898247670719376,0.02186808926347703,4.883859270872307,4.923412507538025,10.869033556755525,0.04545279112818222,10.816588667703032,10.897018508174202,13.027929172766248,0.11425426511637603,12.93930553046366,13.156878010736722,2.897901806298616,0.012045468771745517,2.884332168135997,2.907330865919815,6.192067464277309,0.01022550483121901,6.180262979647197,6.198196766092001
leave_config_out,holdout_C2,direct_extra,3,7.291243744930923,0.003131824453457957,7.28936000254696,7.294858996077274,5.791239337958092,0.005159936490814605,5.786596545486793,5.796794664177612,4.796249243279057,0.017022669571701714,4.776734226901766,4.808042526797372,12.121966245718715,0.03508309379610359,12.091682141072964,12.160410191197728,14.46001696149274,0.024676138358906034,14.43686803066216,14.48597916666654,-2.8752971109062284,0.002945532202773709,-2.8786982850929,-2.873583463509788,6.700364993459893,0.004167949517777871,6.6970205931185545,6.70503436612316
leave_config_out,holdout_C2,direct_rf,3,7.211877388687019,0.014953205703245653,7.195445210833422,7.224685428075701,5.719009909941215,0.013202267591347705,5.70656126779057,5.73285481833035,4.782245596587515,0.031452391149107,4.7459669913420015,4.801851190476207,12.038801689514203,0.018224385163283938,12.019214339826828,12.055257196969723,14.758465166546415,0.05192882058290786,14.698981425865792,14.794754238816717,-2.909838890469382,0.02454102412890457,-2.928811360802577,-2.8821236703505853,6.59876799263117,0.005697112044227588,6.593011067100563,6.60440334530555
leave_config_out,holdout_C2,log_distance,3,10.360166987648746,0.0,10.360166987648746,10.360166987648746,8.676255191148972,0.0,8.676255191148972,8.676255191148972,8.07901286030068,0.0,8.07901286030068,8.07901286030068,16.547683286173193,0.0,16.547683286173193,16.547683286173193,19.11226416717461,0.0,19.11226416717461,19.11226416717461,-2.5081639052176627,0.0,-2.5081639052176627,-2.5081639052176627,10.051973628921347,0.0,10.051973628921347,10.051973628921347
leave_config_out,holdout_C2,multi_wall_linear,3,7.7453819702794755,0.0,7.7453819702794755,7.7453819702794755,6.049466264556273,0.0,6.049466264556273,6.049466264556273,4.9541408795371495,0.0,4.9541408795371495,4.9541408795371495,12.463617472845934,2.175583928816829e-15,12.463617472845936,12.463617472845936,15.977497969833172,0.0,15.977497969833172,15.977497969833172,-2.7494542090268563,0.0,-2.7494542090268563,-2.7494542090268563,7.240955974040642,0.0,7.240955974040642,7.240955974040642
