protocol,method,num_seeds,rmse_macro_mean,rmse_macro_std,rmse_macro_min,rmse_macro_max,mae_macro_mean,mae_macro_std,mae_macro_min,mae_macro_max,median_ae_macro_mean,median_ae_macro_std,median_ae_macro_min,median_ae_macro_max,p90_ae_macro_mean,p90_ae_macro_std,p90_ae_macro_min,p90_ae_macro_max,p95_ae_macro_mean,p95_ae_macro_std,p95_ae_macro_min,p95_ae_macro_max,bias_db_macro_mean,bias_db_macro_std,bias_db_macro_min,bias_db_macro_max,std_error_db_macro_mean,std_error_db_macro_std,std_error_db_macro_min,std_error_db_macro_max
leave_config_out,direct_extra,3,7.149252753122617,0.004671405871703695,7.144907566024667,7.154193296207087,5.704838024403109,0.006814154211757763,5.698873306412599,5.71226440208553,4.800031572305351,0.007620214052120918,4.792048605569889,4.807228027400807,11.688581733970459,0.014915238700955073,11.672428570536475,11.701832369109356,14.192599060287682,0.04363797404072545,14.142319628302308,14.220612244185215,0.005301440311796653,0.0037479177360210517,0.0010185474174340126,0.00798094688344797,6.542879834147922,0.002463984156188597,6.540798288861825,6.545600367142447
leave_config_out,direct_rf,3,7.098942992610212,0.006446066922509138,7.095167006148687,7.106386003703344,5.677941318544583,0.005967986309999013,5.674484917969721,5.6848325442915595,4.879786277082665,0.019522896377716818,4.8615248357908385,4.900363975689331,11.64767782700059,0.028665121650699888,11.628169146825401,11.680589190809208,14.02244803691679,0.06826798186504707,13.97441869363277,14.100595914502154,-0.010324057429703512,0.015489840487377202,-0.02214359674949007,0.007211503645203399,6.479669898747733,0.005189612710157529,6.474324205668619,6.484687900763877
leave_config_out,log_distance,3,10.151046210937103,0.0,10.151046210937103,10.151046210937103,8.367249137941407,0.0,8.367249137941407,8.367249137941407,7.546915230189484,0.0,7.546915230189484,7.546915230189484,16.400885133182676,0.0,16.400885133182676,16.400885133182676,19.01424520964386,0.0,19.01424520964386,19.01424520964386,0.0020766501502429424,0.0,0.0020766501502429424,0.0020766501502429424,9.835616311588197,0.0,9.835616311588197,9.835616311588197
leave_config_out,multi_wall_linear,3,7.381177082935419,1.0877919644084146e-15,7.381177082935418,7.381177082935418,5.912999832590106,0.0,5.912999832590106,5.912999832590106,5.042731951335771,0.0,5.042731951335771,5.042731951335771,11.880726469674565,2.175583928816829e-15,11.880726469674567,11.880726469674567,14.374274528063141,0.0,14.374274528063141,14.374274528063141,0.0033938652340619324,0.0,0.0033938652340619324,0.0033938652340619324,6.846971019891737,1.0877919644084146e-15,6.846971019891738,6.846971019891738
leave_config_out,wallpath_residual_extra,3,7.040982940431571,0.005540501149304663,7.034596741327924,7.044506945924527,5.621339276388913,0.004137020273882098,5.616740470516165,5.624758132385979,4.730257190270439,0.00917475049773002,4.72362214889478,4.740727208155267,11.54480915832431,0.08621260809205836,11.474832476160671,11.641116841860706,13.7151020076138,0.07730865168975866,13.631923023380043,13.784755178435882,0.008838107245608592,0.002068353152962676,0.0072691684690397995,0.011182034264578977,6.43750157868255,0.006142018678175541,6.430425703420479,6.441455912038551
leave_config_out,wallpath_residual_rf,3,6.975067784716553,0.005057753808063185,6.971785824299344,6.980892354944254,5.572921661710659,0.002771384327829753,5.571060679405859,5.576106732588519,4.8102546397055574,0.030848436063960528,4.775455607352914,4.834241759245927,11.342666031927081,0.04416088891938781,11.296061019527006,11.383889579518236,13.791663858666249,0.052677973964590216,13.738736234760289,13.844088581846803,0.014538751818472676,0.009267071198013795,0.006403438863685107,0.024626468173874816,6.350708231324919,0.006440318560840316,6.344416447538586,6.357287459169406
leave_scenario_out,direct_extra,3,10.932174538969862,0.040490957928152826,10.903307160079931,10.978459813947707,8.867264381830585,0.0419517174848734,8.842555344210465,8.915702750142136,7.720520432499566,0.055065979857920125,7.675742449679926,7.782004964942423,17.942311419753093,0.11444911420197361,17.859375396825385,18.072885052910067,20.868735903352057,0.19788013297961987,20.7428191518551,21.096816281866285,0.4171874268602744,0.0499062961925043,0.38448726995149557,0.47463085274779343,8.760589068382862,0.012323641562414124,8.746541748530307,8.769581673478225
leave_scenario_out,direct_rf,3,10.947588873764149,0.04960855032735892,10.90274361886356,11.000877106671943,8.895698777769988,0.02788665791669344,8.871255960230007,8.92607444754926,7.808990615195324,0.04507035774834544,7.758943267380758,7.846374886989025,18.0462231190877,0.16206624725189084,17.931438756613755,18.23161483585859,20.963254727992844,0.09278270208377716,20.86403449074074,21.04786682078742,0.7201706176199929,0.03502654512207245,0.681805981296926,0.7504423394191297,8.740885655021932,0.03347692860791054,8.702230228772498,8.760365897242504
leave_scenario_out,log_distance,3,12.890218993880623,0.0,12.890218993880623,12.890218993880623,11.076539714015617,0.0,11.076539714015617,11.076539714015617,10.589913463044889,0.0,10.589913463044889,10.589913463044889,20.24730232601179,0.0,20.24730232601179,20.24730232601179,22.23804471292846,0.0,22.23804471292846,22.23804471292846,-0.48156802618376665,0.0,-0.48156802618376665,-0.48156802618376665,7.872476728456822,0.0,7.872476728456822,7.872476728456822
leave_scenario_out,multi_wall_linear,3,10.18498180961411,0.0,10.18498180961411,10.18498180961411,8.260369701628944,0.0,8.260369701628944,8.260369701628944,7.297552676685228,0.0,7.297552676685228,7.297552676685228,16.58598101987062,0.0,16.58598101987062,16.58598101987062,20.05003549714807,0.0,20.05003549714807,20.05003549714807,2.9175336936220586,0.0,2.9175336936220586,2.9175336936220586,8.264034938329326,0.0,8.264034938329326,8.264034938329326
