protocol,method,num_seeds,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,median_ae_mean,median_ae_std,median_ae_min,median_ae_max,p90_ae_mean,p90_ae_std,p90_ae_min,p90_ae_max,p95_ae_mean,p95_ae_std,p95_ae_min,p95_ae_max,bias_db_mean,bias_db_std,bias_db_min,bias_db_max,std_error_db_mean,std_error_db_std,std_error_db_min,std_error_db_max,summary_type,rank
leave_config_out,wallpath_residual_rf,3,6.975067784716553,0.005057753808063185,6.971785824299344,6.980892354944254,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,1
leave_config_out,wallpath_residual_extra,3,7.040982940431571,0.005540501149304663,7.034596741327924,7.044506945924527,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,2
leave_config_out,direct_rf,3,7.098942992610212,0.006446066922509138,7.095167006148687,7.106386003703344,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,3
leave_config_out,direct_extra,3,7.149252753122617,0.004671405871703695,7.144907566024667,7.154193296207087,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,4
leave_config_out,multi_wall_linear,3,7.381177082935419,1.0877919644084146e-15,7.381177082935418,7.381177082935418,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,5
leave_config_out,log_distance,3,10.151046210937103,0.0,10.151046210937103,10.151046210937103,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,6
leave_config_out,wallpath_residual_rf,3,6.973544603771418,0.005054134686040935,6.970274694863696,6.979365851242501,5.572314225294673,0.0028391302754622216,5.5702153075408525,5.57554464013585,4.833145952413375,0.024512001032888902,4.805457778103857,4.85207550387247,11.260672574446668,0.06277635469273896,11.196074570842176,11.321453046650635,13.790944647363231,0.017656396886678534,13.776309031895073,13.810554624186656,0.07502888582854561,0.009296875617192741,0.066779566051216,0.0851027842105028,6.973136884538696,0.004960567641114953,6.969890275410442,6.9788469822463925,pooled_point_level,1
leave_config_out,wallpath_residual_extra,3,7.039500267830117,0.005524797207138256,7.033131898427211,7.043010470232171,5.61958422314424,0.004156492539841789,5.614963255325464,5.62301783774377,4.746885263007971,0.008170744597521831,4.73757779552394,4.752876664142583,11.529034931024588,0.04916389378849056,11.475342949057428,11.57184860051115,13.71940216853046,0.08390661098438004,13.630989160738222,13.797925933487615,0.0686417450607934,0.0020638617760531377,0.0670745521061032,0.0709801582838453,7.039165401307962,0.0055173204594510935,7.032804411651068,7.042652788610979,pooled_point_level,2
leave_config_out,direct_rf,3,7.0974775447921905,0.006418248910300686,7.093771761949867,7.104888700260582,5.677079739704094,0.005843018742487382,5.67358011952777,5.68382508399704,4.867465862840876,0.016492031233549323,4.849468025030525,4.88185416666667,11.583596914805476,0.03281504422711629,11.545759486785188,11.604268885281376,14.030820361351616,0.06529071556782187,13.959745472582975,14.08813273809524,0.05050492508161817,0.015299991603787637,0.0388354472516236,0.067826926875884,7.097286809438479,0.006492156010809852,7.093447491779149,7.104782561847144,pooled_point_level,3
leave_config_out,direct_extra,3,7.147685422594969,0.004677415369846606,7.143337159020351,7.152634021440348,5.703025409433425,0.0069382270537277305,5.697032958739713,5.710626729313692,4.800826102193892,0.006326462460397115,4.793956897677489,4.806413528004242,11.781382629118127,0.035736178836724246,11.743360772805628,11.814279820622165,14.237847795194867,0.06072727765792906,14.187423428362589,14.305259974747452,0.06573357774993686,0.0038648965652486257,0.0613254312957577,0.0685406510507838,7.147382474124346,0.004646435031976946,7.143073915263465,7.152305615940881,pooled_point_level,4
leave_config_out,multi_wall_linear,3,7.382521667527986,0.0,7.382521667527986,7.382521667527986,5.910136900450955,1.0877919644084146e-15,5.910136900450956,5.910136900450956,5.052484342674234,0.0,5.052484342674234,5.052484342674234,11.826372104518247,2.175583928816829e-15,11.826372104518246,11.826372104518246,14.321111321689385,0.0,14.321111321689385,14.321111321689385,0.0611459227360388,0.0,0.0611459227360388,0.0611459227360388,7.382268441858027,0.0,7.382268441858027,7.382268441858027,pooled_point_level,5
