protocol,random_seed,method,baseline,paired_points,method_rmse,baseline_rmse,rmse_improvement_percent,method_mae,baseline_mae,mae_improvement_percent,method_point_wins,baseline_point_wins,ties,method_point_win_percent
leave_config_out,11,wallpath_residual_rf,direct_rf,2288,6.979365851242501,7.093771761949867,1.6127655998325954,5.57554464013585,5.673834015587475,1.7323272972314432,1252,1036,0,54.72027972027972
leave_config_out,22,wallpath_residual_rf,direct_rf,2288,6.9709932652080555,7.093772172166121,1.7307985649696187,5.5702153075408525,5.67358011952777,1.8218622070947523,1230,1058,0,53.75874125874126
leave_config_out,33,wallpath_residual_rf,direct_rf,2288,6.970274694863696,7.104888700260582,1.8946673350695622,5.571182728207319,5.68382508399704,1.9818054589130285,1225,1063,0,53.54020979020979
leave_config_out,11,wallpath_residual_extra,direct_rf,2288,7.033131898427211,7.093771761949867,0.854832458071474,5.614963255325464,5.673834015587475,1.0375834065691274,1176,1112,0,51.39860139860139
leave_config_out,22,wallpath_residual_extra,direct_rf,2288,7.042358434830966,7.093772172166121,0.7247728865170956,5.620771576363485,5.67358011952777,0.930779896498232,1175,1113,0,51.35489510489511
leave_config_out,33,wallpath_residual_extra,direct_rf,2288,7.04301047023217,7.104888700260582,0.870924691982044,5.62301783774377,5.68382508399704,1.0698296544078079,1192,1096,0,52.09790209790209
leave_config_out,11,wallpath_residual_rf,multi_wall_linear,2288,6.979365851242501,7.382521667527985,5.460949990282655,5.57554464013585,5.910136900450955,5.661328425227768,1217,1071,0,53.19055944055944
leave_config_out,22,wallpath_residual_rf,multi_wall_linear,2288,6.9709932652080555,7.382521667527985,5.5743609142393336,5.5702153075408525,5.910136900450955,5.751501168850522,1215,1073,0,53.10314685314685
leave_config_out,33,wallpath_residual_rf,multi_wall_linear,2288,6.970274694863696,7.382521667527985,5.5840943139734645,5.571182728207319,5.910136900450955,5.735132332006955,1221,1067,0,53.36538461538461
leave_config_out,11,wallpath_residual_extra,multi_wall_linear,2288,7.033131898427211,7.382521667527985,4.732661613951845,5.614963255325464,5.910136900450955,4.994362230475043,1204,1084,0,52.62237762237763
leave_config_out,22,wallpath_residual_extra,multi_wall_linear,2288,7.042358434830966,7.382521667527985,4.6076834991657,5.620771576363485,5.910136900450955,4.896084963199257,1193,1095,0,52.14160839160839
leave_config_out,33,wallpath_residual_extra,multi_wall_linear,2288,7.04301047023217,7.382521667527985,4.598851348979506,5.62301783774377,5.910136900450955,4.858078036826476,1202,1086,0,52.53496503496503
leave_scenario_out,11,wallpath_residual_rf,direct_rf,2288,11.055069258641156,10.88679043993475,-1.5457156049328271,8.75828891520843,8.771913646438644,0.15532222248614833,1182,1106,0,51.66083916083915
leave_scenario_out,22,wallpath_residual_rf,direct_rf,2288,11.153320400088043,10.953768659717506,-1.8217633270309013,8.839065568560736,8.806455316168318,-0.37029941357389184,1178,1110,0,51.48601398601399
leave_scenario_out,33,wallpath_residual_rf,direct_rf,2288,11.092083007016916,10.835747170565448,-2.3656498478276284,8.781087258920474,8.729811241489925,-0.5873668514944635,1153,1135,0,50.39335664335665
leave_scenario_out,11,wallpath_residual_extra,direct_rf,2288,10.952979679431651,10.88679043993475,-0.6079775289336664,8.74525945745131,8.771913646438644,0.30385831486332887,1151,1137,0,50.30594405594405
leave_scenario_out,22,wallpath_residual_extra,direct_rf,2288,10.968646190306266,10.953768659717506,-0.13582111372748695,8.76335014467505,8.806455316168318,0.489472437498533,1166,1122,0,50.96153846153846
leave_scenario_out,33,wallpath_residual_extra,direct_rf,2288,10.948997657495786,10.835747170565448,-1.0451562328620552,8.742145164969255,8.729811241489925,-0.14128511073310704,1159,1129,0,50.65559440559441
leave_scenario_out,11,wallpath_residual_rf,multi_wall_linear,2288,11.055069258641156,10.082889508176178,-9.641876464843147,8.75828891520843,8.108078792632682,-8.019287172770873,1082,1206,0,47.29020979020979
leave_scenario_out,22,wallpath_residual_rf,multi_wall_linear,2288,11.153320400088043,10.082889508176178,-10.616310840695583,8.839065568560736,8.108078792632682,-9.015536166129232,1066,1222,0,46.590909090909086
leave_scenario_out,33,wallpath_residual_rf,multi_wall_linear,2288,11.092083007016916,10.082889508176178,-10.008971119066475,8.781087258920474,8.108078792632682,-8.300467761849005,1079,1209,0,47.159090909090914
leave_scenario_out,11,wallpath_residual_extra,multi_wall_linear,2288,10.952979679431651,10.082889508176178,-8.629373261999154,8.74525945745131,8.108078792632682,-7.858589946086796,1061,1227,0,46.37237762237762
leave_scenario_out,22,wallpath_residual_extra,multi_wall_linear,2288,10.968646190306266,10.082889508176178,-8.78475045681926,8.76335014467505,8.108078792632682,-8.081709228550823,1023,1265,0,44.71153846153847
leave_scenario_out,33,wallpath_residual_extra,multi_wall_linear,2288,10.948997657495786,10.082889508176178,-8.589880397055664,8.742145164969255,8.108078792632682,-7.820180199934791,1059,1229,0,46.28496503496503
