protocol,random_seed,method,rmse_macro,mae_macro,median_ae_macro,p90_ae_macro,p95_ae_macro,bias_db_macro,std_error_db_macro
leave_config_out,11,wallpath_residual_rf,6.980892354944254,5.576106732588519,4.834241759245927,11.383889579518236,13.738736234760289,0.024626468173874816,6.357287459169406
leave_config_out,11,wallpath_residual_extra,7.034596741327924,5.616740470516165,4.72362214889478,11.474832476160671,13.784755178435882,0.008063119003206998,6.430425703420479
leave_config_out,11,direct_rf,7.095167006148687,5.674506493372471,4.877470019767827,11.634275143367159,14.100595914502154,0.007211503645203399,6.479997589810699
leave_config_out,11,direct_extra,7.144907566024667,5.698873306412599,4.807228027400807,11.691484262265543,14.142319628302308,0.0010185474174340126,6.540798288861825
leave_config_out,11,multi_wall_linear,7.381177082935418,5.912999832590106,5.042731951335771,11.880726469674567,14.374274528063141,0.0033938652340619324,6.846971019891738
leave_config_out,11,log_distance,10.151046210937103,8.367249137941407,7.546915230189484,16.400885133182676,19.01424520964386,0.0020766501502429424,9.835616311588197
leave_config_out,22,wallpath_residual_rf,6.972525174906062,5.571060679405859,4.821066552517831,11.348047496736,13.844088581846803,0.006403438863685107,6.350420787266765
leave_config_out,22,wallpath_residual_extra,7.043845134042263,5.622519226264595,4.740727208155267,11.518478156951552,13.728627821025466,0.0072691684690397995,6.440623120588619
leave_config_out,22,direct_rf,7.095275967978603,5.674484917969721,4.8615248357908385,11.680589190809208,13.97441869363277,-0.016040079184823863,6.474324205668619
leave_config_out,22,direct_extra,7.148657397136098,5.7033763647111995,4.800818083945359,11.701832369109356,14.220612244185215,0.006904826634507977,6.542240846439494
leave_config_out,22,multi_wall_linear,7.381177082935418,5.912999832590106,5.042731951335771,11.880726469674567,14.374274528063141,0.0033938652340619324,6.846971019891738
leave_config_out,22,log_distance,10.151046210937103,8.367249137941407,7.546915230189484,16.400885133182676,19.01424520964386,0.0020766501502429424,9.835616311588197
leave_config_out,33,wallpath_residual_rf,6.971785824299344,5.571597573137598,4.775455607352914,11.296061019527006,13.792166759391657,0.012586348417858106,6.344416447538586
leave_config_out,33,wallpath_residual_extra,7.044506945924527,5.624758132385979,4.726422213761271,11.641116841860706,13.631923023380043,0.011182034264578977,6.441455912038551
leave_config_out,33,direct_rf,7.106386003703344,5.6848325442915595,4.900363975689331,11.628169146825401,13.99232950261544,-0.02214359674949007,6.484687900763877
leave_config_out,33,direct_extra,7.154193296207087,5.71226440208553,4.792048605569889,11.672428570536475,14.214865308375522,0.00798094688344797,6.545600367142447
leave_config_out,33,multi_wall_linear,7.381177082935418,5.912999832590106,5.042731951335771,11.880726469674567,14.374274528063141,0.0033938652340619324,6.846971019891738
leave_config_out,33,log_distance,10.151046210937103,8.367249137941407,7.546915230189484,16.400885133182676,19.01424520964386,0.0020766501502429424,9.835616311588197
leave_scenario_out,11,multi_wall_linear,10.18498180961411,8.260369701628944,7.297552676685228,16.58598101987062,20.05003549714807,2.9175336936220586,8.264034938329326
leave_scenario_out,11,wallpath_residual_extra,10.817209435139546,8.677369935186675,7.525919426823298,17.29321461393549,20.5032193089713,3.4728129768209075,8.69178240065874
leave_scenario_out,11,wallpath_residual_rf,10.842902875806727,8.655081620645051,7.476299873409769,17.679958057293824,21.471252518823984,3.334437036317541,8.821831678305733
leave_scenario_out,11,direct_rf,10.939145895756946,8.889765925530702,7.846374886989025,17.931438756613755,20.86403449074074,0.7282635321439229,8.760060839050793
leave_scenario_out,11,direct_extra,10.978459813947707,8.915702750142136,7.782004964942423,18.072885052910067,21.096816281866285,0.47463085274779343,8.769581673478225
leave_scenario_out,11,log_distance,12.890218993880623,11.076539714015617,10.589913463044889,20.24730232601179,22.23804471292846,-0.48156802618376665,7.872476728456822
leave_scenario_out,22,multi_wall_linear,10.18498180961411,8.260369701628944,7.297552676685228,16.58598101987062,20.05003549714807,2.9175336936220586,8.264034938329326
leave_scenario_out,22,wallpath_residual_extra,10.82532878425794,8.684384540260956,7.586752123023959,17.334429037010278,20.502240814088044,3.473600385689455,8.675452334192764
leave_scenario_out,22,direct_extra,10.914756642881947,8.842555344210465,7.675742449679926,17.859375396825385,20.766572276334784,0.38448726995149557,8.765643783140055
leave_scenario_out,22,wallpath_residual_rf,10.92327826532833,8.7163031265672,7.436867005898598,17.985893510440423,21.478819909295982,3.4040000133887287,8.870894736070923
leave_scenario_out,22,direct_rf,11.000877106671943,8.92607444754926,7.758943267380758,18.23161483585859,21.04786682078742,0.681805981296926,8.760365897242504
leave_scenario_out,22,log_distance,12.890218993880623,11.076539714015617,10.589913463044889,20.24730232601179,22.23804471292846,-0.48156802618376665,7.872476728456822
leave_scenario_out,33,multi_wall_linear,10.18498180961411,8.260369701628944,7.297552676685228,16.58598101987062,20.05003549714807,2.9175336936220586,8.264034938329326
leave_scenario_out,33,wallpath_residual_extra,10.816356970835045,8.677685520342985,7.515937786646982,17.319470314746823,20.65696088195519,3.4484475056831276,8.678071601824973
leave_scenario_out,33,wallpath_residual_rf,10.865209391238196,8.671907126183475,7.425048269456258,17.74840587702185,21.272611681595464,3.384278988410639,8.84304275902765
leave_scenario_out,33,direct_rf,10.90274361886356,8.871255960230007,7.821653691216189,17.975615764790756,20.977862872450373,0.7504423394191297,8.702230228772498
leave_scenario_out,33,direct_extra,10.903307160079931,8.843535051139154,7.703813882876351,17.894673809523827,20.7428191518551,0.39244415788153414,8.746541748530307
leave_scenario_out,33,log_distance,12.890218993880623,11.076539714015617,10.589913463044889,20.24730232601179,22.23804471292846,-0.48156802618376665,7.872476728456822
