protocol,random_seed,fold,method,baseline,method_rmse,baseline_rmse,rmse_difference_db,rmse_improvement_percent,rmse_winner,method_mae,baseline_mae,mae_improvement_percent
leave_config_out,11,holdout_C1,wallpath_residual_rf,direct_rf,6.8461825797391205,6.994888801463952,0.14870622172483117,2.1259268866963064,wallpath_residual_rf,5.549313659011332,5.642451718954372,1.6506664936124509
leave_config_out,11,holdout_C2,wallpath_residual_rf,direct_rf,7.115602130149389,7.195445210833422,0.07984308068403312,1.1096336410681278,wallpath_residual_rf,5.602899806165705,5.70656126779057,1.8165311254951304
leave_config_out,22,holdout_C1,wallpath_residual_rf,direct_rf,6.820192266625755,6.975050408805271,0.1548581421795161,2.220172373005705,wallpath_residual_rf,5.530764620507214,5.631356192236717,1.7862761348354448
leave_config_out,22,holdout_C2,wallpath_residual_rf,direct_rf,7.12485808318637,7.215501527151935,0.09064344396556479,1.2562320668143923,wallpath_residual_rf,5.611356738304503,5.717613643702725,1.8584135273857076
leave_config_out,33,holdout_C1,wallpath_residual_rf,direct_rf,6.843527155129876,6.988086579330986,0.1445594242011099,2.0686553115795756,wallpath_residual_rf,5.55182329812761,5.63681027025277,1.507713902908225
leave_config_out,33,holdout_C2,wallpath_residual_rf,direct_rf,7.100044493468812,7.224685428075701,0.12464093460688908,1.7252091575160424,wallpath_residual_rf,5.591371848147586,5.73285481833035,2.46793220247587
leave_config_out,11,holdout_C1,wallpath_residual_extra,direct_rf,6.852775492821253,6.994888801463952,0.14211330864269822,2.031673593052051,wallpath_residual_extra,5.532026546426055,5.642451718954372,1.9570423998024136
leave_config_out,11,holdout_C2,wallpath_residual_extra,direct_rf,7.216417989834594,7.195445210833422,-0.02097277900117156,-0.2914729858493685,direct_rf,5.701454394606276,5.70656126779057,0.08949125304443642
leave_config_out,22,holdout_C1,wallpath_residual_extra,direct_rf,6.8661572071366574,6.975050408805271,0.10889320166861349,1.56118157269727,wallpath_residual_extra,5.539214580978352,5.631356192236717,1.636224172525072
leave_config_out,22,holdout_C2,wallpath_residual_extra,direct_rf,7.221533060947868,7.215501527151935,-0.0060315337959329085,-0.08359133143047984,direct_rf,5.705823871550839,5.717613643702725,0.20620092378698676
leave_config_out,33,holdout_C1,wallpath_residual_extra,direct_rf,6.869164174381812,6.988086579330986,0.11892240494917417,1.7017878012690475,wallpath_residual_extra,5.5418040877740005,5.63681027025277,1.6854600017344425
leave_config_out,33,holdout_C2,wallpath_residual_extra,direct_rf,7.219849717467243,7.224685428075701,0.004835710608458221,0.06693316486370834,wallpath_residual_extra,5.707712176997958,5.73285481833035,0.43857104582519346
leave_config_out,11,holdout_C1,wallpath_residual_rf,multi_wall_linear,6.8461825797391205,7.016972195591359,0.17078961585223862,2.433950300665902,wallpath_residual_rf,5.549313659011332,5.77653340062394,3.933496542893095
leave_config_out,11,holdout_C2,wallpath_residual_rf,multi_wall_linear,7.115602130149389,7.7453819702794755,0.6297798401300865,8.131036565358212,wallpath_residual_rf,5.602899806165705,6.049466264556273,7.381915013015178
leave_config_out,22,holdout_C1,wallpath_residual_rf,multi_wall_linear,6.820192266625755,7.016972195591359,0.19677992896560426,2.8043424354629427,wallpath_residual_rf,5.530764620507214,5.77653340062394,4.254606752385085
leave_config_out,22,holdout_C2,wallpath_residual_rf,multi_wall_linear,7.12485808318637,7.7453819702794755,0.6205238870931051,8.011533704524515,wallpath_residual_rf,5.611356738304503,6.049466264556273,7.242118677785622
leave_config_out,33,holdout_C1,wallpath_residual_rf,multi_wall_linear,6.843527155129876,7.016972195591359,0.17344504046148312,2.47179318410946,wallpath_residual_rf,5.55182329812761,5.77653340062394,3.890051124296417
leave_config_out,33,holdout_C2,wallpath_residual_rf,multi_wall_linear,7.100044493468812,7.7453819702794755,0.6453374768106634,8.331899953894434,wallpath_residual_rf,5.591371848147586,6.049466264556273,7.572476585127105
leave_config_out,11,holdout_C1,wallpath_residual_extra,multi_wall_linear,6.852775492821253,7.016972195591359,0.16419670277010567,2.339993635335588,wallpath_residual_extra,5.532026546426055,5.77653340062394,4.232761021886852
leave_config_out,11,holdout_C2,wallpath_residual_extra,multi_wall_linear,7.216417989834594,7.7453819702794755,0.5289639804448818,6.829411157185257,wallpath_residual_extra,5.701454394606276,6.049466264556273,5.752769826802623
