protocol,random_seed,method,baseline,pooled_method_rmse,pooled_baseline_rmse,pooled_rmse_improvement_percent,pooled_method_mae,pooled_baseline_mae,pooled_mae_improvement_percent,macro_method_rmse,macro_baseline_rmse,macro_rmse_improvement_percent
leave_config_out,11,wallpath_residual_rf,direct_rf,6.979365851242501,7.093771761949867,1.6127655998325954,5.57554464013585,5.673834015587475,1.7323272972314432,6.980892354944254,7.095167006148687,1.6105984694285833
leave_config_out,22,wallpath_residual_rf,direct_rf,6.970993265208056,7.093772172166121,1.7307985649696063,5.5702153075408525,5.67358011952777,1.8218622070947523,6.972525174906062,7.095275967978603,1.7300355000499263
leave_config_out,33,wallpath_residual_rf,direct_rf,6.970274694863696,7.104888700260582,1.8946673350695622,5.571182728207318,5.68382508399704,1.981805458913044,6.971785824299344,7.106386003703344,1.8940735745828594
leave_config_out,11,wallpath_residual_extra,direct_rf,7.033131898427211,7.093771761949867,0.854832458071474,5.614963255325464,5.673834015587475,1.0375834065691274,7.034596741327924,7.095167006148687,0.853683426595492
leave_config_out,22,wallpath_residual_extra,direct_rf,7.042358434830967,7.093772172166121,0.724772886517083,5.620771576363485,5.67358011952777,0.930779896498232,7.043845134042263,7.095275967978603,0.7248602333221521
leave_config_out,33,wallpath_residual_extra,direct_rf,7.043010470232171,7.104888700260582,0.8709246919820316,5.62301783774377,5.68382508399704,1.0698296544078079,7.044506945924527,7.106386003703344,0.870752837610702
leave_config_out,11,wallpath_residual_rf,multi_wall_linear,6.979365851242501,7.382521667527986,5.460949990282668,5.57554464013585,5.910136900450956,5.661328425227782,6.980892354944254,7.381177082935418,5.423047347239288
leave_config_out,22,wallpath_residual_rf,multi_wall_linear,6.970993265208056,7.382521667527986,5.5743609142393336,5.5702153075408525,5.910136900450956,5.751501168850536,6.972525174906062,7.381177082935418,5.536405690281026
leave_config_out,33,wallpath_residual_rf,multi_wall_linear,6.970274694863696,7.382521667527986,5.584094313973475,5.571182728207318,5.910136900450956,5.735132332006984,6.971785824299344,7.381177082935418,5.546422393557628
leave_config_out,11,wallpath_residual_extra,multi_wall_linear,7.033131898427211,7.382521667527986,4.732661613951856,5.614963255325464,5.910136900450956,4.994362230475058,7.034596741327924,7.381177082935418,4.695461681968783
leave_config_out,22,wallpath_residual_extra,multi_wall_linear,7.042358434830967,7.382521667527986,4.607683499165699,5.620771576363485,5.910136900450956,4.896084963199271,7.043845134042263,7.381177082935418,4.5701646919301595
leave_config_out,33,wallpath_residual_extra,multi_wall_linear,7.043010470232171,7.382521667527986,4.598851348979506,5.62301783774377,5.910136900450956,4.85807803682649,7.044506945924527,7.381177082935418,4.5611984813267785
leave_scenario_out,11,wallpath_residual_rf,direct_rf,11.055069258641156,10.88679043993475,-1.5457156049328271,8.75828891520843,8.771913646438644,0.15532222248614833,10.842902875806727,10.939145895756946,0.8798037878583301
leave_scenario_out,22,wallpath_residual_rf,direct_rf,11.153320400088043,10.953768659717507,-1.8217633270308848,8.839065568560736,8.80645531616832,-0.3702994135738716,10.92327826532833,11.000877106671943,0.7053877667313494
leave_scenario_out,33,wallpath_residual_rf,direct_rf,11.092083007016916,10.835747170565446,-2.3656498478276453,8.781087258920472,8.729811241489923,-0.5873668514944635,10.865209391238196,10.90274361886356,0.3442640580892343
leave_scenario_out,11,wallpath_residual_extra,direct_rf,10.952979679431651,10.88679043993475,-0.6079775289336664,8.74525945745131,8.771913646438644,0.30385831486332887,10.817209435139546,10.939145895756946,1.1146799007836299
leave_scenario_out,22,wallpath_residual_extra,direct_rf,10.968646190306265,10.953768659717507,-0.13582111372745448,8.76335014467505,8.80645531616832,0.489472437498553,10.82532878425794,11.000877106671943,1.5957665985336327
leave_scenario_out,33,wallpath_residual_extra,direct_rf,10.948997657495786,10.835747170565446,-1.0451562328620718,8.742145164969255,8.729811241489923,-0.1412851107331274,10.816356970835045,10.90274361886356,0.7923386172178909
leave_scenario_out,11,wallpath_residual_rf,multi_wall_linear,11.055069258641156,10.082889508176178,-9.641876464843147,8.75828891520843,8.108078792632682,-8.019287172770873,10.842902875806727,10.18498180961411,-6.459717636133363
leave_scenario_out,22,wallpath_residual_rf,multi_wall_linear,11.153320400088043,10.082889508176178,-10.616310840695583,8.839065568560736,8.108078792632682,-9.015536166129232,10.92327826532833,10.18498180961411,-7.24887358185859
leave_scenario_out,33,wallpath_residual_rf,multi_wall_linear,11.092083007016916,10.082889508176178,-10.008971119066475,8.781087258920472,8.108078792632682,-8.300467761848983,10.865209391238196,10.18498180961411,-6.678731433589656
leave_scenario_out,11,wallpath_residual_extra,multi_wall_linear,10.952979679431651,10.082889508176178,-8.629373261999154,8.74525945745131,8.108078792632682,-7.858589946086796,10.817209435139546,10.18498180961411,-6.207449726897353
leave_scenario_out,22,wallpath_residual_extra,multi_wall_linear,10.968646190306265,10.082889508176178,-8.784750456819243,8.76335014467505,8.108078792632682,-8.081709228550823,10.82532878425794,10.18498180961411,-6.287168564595515
leave_scenario_out,33,wallpath_residual_extra,multi_wall_linear,10.948997657495786,10.082889508176178,-8.589880397055664,8.742145164969255,8.108078792632682,-7.820180199934791,10.816356970835045,10.18498180961411,-6.199079910235571
