method,sparse_rate,sparse_seed,feature,importance
direct_extra_all_features,0.05,22,fspl_pred_db,0.05780533742291836
direct_extra_all_features,0.05,22,log_distance_pred_db,0.17826742774570978
direct_extra_all_features,0.05,22,multi_wall_pred_db,0.0997099145036366
direct_extra_all_features,0.05,22,multi_wall_residual_idw_pred_db,0.32318480087020923
direct_extra_all_features,0.05,22,anchor_residual_idw,0.01586473840761896
direct_extra_all_features,0.05,22,anchor_residual_nn_1,0.012787228885707616
direct_extra_all_features,0.05,22,anchor_residual_nn_2,0.012887303915672164
direct_extra_all_features,0.05,22,anchor_residual_nn_3,0.0074613247720175255
direct_extra_all_features,0.05,22,anchor_residual_nn_4,0.006278691749046453
direct_extra_all_features,0.05,22,anchor_dist_px_nn_1,0.00045912206635442663
direct_extra_all_features,0.05,22,anchor_dist_px_nn_2,0.00021830403891138041
direct_extra_all_features,0.05,22,anchor_dist_px_nn_3,0.00018976969640288616
direct_extra_all_features,0.05,22,anchor_dist_px_nn_4,0.0001903649671041486
direct_extra_all_features,0.05,22,anchor_density,0.0003056840386120476
wallpath_rf,0.05,22,x_norm,0.002682707745240038
wallpath_rf,0.05,22,y_norm,0.002780338557866999
wallpath_rf,0.05,22,distance_m,0.0008015869711058843
wallpath_rf,0.05,22,log10_distance_m,0.000786232543666877
wallpath_rf,0.05,22,fspl_db,0.0008102148289299829
wallpath_rf,0.05,22,los,6.610693703145744e-06
wallpath_rf,0.05,22,wall_count,0.00430199160811476
wallpath_rf,0.05,22,wall_fraction,0.004665279460008487
wallpath_rf,0.05,22,mat_1_count,0.005464835086368264
wallpath_rf,0.05,22,mat_2_count,0.0007529008731535342
wallpath_rf,0.05,22,mat_3_count,0.001218456717221727
wallpath_rf,0.05,22,transmittance_sum,0.0029436667927822823
wallpath_rf,0.05,22,reflectance_sum,0.003637283243625527
wallpath_rf,0.05,22,fspl_pred_db,0.0007988738579527905
wallpath_rf,0.05,22,log_distance_pred_db,0.004029781150409149
wallpath_rf,0.05,22,multi_wall_pred_db,0.012558415181631597
wallpath_rf,0.05,22,multi_wall_residual_idw_pred_db,0.004592225935178406
wallpath_rf,0.05,22,anchor_residual_idw,0.5408629958956185
wallpath_rf,0.05,22,anchor_residual_nn_1,0.3414287432407034
wallpath_rf,0.05,22,anchor_residual_nn_2,0.037638201092407265
