method,sparse_rate,sparse_seed,scene_id,sample_id,anchor_count,valid_count,mw_anchor_count,mw_design_rank,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,los_rmse,nlos_rmse,high_wall_rmse,unclipped_rmse,unclipped_count,clipped_pixel_fraction,non_anchor_rmse,non_anchor_mae,non_anchor_p90_ae,non_anchor_count,non_anchor_los_rmse,non_anchor_nlos_rmse,free_space_rmse,free_space_mae,free_space_p90_ae,free_space_count,wall_region_rmse,rmse_delta_vs_multi_wall,rmse_delta_vs_direct_rf
log_distance,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,7.426890270453431,6.025695323944092,5.498653411865234,11.822365760803223,13.079294204711914,0.2799829840660095,7.4218268394470215,17170,14.99787255542023,7.276328097091748,7.116340328219527,7.426890270453431,17170,0.0,7.430766210805278,6.02864408493042,11.825674057006836,17084,15.058466160545429,7.279336780441747,7.429755573423149,6.040046215057373,11.873931884765625,15797,7.393843753824543,0.6074950938899768,3.445528519959085
multi_wall,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,6.819395176563455,5.532349586486816,4.920621871948242,10.740998268127441,12.387360572814941,0.025772377848625183,6.819545269012451,17170,12.472302382517803,6.7143265018635105,6.598902874096636,6.819395176563455,17170,0.0,6.821656041475303,5.534104347229004,10.741888046264648,17084,12.522001184208426,6.7158872233568445,6.807342403048601,5.535101890563965,10.769981384277344,15797,6.956565785225235,0.0,2.8380334260691082
idw,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,6.457740572589478,4.927288055419922,4.067928314208984,10.392879486083984,13.430678367614746,0.7874515056610107,6.4097371101379395,17170,16.058506528381624,6.235680022012094,5.959917361903547,6.457740572589478,17170,0.0,6.4739741397321335,4.952092170715332,10.405691146850586,17084,16.13166639018125,6.251189850596809,6.389148917887016,4.882246017456055,10.302703857421875,15797,7.20006284578116,-0.3616546039739763,2.476378822095132
multi_wall_residual_idw,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,4.89449713432277,3.6002371311187744,2.7775306701660156,7.839541435241699,9.492923736572266,0.23367731273174286,4.8890581130981445,17170,11.107083113895657,4.760238227750871,4.600011563556067,4.89449713432277,17170,0.0,4.90680099617142,3.618360757827759,7.8614983558654785,17084,11.157685121260002,4.772078232156837,4.842469266098311,3.572312593460083,7.809309959411621,15797,5.457535699919834,-1.9248980422406845,0.9131353838284237
direct_rf_geometry,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,11.712957295219919,8.607881546020508,5.914257049560547,20.61020278930664,25.151817321777344,-7.6316399574279785,8.885721206665039,17170,1.1959312242194011,11.78828230980575,11.961866697401907,11.712957295219919,17170,0.0,11.714816939696975,8.605055809020996,20.632925033569336,17084,1.1995125314810169,11.789840480145857,11.792029952361831,8.652027130126953,20.738563537597656,15797,10.761472730536733,4.893562118656464,7.731595544725573
direct_rf_sparse_anchor,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,5.006657322873948,4.0068745613098145,3.521089553833008,8.243430137634277,9.683156967163086,0.58934485912323,4.971994400024414,17170,1.1124138664590737,5.037591554527935,5.098170352237079,5.006657322873948,17170,0.0,5.0051972233235,4.006294250488281,8.244335174560547,17084,1.1162243563406964,5.0359837134921195,4.978023558976731,3.984893321990967,8.175440788269043,15797,5.325036874180683,-1.812737853689507,1.0252955723796013
direct_rf_all_features,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,3.9813617504943464,2.9955132007598877,2.283416748046875,6.6016411781311035,8.350807189941406,0.7501381039619446,3.9101693630218506,17170,1.0179799876253803,4.0055480731059285,4.049317279029445,3.9813617504943464,17170,0.0,3.9909472724021757,3.0074236392974854,6.608931064605713,17084,1.0214332162547075,4.015089071313663,3.9359485144231567,2.9611387252807617,6.504685401916504,15797,4.470798390877847,-2.8380334260691082,0.0
direct_extra_all_features,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,3.8819606623263456,2.944995164871216,2.264484405517578,6.4296464920043945,8.040283203125,0.4670337736606598,3.8538763523101807,17170,1.053175056571236,3.905336145688738,3.946566626848885,3.8819606623263456,17170,0.0,3.891128191254908,2.9560484886169434,6.439552307128906,17084,1.0560744816269665,3.9144613241272133,3.843845502812047,2.9157633781433105,6.347010612487793,15797,4.296235092557081,-2.937434514237109,-0.09940108816800075
wallpath_rf,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,4.202648866876054,3.1728572845458984,2.424776077270508,7.097472190856934,8.786620140075684,0.656025767326355,4.151251792907715,17170,3.523387993663999,4.210782197523571,4.2481547712919365,4.202648866876054,17170,0.0,4.212775996036538,3.185572624206543,7.112326145172119,17084,3.539134133478743,4.220816494148432,4.176337775217379,3.149000406265259,7.0473127365112305,15797,4.4943025092162,-2.6167463096874,0.22128711638170806
wallpath_extra,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,4.121860631538401,3.1267430782318115,2.386096954345703,6.970396518707275,8.634905815124512,0.5764533281326294,4.0814714431762695,17170,3.3061237037521733,4.1314334973996685,4.1646609689387555,4.121860631538401,17170,0.0,4.131873963964978,3.139850378036499,6.9833245277404785,17084,3.3209334193003777,4.141360144095188,4.096500054086126,3.1057679653167725,6.940718173980713,15797,4.403150106136783,-2.6975345450250536,0.1404988810440546
wallpath_calibrated,0.005,11,B21,B21_Ant1_f1_S0,86,17170,86,3,4.0780564699873425,3.104343891143799,2.4132156372070312,6.809159755706787,8.300782203674316,0.6914081573486328,4.019134521484375,17170,1.1047518455858634,4.102618463441997,4.147276357399336,4.0780564699873425,17170,0.0,4.0879988720752545,3.117147207260132,6.8162031173706055,17084,1.1093651543743333,4.112513033598533,4.05208565277376,3.082313299179077,6.772007942199707,15797,4.365762471811451,-2.741338706576112,0.09669471949299613
log_distance,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,7.624019606136086,5.564859867095947,4.250911712646484,10.916770935058594,18.11361312866211,1.6570854187011719,7.4419732093811035,17170,14.554484390655718,6.502836834894166,6.648082037722317,7.624019606136086,17170,0.0,7.632099838764672,5.570305347442627,10.941611289978027,17084,14.568173981948746,6.507572645466689,7.612232246355174,5.540960311889648,10.774383544921875,15797,7.758350378026338,0.27561421812399356,2.6342446901317524
multi_wall,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,7.348405388012092,4.40623140335083,2.811370849609375,9.50545597076416,13.155895233154297,1.18703293800354,7.252108573913574,17170,8.881959104845079,7.171767931077817,7.55317872555352,7.348405388012092,17170,0.0,7.360411089444001,4.411614894866943,9.525946617126465,17084,8.890091887390813,7.183924796437243,7.032332938976723,4.251311779022217,9.2383394241333,15797,10.309969704139228,0.0,2.358630472007759
idw,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,6.179267264590597,4.490742206573486,3.288045883178711,9.759864807128906,12.791723251342773,0.11768584698438644,6.178326606750488,17170,11.158360421433512,5.4118303244375205,5.539772151089622,6.179267264590597,17170,0.0,6.194800801267175,4.513348579406738,9.780657768249512,17084,11.175792646436673,5.425966149496677,6.1207074470497655,4.446568012237549,9.703824996948242,15797,6.816930954215806,-1.1691381234214955,1.1894923485862634
multi_wall_residual_idw,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,6.637425415184146,3.668226480484009,2.1531715393066406,7.787296772003174,11.727519035339355,0.9681875109672546,6.566622734069824,17170,6.704736887197115,6.630450462829702,7.0063472397530555,6.637425415184146,17170,0.0,6.654110676835739,3.686691999435425,7.801063537597656,17084,6.71521140832659,6.6477693516689795,6.294240606382718,3.48865008354187,7.522512912750244,15797,9.752748264898017,-0.7109799728279462,1.6476504991798127
direct_rf_geometry,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,6.421346001356244,4.5428595542907715,2.9410018920898438,11.529121398925781,14.17220687866211,-2.636523962020874,5.855290412902832,17170,1.8112190038372469,6.718971098445659,7.142718664776273,6.421346001356244,17170,0.0,6.424000424342143,4.5435404777526855,11.538365364074707,17084,1.8124483842913894,6.722345796675368,6.347157606962472,4.476406574249268,11.456121444702148,15797,7.220285239268221,-0.9270593866558485,1.4315710853519104
direct_rf_sparse_anchor,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,5.128464517908793,3.188153028488159,1.8705997467041016,7.430540561676025,10.358797073364258,0.43375420570373535,5.1102375984191895,17170,0.7997055664431854,5.380097805470555,5.692257952728021,5.128464517908793,17170,0.0,5.135217419014549,3.1916520595550537,7.439667701721191,17084,0.7971807845467879,5.387752907913478,4.931783437351453,3.0302622318267822,7.041685581207275,15797,7.004752084764131,-2.219940870103299,0.1386896019044599
direct_rf_all_features,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,4.989774916004333,2.921631097793579,1.5185527801513672,6.926639080047607,9.380248069763184,0.8137715458869934,4.923112869262695,17170,2.311574699732041,5.187759306887479,5.4841785868023845,4.989774916004333,17170,0.0,5.001577585929528,2.932831287384033,6.948272705078125,17084,2.315130062702036,5.200526497737746,4.777714562238303,2.7543177604675293,6.60058069229126,15797,6.980622236430871,-2.358630472007759,0.0
direct_extra_all_features,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,4.843681533534648,2.8725457191467285,1.5499076843261719,6.662014961242676,9.215996742248535,0.602287232875824,4.806230068206787,17170,1.6710706866091967,5.0587613702579555,5.346862935299832,4.843681533534648,17170,0.0,4.854832684326036,2.8831591606140137,6.678737640380859,17084,1.6735607171606062,5.070896454566107,4.6462892719772,2.7131845951080322,6.403028964996338,15797,6.709234053538049,-2.5047238544774446,-0.14609338246968573
wallpath_rf,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,5.346729441174885,3.2384896278381348,1.9482078552246094,7.222458839416504,10.035176277160645,0.9898422956466675,5.254458427429199,17170,3.7726814664483124,5.483307876947256,5.781959260618918,5.346729441174885,17170,0.0,5.359711829204448,3.252004861831665,7.239428997039795,17084,3.778511249641225,5.497141968000848,5.09502517636269,3.06954288482666,6.902513027191162,15797,7.669847806179064,-2.0016759468372074,0.3569545251705515
wallpath_extra,0.005,11,B21,B21_Ant1_f1_S1,86,17170,86,3,5.241615090895099,3.218479633331299,1.9793014526367188,7.1938982009887695,9.956947326660156,0.9080191850662231,5.162517070770264,17170,3.748970481726398,5.371905446388628,5.6555118641558835,5.241615090895099,17170,0.0,5.254264647177397,3.232309341430664,7.207173824310303,17084,3.754704803982267,5.385378657689161,5.003955372766042,3.0551886558532715,6.864442348480225,15797,7.449151808893344,-2.1067902971169934,0.2518401748907655
