method,sparse_rate,sparse_seed,feature,importance
direct_rf_geometry,0.005,11,x_norm,0.009159345409184748
direct_rf_geometry,0.005,11,y_norm,0.00907028339431197
direct_rf_geometry,0.005,11,distance_m,0.10061774608828376
direct_rf_geometry,0.005,11,log10_distance_m,0.09256554228816657
direct_rf_geometry,0.005,11,fspl_db,0.08447015612373412
direct_rf_geometry,0.005,11,los,8.644328172314248e-05
direct_rf_geometry,0.005,11,wall_count,0.0023565513989663688
direct_rf_geometry,0.005,11,wall_fraction,0.0077333474555013396
direct_rf_geometry,0.005,11,mat_1_count,0.008163721959233337
direct_rf_geometry,0.005,11,mat_2_count,0.002501363925841592
direct_rf_geometry,0.005,11,mat_3_count,0.0032647312689386525
direct_rf_geometry,0.005,11,transmittance_sum,0.6304536274818351
direct_rf_geometry,0.005,11,reflectance_sum,0.00605072401071318
direct_rf_geometry,0.005,11,anchor_dist_px_nn_1,0.001701367838700292
direct_rf_geometry,0.005,11,anchor_dist_px_nn_2,0.0016944238981011423
direct_rf_geometry,0.005,11,anchor_dist_px_nn_3,0.0016995841272017533
direct_rf_geometry,0.005,11,anchor_dist_px_nn_4,0.002050187857526285
direct_rf_geometry,0.005,11,anchor_density,0.03636085219203666
direct_rf_sparse_anchor,0.005,11,x_norm,0.005747706725092698
direct_rf_sparse_anchor,0.005,11,y_norm,0.0058066187151362475
direct_rf_sparse_anchor,0.005,11,distance_m,0.004031353184603693
direct_rf_sparse_anchor,0.005,11,log10_distance_m,0.00422093612066849
direct_rf_sparse_anchor,0.005,11,fspl_db,0.004019568664987196
direct_rf_sparse_anchor,0.005,11,los,3.097996910647058e-05
direct_rf_sparse_anchor,0.005,11,wall_count,0.0016208971711399916
direct_rf_sparse_anchor,0.005,11,wall_fraction,0.004760224355713789
direct_rf_sparse_anchor,0.005,11,mat_1_count,0.0034897751975595326
direct_rf_sparse_anchor,0.005,11,mat_2_count,0.0009359695179910574
direct_rf_sparse_anchor,0.005,11,mat_3_count,0.0013667956819747294
direct_rf_sparse_anchor,0.005,11,transmittance_sum,0.03095705014679014
direct_rf_sparse_anchor,0.005,11,reflectance_sum,0.0034374155863140447
direct_rf_sparse_anchor,0.005,11,fspl_pred_db,0.0039586212624976806
direct_rf_sparse_anchor,0.005,11,log_distance_pred_db,0.018466118662257208
direct_rf_sparse_anchor,0.005,11,multi_wall_pred_db,0.8984100865434897
direct_rf_sparse_anchor,0.005,11,anchor_dist_px_nn_1,0.0011056820420639183
direct_rf_sparse_anchor,0.005,11,anchor_dist_px_nn_2,0.0011180448658619534
direct_rf_sparse_anchor,0.005,11,anchor_dist_px_nn_3,0.0011498084668045054
direct_rf_sparse_anchor,0.005,11,anchor_dist_px_nn_4,0.0013430141799764888
direct_rf_sparse_anchor,0.005,11,anchor_density,0.0040233329399704445
direct_rf_all_features,0.005,11,x_norm,0.000691911871966786
direct_rf_all_features,0.005,11,y_norm,0.0006541358495726448
direct_rf_all_features,0.005,11,distance_m,0.0008821636465408685
direct_rf_all_features,0.005,11,log10_distance_m,0.0008897467318297633
direct_rf_all_features,0.005,11,fspl_db,0.0008724188442953396
direct_rf_all_features,0.005,11,los,1.1162626119598784e-05
direct_rf_all_features,0.005,11,wall_count,0.0003022221791653169
direct_rf_all_features,0.005,11,wall_fraction,0.0020415467510202464
direct_rf_all_features,0.005,11,mat_1_count,0.0007974818465262464
direct_rf_all_features,0.005,11,mat_2_count,0.00010107484648931627
direct_rf_all_features,0.005,11,mat_3_count,0.00023186479034542658
direct_rf_all_features,0.005,11,transmittance_sum,0.0029140692259991977
direct_rf_all_features,0.005,11,reflectance_sum,0.0006654579334686514
direct_rf_all_features,0.005,11,fspl_pred_db,0.0008838682696775623
direct_rf_all_features,0.005,11,log_distance_pred_db,0.006683026772324091
direct_rf_all_features,0.005,11,multi_wall_pred_db,0.0008015360576156754
direct_rf_all_features,0.005,11,multi_wall_residual_idw_pred_db,0.9647599180977762
direct_rf_all_features,0.005,11,anchor_residual_idw,0.003182339912619517
direct_rf_all_features,0.005,11,anchor_residual_nn_1,0.005289026706405291
direct_rf_all_features,0.005,11,anchor_residual_nn_2,0.0020274522403873952
direct_rf_all_features,0.005,11,anchor_residual_nn_3,0.0013254794816810892
direct_rf_all_features,0.005,11,anchor_residual_nn_4,0.0011160522869097763
direct_rf_all_features,0.005,11,anchor_dist_px_nn_1,0.001118744359881195
direct_rf_all_features,0.005,11,anchor_dist_px_nn_2,0.00047549546077911944
direct_rf_all_features,0.005,11,anchor_dist_px_nn_3,0.0004265942445171885
direct_rf_all_features,0.005,11,anchor_dist_px_nn_4,0.00045330509258844183
direct_rf_all_features,0.005,11,anchor_density,0.00040190387349800055
direct_extra_all_features,0.005,11,x_norm,0.0005910409919100854
direct_extra_all_features,0.005,11,y_norm,0.0005314124001003256
direct_extra_all_features,0.005,11,distance_m,0.08301691037335424
direct_extra_all_features,0.005,11,log10_distance_m,0.07755390216201093
direct_extra_all_features,0.005,11,fspl_db,0.09574578249864528
direct_extra_all_features,0.005,11,los,0.03498465320225798
direct_extra_all_features,0.005,11,wall_count,0.03521786465036438
direct_extra_all_features,0.005,11,wall_fraction,0.004629142586674258
direct_extra_all_features,0.005,11,mat_1_count,0.004836838140197961
direct_extra_all_features,0.005,11,mat_2_count,0.0002889932045620496
direct_extra_all_features,0.005,11,mat_3_count,0.000524605722163792
direct_extra_all_features,0.005,11,transmittance_sum,0.022079389524967515
direct_extra_all_features,0.005,11,reflectance_sum,0.010896764246072145
direct_extra_all_features,0.005,11,fspl_pred_db,0.08728033619554347
direct_extra_all_features,0.005,11,log_distance_pred_db,0.2217756392892656
direct_extra_all_features,0.005,11,multi_wall_pred_db,0.07823170705849562
direct_extra_all_features,0.005,11,multi_wall_residual_idw_pred_db,0.173813645081848
direct_extra_all_features,0.005,11,anchor_residual_idw,0.024353678192152665
direct_extra_all_features,0.005,11,anchor_residual_nn_1,0.015823211698851623
direct_extra_all_features,0.005,11,anchor_residual_nn_2,0.011028597914147816
direct_extra_all_features,0.005,11,anchor_residual_nn_3,0.0067976010430783225
direct_extra_all_features,0.005,11,anchor_residual_nn_4,0.0063183542775794915
direct_extra_all_features,0.005,11,anchor_dist_px_nn_1,0.0007237430922337215
direct_extra_all_features,0.005,11,anchor_dist_px_nn_2,0.0004450822606732662
direct_extra_all_features,0.005,11,anchor_dist_px_nn_3,0.00041399531434343703
direct_extra_all_features,0.005,11,anchor_dist_px_nn_4,0.00042451271537111916
direct_extra_all_features,0.005,11,anchor_density,0.001672596163134952
wallpath_rf,0.005,11,x_norm,0.004497866234358467
wallpath_rf,0.005,11,y_norm,0.0044219203577243295
wallpath_rf,0.005,11,distance_m,0.0015542092119830596
wallpath_rf,0.005,11,log10_distance_m,0.0016198802193283478
wallpath_rf,0.005,11,fspl_db,0.001567169000611648
wallpath_rf,0.005,11,los,1.319356318407207e-05
wallpath_rf,0.005,11,wall_count,0.007447739289745883
wallpath_rf,0.005,11,wall_fraction,0.00993831619819982
wallpath_rf,0.005,11,mat_1_count,0.014396773945752648
wallpath_rf,0.005,11,mat_2_count,0.0017383671338258404
wallpath_rf,0.005,11,mat_3_count,0.0023288218743815303
wallpath_rf,0.005,11,transmittance_sum,0.008435855575728471
wallpath_rf,0.005,11,reflectance_sum,0.006178946250480896
wallpath_rf,0.005,11,fspl_pred_db,0.0015467463053405637
wallpath_rf,0.005,11,log_distance_pred_db,0.017246971615574612
wallpath_rf,0.005,11,multi_wall_pred_db,0.056279896066294056
wallpath_rf,0.005,11,multi_wall_residual_idw_pred_db,0.03159848127451934
wallpath_rf,0.005,11,anchor_residual_idw,0.722699894758707
wallpath_rf,0.005,11,anchor_residual_nn_1,0.05265503657392012
wallpath_rf,0.005,11,anchor_residual_nn_2,0.01825898065006783
wallpath_rf,0.005,11,anchor_residual_nn_3,0.010688402182580313
wallpath_rf,0.005,11,anchor_residual_nn_4,0.007917321477206335
wallpath_rf,0.005,11,anchor_dist_px_nn_1,0.0053262347092880484
wallpath_rf,0.005,11,anchor_dist_px_nn_2,0.0031244310441953817
wallpath_rf,0.005,11,anchor_dist_px_nn_3,0.002934819969186556
wallpath_rf,0.005,11,anchor_dist_px_nn_4,0.0030177615886794844
wallpath_rf,0.005,11,anchor_density,0.002565962929135345
wallpath_extra,0.005,11,x_norm,0.0027727784165389974
wallpath_extra,0.005,11,y_norm,0.002684412797794059
wallpath_extra,0.005,11,distance_m,0.0027974205563153593
wallpath_extra,0.005,11,log10_distance_m,0.0039002190851035357
wallpath_extra,0.005,11,fspl_db,0.0036411015517281114
wallpath_extra,0.005,11,los,0.0010262436904710038
wallpath_extra,0.005,11,wall_count,0.012946413451024492
wallpath_extra,0.005,11,wall_fraction,0.00975999800694838
wallpath_extra,0.005,11,mat_1_count,0.016009619868799927
wallpath_extra,0.005,11,mat_2_count,0.002020522725302291
wallpath_extra,0.005,11,mat_3_count,0.0031702376360550847
wallpath_extra,0.005,11,transmittance_sum,0.009428790747251715
wallpath_extra,0.005,11,reflectance_sum,0.007399068463619149
wallpath_extra,0.005,11,fspl_pred_db,0.003395768395107693
wallpath_extra,0.005,11,log_distance_pred_db,0.017416130573161447
wallpath_extra,0.005,11,multi_wall_pred_db,0.04964626913519995
wallpath_extra,0.005,11,multi_wall_residual_idw_pred_db,0.038520001786513915
wallpath_extra,0.005,11,anchor_residual_idw,0.2977898535486391
wallpath_extra,0.005,11,anchor_residual_nn_1,0.22304649604677024
wallpath_extra,0.005,11,anchor_residual_nn_2,0.11679931436646297
wallpath_extra,0.005,11,anchor_residual_nn_3,0.08324956319394984
wallpath_extra,0.005,11,anchor_residual_nn_4,0.07586154638893204
wallpath_extra,0.005,11,anchor_dist_px_nn_1,0.0050209644350381714
wallpath_extra,0.005,11,anchor_dist_px_nn_2,0.0024887892786347203
wallpath_extra,0.005,11,anchor_dist_px_nn_3,0.002371549430038802
wallpath_extra,0.005,11,anchor_dist_px_nn_4,0.002462301086486561
wallpath_extra,0.005,11,anchor_density,0.004374625338112422
wallpath_calibrated,0.005,11,x_norm,0.011685711656815539
wallpath_calibrated,0.005,11,y_norm,0.01075593511597791
wallpath_calibrated,0.005,11,distance_m,0.014427756453026104
wallpath_calibrated,0.005,11,log10_distance_m,0.018726847668666242
wallpath_calibrated,0.005,11,fspl_db,0.01934528457414006
wallpath_calibrated,0.005,11,los,0.006457005596852458
wallpath_calibrated,0.005,11,wall_count,0.04637738334840514
wallpath_calibrated,0.005,11,wall_fraction,0.03139369719987659
wallpath_calibrated,0.005,11,mat_1_count,0.06648137418810099
wallpath_calibrated,0.005,11,mat_2_count,0.007579663938179353
wallpath_calibrated,0.005,11,mat_3_count,0.012407963348850585
wallpath_calibrated,0.005,11,transmittance_sum,0.06540232693401309
wallpath_calibrated,0.005,11,reflectance_sum,0.035195620507740194
wallpath_calibrated,0.005,11,fspl_pred_db,0.019644530910940535
wallpath_calibrated,0.005,11,log_distance_pred_db,0.10869759515428885
wallpath_calibrated,0.005,11,multi_wall_pred_db,0.2608992839622317
wallpath_calibrated,0.005,11,multi_wall_residual_idw_pred_db,0.1935445990887623
wallpath_calibrated,0.005,11,anchor_dist_px_nn_1,0.024315256875341862
wallpath_calibrated,0.005,11,anchor_dist_px_nn_2,0.009392521197522699
wallpath_calibrated,0.005,11,anchor_dist_px_nn_3,0.00762013172833155
wallpath_calibrated,0.005,11,anchor_dist_px_nn_4,0.0075875906641172325
wallpath_calibrated,0.005,11,anchor_density,0.02206191988781921
