split,random_seed,fold,heldout_scenario,heldout_config,method,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,test_count
leave_config_out,11,holdout_C1,,C1,log_distance,9.94192543422546,8.058243084733844,7.014817600078288,16.254086980192156,18.91622625211311,2.5123172055181486,9.619258994255045,1168,1120,1168
leave_config_out,11,holdout_C1,,C1,multi_wall_linear,7.016972195591359,5.77653340062394,5.131323023134392,11.297835466503198,12.771051086293111,2.7562419394949798,6.4529860657428335,1168,1120,1168
leave_config_out,11,holdout_C1,,C1,direct_rf,6.994888801463952,5.642451718954372,4.953088849059448,11.24933594690749,13.406437590187593,2.8965466776409916,6.366984112520835,1168,1120,1168
leave_config_out,11,holdout_C1,,C1,direct_extra,7.000455129502373,5.6111500673384045,4.806413528004242,11.222558333333357,13.827435569455101,2.875646678950866,6.382556556585687,1168,1120,1168
leave_config_out,11,holdout_C1,,C1,wallpath_residual_extra,6.852775492821253,5.532026546426055,4.797559723497244,10.92599775111683,13.11151757033266,2.858882794956248,6.227946782023328,1168,1120,1168
leave_config_out,11,holdout_C1,,C1,wallpath_residual_rf,6.8461825797391205,5.549313659011332,4.923412507538025,10.897018508174202,12.939305530463661,2.907330865919815,6.198196766092001,1168,1120,1168
leave_config_out,11,holdout_C2,,C2,log_distance,10.360166987648746,8.676255191148972,8.07901286030068,16.547683286173193,19.112264167174615,-2.5081639052176627,10.051973628921347,1120,1168,1120
leave_config_out,11,holdout_C2,,C2,multi_wall_linear,7.7453819702794755,6.049466264556273,4.9541408795371495,12.463617472845936,15.977497969833173,-2.7494542090268563,7.240955974040642,1120,1168,1120
leave_config_out,11,holdout_C2,,C2,direct_rf,7.195445210833422,5.70656126779057,4.8018511904762065,12.019214339826828,14.794754238816717,-2.8821236703505853,6.593011067100563,1120,1168,1120
leave_config_out,11,holdout_C2,,C2,direct_extra,7.28936000254696,5.786596545486793,4.808042526797372,12.160410191197727,14.457203687149518,-2.873609584115998,6.699040021137963,1120,1168,1120
leave_config_out,11,holdout_C2,,C2,wallpath_residual_extra,7.216417989834594,5.701454394606276,4.649684574292316,12.023667201204514,14.457992786539103,-2.842756556949834,6.632904624817629,1120,1168,1120
leave_config_out,11,holdout_C2,,C2,wallpath_residual_rf,7.115602130149389,5.602899806165705,4.745071010953829,11.870760650862271,14.53816693905692,-2.8580779295720653,6.516378152246812,1120,1168,1120
