method,sparse_rate,sparse_seed,scene_id,sample_id,anchor_count,valid_count,mw_anchor_count,mw_design_rank,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,los_rmse,nlos_rmse,high_wall_rmse,unclipped_rmse,unclipped_count,clipped_pixel_fraction,non_anchor_rmse,non_anchor_mae,non_anchor_p90_ae,non_anchor_count,non_anchor_los_rmse,non_anchor_nlos_rmse,free_space_rmse,free_space_mae,free_space_p90_ae,free_space_count,wall_region_rmse,rmse_delta_vs_multi_wall,rmse_delta_vs_direct_rf
log_distance,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,7.362243471570192,5.995362281799316,5.540504455566406,11.664543151855469,13.163239479064941,0.015690406784415245,7.362441062927246,17170,13.667471049851322,7.243871845794814,7.120568568084264,7.362243471570192,17170,0.0,7.364462829236162,5.996860027313232,11.665225982666016,16998,13.721683129599116,7.244701352944401,7.374165076771299,6.016353130340576,11.712165832519531,15797,7.22366460739588,0.5092783098548939,3.904609126322805
multi_wall,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,6.852965161715298,5.561913013458252,5.005821228027344,11.005583763122559,12.443808555603027,0.11412113904953003,6.852214336395264,17170,11.147651250197644,6.779020320305977,6.7067654439832145,6.852965161715298,17170,0.0,6.857231394961866,5.5647358894348145,11.010644912719727,16998,11.18780218017208,6.782452927920126,6.861157183875783,5.582691669464111,11.018610000610352,15797,6.757997801391432,0.0,3.395330816467911
idw,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,5.72642649589261,4.268436908721924,3.428112030029297,9.300339698791504,11.779398918151855,0.3157396614551544,5.717881679534912,17170,17.337589117078778,5.412955229524404,5.1833146533865175,5.72642649589261,17170,0.0,5.7553259622651,4.311628341674805,9.330272674560547,16998,17.41657626457611,5.440307375535789,5.656865879850134,4.223581790924072,9.262350082397461,15797,6.473199928821329,-1.1265386658226886,2.2687921506452224
multi_wall_residual_idw,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,4.361941954826547,3.0800423622131348,2.203897476196289,6.582433223724365,8.488380432128906,0.0672742947936058,4.3615498542785645,17170,9.4883490730815,4.254495410895206,4.146576490431068,4.361941954826547,17170,0.0,4.383955298564159,3.1112091541290283,6.602675437927246,16998,9.531576399711554,4.275993756022624,4.290225215289404,3.0182228088378906,6.460691928863525,15797,5.115245560494078,-2.4910232068887517,0.9043076095791593
direct_rf_geometry,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,5.431886531204603,4.362447261810303,3.7675819396972656,9.241706848144531,10.314078330993652,-2.241351366043091,4.9480462074279785,17170,1.0898329407530534,5.465768795002062,5.534839233877123,5.431886531204603,17170,0.0,5.4360060162568455,4.364941596984863,9.25505542755127,16998,1.0897638707409572,5.469949778918355,5.457381764680104,4.382591247558594,9.304278373718262,15797,5.129443803643662,-1.4210786305106948,1.9742521859572162
direct_rf_sparse_anchor,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,5.106253247527478,4.178206443786621,3.824573516845703,7.984269142150879,9.448504447937012,0.39351022243499756,5.091216087341309,17170,1.0865358241819274,5.137938146190748,5.20247149921596,5.106253247527478,17170,0.0,5.106912240083228,4.179079055786133,7.984468936920166,16998,1.0890262362645304,5.138626017142449,5.08123387698053,4.167541027069092,7.935549736022949,15797,5.385757742258562,-1.74671191418782,1.648618902280091
direct_rf_all_features,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,3.457634345247387,2.5086047649383545,1.7888774871826172,5.567662239074707,7.25446081161499,0.31880828738212585,3.4430055618286133,17170,1.0794069666762536,3.477920190638336,3.5093431960887806,3.457634345247387,17170,0.0,3.474107886977092,2.527688503265381,5.5890021324157715,16998,1.0814375463049084,3.494523095573458,3.3540514622145894,2.4180219173431396,5.384674072265625,15797,4.480311493765003,-3.395330816467911,0.0
direct_extra_all_features,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,3.414543862486342,2.4987542629241943,1.7973594665527344,5.628758430480957,7.146557807922363,0.12673693895339966,3.412290334701538,17170,1.0263298816324615,3.434734268598098,3.465728279704281,3.414543862486342,17170,0.0,3.4305005486723315,2.5169427394866943,5.654444694519043,16998,1.028011394211237,3.450817464536862,3.327171589759564,2.4169023036956787,5.426811218261719,15797,4.29374846982607,-3.4384212992289562,-0.04309048276104521
wallpath_rf,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,3.6479628727282476,2.620190382003784,1.8978500366210938,5.846531867980957,7.456140995025635,0.16956382989883423,3.6441259384155273,17170,3.2350890299543322,3.653038201676515,3.59073584165767,3.6479628727282476,17170,0.0,3.665903277515199,2.6420018672943115,5.863844394683838,16998,3.249737199344466,3.6710231949724306,3.548154967104721,2.5339865684509277,5.676579475402832,15797,4.644480069942774,-3.2050022889870506,0.19032852748086038
wallpath_extra,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,3.609128878163307,2.599562883377075,1.8769245147705078,5.80614709854126,7.4488606452941895,0.21172219514846802,3.603018283843994,17170,2.9019569227203137,3.6174368436755024,3.5933740861880756,3.609128878163307,17170,0.0,3.627013222946664,2.6221017837524414,5.822543144226074,16998,2.9151738210783,3.635382791941275,3.5146128556307765,2.513578176498413,5.605237007141113,15797,4.5576889033997885,-3.243836283551991,0.15149453291591986
wallpath_calibrated,0.01,22,B21,B21_Ant1_f1_S0,172,17170,172,3,3.590542619028885,2.604688882827759,1.8805198669433594,5.775656223297119,7.423121452331543,0.4381190836429596,3.563816547393799,17170,1.0002178064612604,3.6120702863773175,3.644654235262962,3.590542619028885,17170,0.0,3.6081309684463694,2.626149892807007,5.797626495361328,16998,1.0030536432140773,3.62979289897798,3.502068565656393,2.522716999053955,5.574009895324707,15797,4.484619579605215,-3.262422542686413,0.13290827378149794
