split,method,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,unique_test_points
random,direct_extra,6.559176262633928,5.046566964477332,3.7794259366042766,10.773632760295312,12.88631302521011,0.1957917720694058,6.556253413824872,458,458
random,direct_rf,6.34467490042573,4.941394571963827,3.965585450781113,10.307861861790165,12.350542223084883,0.12433681827014159,6.343456466920436,458,458
random,log_distance,9.846689821351063,8.18032187308228,7.421392897867406,15.720909051911496,18.552147158353726,-0.48192639786361774,9.834889291951425,458,458
random,multi_wall_linear,6.997378757589921,5.6535201895932605,4.891971811623371,10.817989271345736,13.194734021757869,-0.011403727047831682,6.997369465176187,458,458
random,wallpath_residual_extra,6.471285137657224,5.001152945070021,3.8528166270816797,10.579155582895527,12.523785013291613,0.16986148300126044,6.469055449557987,458,458
random,wallpath_residual_rf,6.413481078395847,4.920684717902484,3.6965704625148845,10.068710968077902,12.584224642405385,0.1898507823015644,6.410670497178985,458,458
