row_uid,scenario,config,source_file,coord,distance_m,target_pl_db,method,pred_pl_db,error_db,abs_error_db,split,random_seed,fold
PL_Library_C2.csv::C-14,Library,C2,PL_Library_C2.csv,C-14,15.1980048,96.0,log_distance,93.63918472806739,-2.3608152719326085,2.3608152719326085,random,22,random
PL_Comms_C2.csv::J-28,Comms,C2,PL_Comms_C2.csv,J-28,5.241776893,76.0,log_distance,75.40181040723841,-0.5981895927615852,0.5981895927615852,random,22,random
PL_Library_C1.csv::J-11,Library,C1,PL_Library_C1.csv,J-11,8.6762,70.0,log_distance,84.03516226026288,14.03516226026288,14.03516226026288,random,22,random
PL_Comms_C2.csv::B-52,Comms,C2,PL_Comms_C2.csv,B-52,23.2266275,115.0,log_distance,100.90558789900837,-14.094412100991633,14.094412100991633,random,22,random
PL_Comms_C2.csv::E-24,Comms,C2,PL_Comms_C2.csv,E-24,5.14550532,71.0,log_distance,75.0842299715548,4.084229971554805,4.084229971554805,random,22,random
PL_Comms_C2.csv::C-41,Comms,C2,PL_Comms_C2.csv,C-41,12.22604699,98.0,log_distance,89.91127794811887,-8.088722051881135,8.088722051881135,random,22,random
PL_Comms_C1.csv::I-20,Comms,C1,PL_Comms_C1.csv,I-20,9.848857802,92.0,log_distance,86.20705303799556,-5.792946962004436,5.792946962004436,random,22,random
PL_Comms_C2.csv::B-48,Comms,C2,PL_Comms_C2.csv,B-48,19.2737185,114.0,log_distance,97.70944235454326,-16.290557645456744,16.290557645456744,random,22,random
PL_Comms_C2.csv::H-52,Comms,C2,PL_Comms_C2.csv,H-52,23.2266275,90.0,log_distance,100.90558789900837,10.905587899008367,10.905587899008367,random,22,random
PL_Library_C2.csv::A-12,Library,C2,PL_Library_C2.csv,A-12,18.46999865,94.0,log_distance,96.97969782443761,2.979697824437608,2.979697824437608,random,22,random
PL_SSE_C2.csv::D-9,SSE,C2,PL_SSE_C2.csv,D-9,10.12305413,92.0,log_distance,86.67750409490043,-5.322495905099572,5.322495905099572,random,22,random
