task,scope,building,baseline_method,metric,num_valid_maps,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,wallpath_improvement_percent,wallpath_map_win_rate,building_winner
task2,overall,21,direct_extra_all_features,free_space_rmse,150,6.487246108768197,8.512744406137871,2.0254982973696745,0.36727803046492014,23.793716817214044,0.6533333333333333,wallpath_extra
task2,overall,21,direct_extra_all_features,high_wall_rmse,150,7.052649524951386,9.244202036839708,2.191552511888322,0.389318707537762,23.707319497719915,0.6333333333333333,wallpath_extra
task2,overall,21,direct_extra_all_features,los_rmse,141,4.443226435119253,2.37322335945526,-2.0700030756639927,-1.2528811873886518,-87.22327240783324,0.1276595744680851,baseline
task2,overall,21,direct_extra_all_features,mae,150,4.795274865362379,6.553709727128346,1.7584348617659675,0.3471395174662275,26.831137401266393,0.6533333333333333,wallpath_extra
task2,overall,21,direct_extra_all_features,nlos_rmse,150,6.847404850378466,8.862876288876299,2.015471438497833,0.32609645568129153,22.740602179310898,0.6133333333333333,wallpath_extra
task2,overall,21,direct_extra_all_features,non_anchor_rmse,150,6.732737809116267,8.631768192166906,1.899030383050638,0.2679591877701242,22.000479400894445,0.6,wallpath_extra
task2,overall,21,direct_extra_all_features,p90_ae,150,11.044784735573662,14.501641516155665,3.4568567805820045,0.4995110829671221,23.837692972418775,0.6133333333333333,wallpath_extra
task2,overall,21,direct_extra_all_features,rmse,150,6.705461634831722,8.613348899651657,1.9078872648199343,0.27327619710420725,22.150353910510855,0.6,wallpath_extra
task2,overall,21,direct_extra_all_features,wall_region_rmse,150,8.756622669172968,9.62086303091226,0.8642403617392929,-0.1909300065321693,8.9829816614419,0.42,wallpath_extra
task2,overall,21,direct_rf_all_features,free_space_rmse,150,6.487246108768197,6.7008453115040565,0.21359920273585994,-0.046469011118739356,3.1876456298603246,0.4533333333333333,wallpath_extra
task2,overall,21,direct_rf_all_features,high_wall_rmse,150,7.052649524951386,7.30506606905089,0.2524165440995039,-0.009576841902864341,3.4553629181932846,0.49333333333333335,wallpath_extra
task2,overall,21,direct_rf_all_features,los_rmse,141,4.443226435119253,2.913197087540281,-1.5300293475789717,-1.1487527577979442,-52.52062602021999,0.07092198581560284,baseline
task2,overall,21,direct_rf_all_features,mae,150,4.795274865362379,4.980135071542528,0.1848602061801486,-0.00783240795135498,3.7119516544134834,0.48,wallpath_extra
task2,overall,21,direct_rf_all_features,nlos_rmse,150,6.847404850378466,7.0565253918858675,0.20912054150740184,-0.040791253124035975,2.9635058317492047,0.47333333333333333,wallpath_extra
task2,overall,21,direct_rf_all_features,non_anchor_rmse,150,6.732737809116267,6.8975475440133645,0.16480973489709694,-0.05558439976367424,2.3893961418235135,0.43333333333333335,wallpath_extra
task2,overall,21,direct_rf_all_features,p90_ae,150,11.044784735573662,11.603350658416748,0.5585659228430855,-0.08819063504536917,4.813832997780835,0.4266666666666667,wallpath_extra
task2,overall,21,direct_rf_all_features,rmse,150,6.705461634831722,6.873210893043059,0.1677492582113363,-0.05399174467623524,2.4406243431455032,0.43333333333333335,wallpath_extra
task2,overall,21,direct_rf_all_features,wall_region_rmse,150,8.756622669172968,8.555320943554289,-0.20130172561867815,-0.12517054407886485,-2.3529418352252782,0.36,baseline
task2,overall,21,multi_wall_residual_idw,free_space_rmse,150,6.487246108768197,6.992227872402011,0.5049817636338135,0.6362833394897889,7.222043858538318,0.9266666666666666,wallpath_extra
task2,overall,21,multi_wall_residual_idw,high_wall_rmse,150,7.052649524951386,7.572263051195746,0.5196135262443602,0.5666277177895123,6.862063860318573,0.9,wallpath_extra
task2,overall,21,multi_wall_residual_idw,los_rmse,141,4.443226435119253,7.034561798531899,2.591335363412646,2.1815786379714166,36.83719665315121,0.9929078014184397,wallpath_extra
task2,overall,21,multi_wall_residual_idw,mae,150,4.795274865362379,5.1088473818037246,0.3135725164413452,0.4832465648651123,6.137832920165171,0.8933333333333333,wallpath_extra
task2,overall,21,multi_wall_residual_idw,nlos_rmse,150,6.847404850378466,7.381866056246425,0.5344612058679592,0.5953339435320388,7.240191054614239,0.9066666666666666,wallpath_extra
task2,overall,21,multi_wall_residual_idw,non_anchor_rmse,150,6.732737809116267,7.349602778107146,0.6168649689908792,0.6816113163460102,8.393174265531528,0.9333333333333333,wallpath_extra
task2,overall,21,multi_wall_residual_idw,p90_ae,150,11.044784735573662,11.516711197959053,0.4719264623853896,0.7465360959370932,4.097753727375079,0.9,wallpath_extra
task2,overall,21,multi_wall_residual_idw,rmse,150,6.705461634831722,7.312697900828316,0.607236265996593,0.6770112291954418,8.303860958454358,0.9333333333333333,wallpath_extra
task2,overall,21,multi_wall_residual_idw,wall_region_rmse,150,8.756622669172968,10.082075707766416,1.3254530385934493,0.9343468935607078,13.146628502029857,0.9133333333333333,wallpath_extra
task2,overall,22,direct_extra_all_features,free_space_rmse,150,3.957331514818341,4.10143131341607,0.1440997985977296,-0.021980403413907945,3.513402702280262,0.46,wallpath_extra
task2,overall,22,direct_extra_all_features,high_wall_rmse,150,4.611060114879655,4.629604506046291,0.018544391166635935,-0.06538789739238982,0.4005610229214253,0.32,wallpath_extra
task2,overall,22,direct_extra_all_features,los_rmse,150,2.0491499207465904,2.340101789852861,0.29095186910627074,-0.15953915662671003,12.433299712341356,0.44,wallpath_extra
task2,overall,22,direct_extra_all_features,mae,150,2.630963104036119,3.008007613288032,0.3770445092519124,0.14936351776123025,12.534692651251907,0.68,wallpath_extra
task2,overall,22,direct_extra_all_features,nlos_rmse,150,4.343566227106807,4.3734088026292675,0.02984257552246126,-0.06435508562524439,0.682364189337139,0.34,wallpath_extra
task2,overall,22,direct_extra_all_features,non_anchor_rmse,150,4.130785407934441,4.226231238396718,0.09544583046227686,-0.03977350364836951,2.258414769052847,0.43333333333333335,wallpath_extra
