task,verified_seed,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,wallpath_improvement_percent,wallpath_map_win_rate,winner
task3,11,multi_wall_residual_idw,nlos_rmse,5550,5550,0,5.3961544484032995,5.902609845880969,0.506455397477669,0.7034060066187977,8.580194366583287,0.8594594594594595,wallpath_extra
task3,11,multi_wall_residual_idw,high_wall_rmse,5550,5550,0,5.578237667434498,6.041639406982582,0.4634017395480842,0.677778012470045,7.670132365273423,0.8446846846846847,wallpath_extra
task3,11,multi_wall_residual_idw,free_space_rmse,5550,5550,0,5.169244020988701,5.69133271404656,0.5220886930578585,0.7433497441655699,9.1733996111194,0.8643243243243244,wallpath_extra
task3,11,multi_wall_residual_idw,wall_region_rmse,5550,5550,0,7.183644220539597,8.02383114148064,0.8401869209410447,0.610811496410812,10.471144097207443,0.8272072072072072,wallpath_extra
task3,11,direct_extra_all_features,rmse,5550,5550,0,5.2992428670753675,7.655418678950694,2.3561758118753273,1.4234448941602025,30.777883100683404,0.9264864864864865,wallpath_extra
task3,11,direct_extra_all_features,non_anchor_rmse,5550,5550,0,5.3198296282109885,7.669145662171962,2.349316033960973,1.417101297060848,30.633347408551227,0.9263063063063063,wallpath_extra
task3,11,direct_extra_all_features,mae,5550,5550,0,3.7138829292477786,6.069013927595035,2.355130998347257,1.4291815757751467,38.80582622555495,0.9668468468468469,wallpath_extra
task3,11,direct_extra_all_features,p90_ae,5550,5550,0,8.771782145843849,12.404338793367954,3.6325566475241033,2.201198339462281,29.28456492551034,0.9153153153153153,wallpath_extra
task3,11,direct_extra_all_features,los_rmse,5550,5267,283,4.250905619846181,8.68695326664894,4.436047646802759,4.724483893852575,51.065632686590924,0.8765900892348586,wallpath_extra
task3,11,direct_extra_all_features,nlos_rmse,5550,5550,0,5.3961544484032995,7.459085275367493,2.0629308269641933,0.8607516448717543,27.656619421911053,0.8888288288288289,wallpath_extra
task3,11,direct_extra_all_features,high_wall_rmse,5550,5550,0,5.578237667434498,7.6434500597243895,2.0652123922898915,0.7063175245810107,27.01937444678431,0.8571171171171171,wallpath_extra
task3,11,direct_extra_all_features,free_space_rmse,5550,5550,0,5.169244020988701,7.6275597224635465,2.458315701474845,1.5331157483052529,32.22938647382834,0.9378378378378378,wallpath_extra
task3,11,direct_extra_all_features,wall_region_rmse,5550,5550,0,7.183644220539597,8.11784803912033,0.9342038185807352,0.000884268807964661,11.508022989328655,0.5007207207207207,wallpath_extra
task3,22,direct_rf_all_features,rmse,5550,5550,0,5.335455215799356,5.8927369036338595,0.5572816878345034,0.3853173777057992,9.45709433405802,0.867027027027027,wallpath_extra
