task,scope,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,wallpath_map_wins,baseline_map_wins,ties,wallpath_map_win_rate,baseline_map_win_rate,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,mean_wallpath_improvement_percent
task2,overall,direct_extra_all_features,free_space_rmse,750,750,0,479,271,0,0.6386666666666667,0.36133333333333334,4.666316566913656,5.423635175834825,0.7573186089211705,0.1120971504936612,13.963302920805326
task2,Ant1-f1 source-like,direct_extra_all_features,free_space_rmse,250,250,0,55,195,0,0.22,0.78,2.8565591864407462,2.7884398502285257,-0.06811933621222077,-0.08379480325542166,-2.4429193337858033
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,free_space_rmse,500,500,0,424,76,0,0.848,0.152,5.5711952571501095,6.741232838637976,1.1700375814878663,0.3317279090690368,17.356433303737738
task2,overall,direct_extra_all_features,high_wall_rmse,750,750,0,435,315,0,0.58,0.42,5.145581756579418,5.910053264278187,0.7644715076987685,0.034824380703542435,12.935103517922977
task2,Ant1-f1 source-like,direct_extra_all_features,high_wall_rmse,250,250,0,59,191,0,0.236,0.764,3.2014958912091425,3.120812058495284,-0.08068383271385877,-0.07383112100669964,-2.5853473775912192
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,high_wall_rmse,500,500,0,376,124,0,0.752,0.248,6.117624689264556,7.3046738671696385,1.187049177905082,0.2543877082934225,16.250543138417097
task2,overall,direct_extra_all_features,los_rmse,750,711,39,256,455,0,0.360056258790436,0.639943741209564,2.823779631604143,2.377740078677529,-0.4460395529266142,-0.2872143336524007,-18.75897020563726
task2,Ant1-f1 source-like,direct_extra_all_features,los_rmse,250,238,12,1,237,0,0.004201680672268907,0.9957983193277311,1.3119460907450504,0.7498379802105131,-0.5621081105345371,-0.4222560948351591,-74.96394226079725
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,los_rmse,500,473,27,255,218,0,0.5391120507399577,0.4608879492600423,3.5844908001548075,3.1968536081387335,-0.38763719201607366,0.11166819888126955,-12.125584700819735
task2,overall,direct_extra_all_features,mae,750,750,0,578,172,0,0.7706666666666667,0.22933333333333333,3.2537590808338592,4.024926814317704,0.7711677334838443,0.2752439578374226,19.15979517293586
task2,Ant1-f1 source-like,direct_extra_all_features,mae,250,250,0,95,155,0,0.38,0.62,1.9211883625984194,1.9084237107435862,-0.01276465185483297,-0.025579094886779785,-0.6688583768360162
