task,scope,baseline_method,metric,num_buildings,buildings,cluster_mean_paired_difference,cluster_median_paired_difference,cluster_mean_improvement_percent,bootstrap_iterations,confidence,difference_ci_low,difference_ci_high,improvement_percent_ci_low,improvement_percent_ci_high,bootstrap_probability_wallpath_better,wallpath_building_wins,baseline_building_wins,building_ties,sign_test_p_two_sided,difference_ci_excludes_zero
task2,overall,multi_wall_residual_idw,rmse,5,"B21,B22,B23,B24,B25",0.808728793599878,0.8396001142945608,15.078109483971465,20000,0.95,0.694907827493959,0.9053008438786587,11.537978897611133,17.752653592396605,1.0,5,0,0,0.0625,True
task2,overall,multi_wall_residual_idw,wall_region_rmse,5,"B21,B22,B23,B24,B25",1.0067484223543162,1.006778910469491,12.600714061155875,20000,0.95,0.8010107181905541,1.1979833873438661,10.955248547187326,13.935895264542816,1.0,5,0,0,0.0625,True
task3,Ant1-f1 source-like,direct_extra_all_features,free_space_rmse,5,"B21,B22,B23,B24,B25",-0.06811933621190266,-0.06315264771956514,-2.764113421958207,20000,0.95,-0.15652273404099298,0.025120273706578565,-5.51021336050633,0.441249729337049,0.07325,1,4,0,0.375,False
task3,Ant1-f1 source-like,direct_extra_all_features,high_wall_rmse,5,"B21,B22,B23,B24,B25",-0.08068383271352973,-0.059625086977566744,-2.745405513992812,20000,0.95,-0.17814052674807218,0.016087895499800983,-5.197062975279912,0.1189431412743291,0.06835,1,4,0,0.375,False
task3,Ant1-f1 source-like,direct_extra_all_features,los_rmse,5,"B21,B22,B23,B24,B25",-0.5690958850390428,-0.4409593633827004,-74.82654089848121,20000,0.95,-0.827938121000274,-0.35318203085430716,-100.7420906904957,-48.91099110646671,0.0,0,5,0,0.0625,True
task3,Ant1-f1 source-like,direct_extra_all_features,mae,5,"B21,B22,B23,B24,B25",-0.012764651854832975,0.016759409507115693,-0.533892879268096,20000,0.95,-0.08744579950968426,0.053879689137140904,-3.6464089991903963,2.5682594792568123,0.3719,3,2,0,1.0,False
task3,Ant1-f1 source-like,direct_extra_all_features,nlos_rmse,5,"B21,B22,B23,B24,B25",-0.08078057223365227,-0.061591674308183686,-2.887671570738683,20000,0.95,-0.17810743768774592,0.013071489763241424,-5.511767288936193,0.027911794103227906,0.05945,1,4,0,0.375,False
task3,Ant1-f1 source-like,direct_extra_all_features,non_anchor_rmse,5,"B21,B22,B23,B24,B25",-0.09073432836273018,-0.06592680398131268,-3.339684150465107,20000,0.95,-0.1833529221366628,0.003886465979167758,-6.035327417960721,-0.3913907069464163,0.03675,1,4,0,0.375,False
task3,Ant1-f1 source-like,direct_extra_all_features,p90_ae,5,"B21,B22,B23,B24,B25",-0.027840091069539365,-0.10134101390838621,-1.0944075811705802,20000,0.95,-0.15626609325408936,0.16035496711730962,-3.368676653921772,2.340156466170695,0.31255,1,4,0,0.375,False
task3,Ant1-f1 source-like,direct_extra_all_features,rmse,5,"B21,B22,B23,B24,B25",-0.08868041352879533,-0.06481807364933875,-3.2871172309118237,20000,0.95,-0.19055196621818582,0.006516546850884564,-5.993553875151817,-0.31104326352695955,0.0442,1,4,0,0.375,False
task3,Ant1-f1 source-like,direct_extra_all_features,wall_region_rmse,5,"B21,B22,B23,B24,B25",-0.2746064370845348,-0.2750464361742812,-6.3320085510835105,20000,0.95,-0.44478358757622427,-0.12901755807231235,-9.422527274110475,-3.28746035428138,0.0,0,5,0,0.0625,True
task3,Ant1-f1 source-like,direct_rf_all_features,free_space_rmse,5,"B21,B22,B23,B24,B25",-0.06192893219521178,-0.04980971114834807,-2.3295819778322704,20000,0.95,-0.14595874144118232,0.021944326771310585,-5.049646179848237,0.39048222418369705,0.07555,2,3,0,1.0,False
task3,Ant1-f1 source-like,direct_rf_all_features,high_wall_rmse,5,"B21,B22,B23,B24,B25",-0.06993419745152782,-0.04554858242893914,-2.2516770228665726,20000,0.95,-0.15864197878129177,0.013707090843915835,-4.616184172997576,0.1128301272644292,0.0561,1,4,0,0.375,False
task3,Ant1-f1 source-like,direct_rf_all_features,los_rmse,5,"B21,B22,B23,B24,B25",-0.5267650934943112,-0.4079735368011579,-65.22423471724886,20000,0.95,-0.7469296232893948,-0.32651834490220655,-87.10809508266989,-43.62888509403944,0.0,0,5,0,0.0625,True
task3,Ant1-f1 source-like,direct_rf_all_features,mae,5,"B21,B22,B23,B24,B25",-0.023486389001210542,0.014729746182759615,-0.9560695273000113,20000,0.95,-0.09923767296473188,0.0411261380513509,-4.258250105614576,2.1437625686053208,0.264,3,2,0,1.0,False
