condition_order,condition_id,condition,method_order,method_id,method,rmse_mean,rmse_std,mae_mean,mae_std,p90_ae_mean,p90_ae_std
0,Ant1-f1 source-like,Source-like,0,wallpath_extra,WallPath-PI,2.9670564770712,0.0076255879296696,1.92118836259842,0.0057432162726841,4.80839833577474,0.0160852417414896
0,Ant1-f1 source-like,Source-like,1,direct_rf_all_features,Direct RF,2.88981141394875,0.008582023326321,1.89770197359721,0.0042484491249011,4.77586900011698,0.0156264324374677
0,Ant1-f1 source-like,Source-like,2,direct_extra_all_features,Direct ExtraTrees,2.87837606354241,0.0148949210098246,1.90842371074359,0.0097153462817653,4.7805582447052,0.0298739033620414
1,Ant1-f2/f3 frequency shift,Frequency shift,0,wallpath_extra,WallPath-PI,5.74428720177534,0.0049404998129978,3.92004443995158,0.006925767928342,9.56295921166738,0.0144080335188426
1,Ant1-f2/f3 frequency shift,Frequency shift,1,direct_rf_all_features,Direct RF,5.9455125010096,0.0072982042213178,4.19224510367711,0.009482187935969,10.0201578315099,0.0058103347775466
1,Ant1-f2/f3 frequency shift,Frequency shift,2,direct_extra_all_features,Direct ExtraTrees,6.83974356511769,0.0575965968017879,5.08317836610476,0.0614923999225348,11.4833287668228,0.0981265473286472
2,Ant2-Ant5 additional antenna configurations,Additional antennas,0,wallpath_extra,WallPath-PI,5.39780599942853,0.021616837927801,3.81064826101479,0.0211211176774464,8.93397763593329,0.032096921522859
2,Ant2-Ant5 additional antenna configurations,Additional antennas,1,direct_rf_all_features,Direct RF,6.01894333981386,0.0210252172934489,4.45282164363397,0.0192513465060954,10.0422460668617,0.0328928261346234
2,Ant2-Ant5 additional antenna configurations,Additional antennas,2,direct_extra_all_features,Direct ExtraTrees,8.11805895594021,0.10610820476159,6.53642433778279,0.121369276985984,13.0800746494035,0.148061275723402
