anchor_fraction,method,rmse_mean,rmse_std,mae_mean,mae_std,p90_mean,p90_std,rank
0.01,bias_calibrated_multi_wall,9.035797504091565,0.5485996107303908,7.14953846004316,0.4366974034797183,14.877998384751342,0.6065591019565469,1
0.01,direct_extra_with_anchors,9.044415694848587,0.19121993471442666,7.174316592262667,0.22583918793604613,15.082828192640696,0.44958646604474783,2
0.01,bias_calibrated_log_distance,9.203209557177109,0.19663175479229833,7.574346009084999,0.1028628707076297,15.007638910638304,0.4608575376612633,3
0.01,direct_rf_with_anchors,9.293318651639671,0.26032406510898004,7.356751616715093,0.2581168508450177,15.540125396825388,0.5682353794550767,4
0.01,wallpath_fewshot_residual_rf,9.834202842058284,0.16774342125894026,7.790120131272329,0.1670524963883184,15.979716588619949,0.13990390929388272,5
0.01,wallpath_fewshot_residual_extra,9.857316376208688,0.07187331678164927,7.804710148229506,0.008281678865249826,15.97996743947501,0.10457602343728852,6
0.01,multi_wall_linear,10.082548369088169,0.0047074799065504975,8.105831746776799,0.005341655601860268,16.20303543759145,0.017289564052268686,7
0.01,log_distance,14.973968641157974,0.01163235633019742,12.677742922511301,0.00845128770150023,24.0669538263523,0.03257645245126321,8
0.05,direct_extra_with_anchors,7.882080725716855,0.20341590646693122,6.255167034942126,0.17198460311665809,12.879606481481483,0.43599852104968534,1
0.05,direct_rf_with_anchors,8.046990297450831,0.2868560518927799,6.423661714494337,0.29291523505456973,13.40451318542569,0.519185166675611,2
0.05,wallpath_fewshot_residual_extra,8.245739858541791,0.3228123199627222,6.494176263776701,0.26076742214098564,13.580522569235853,0.46339872825706485,3
0.05,wallpath_fewshot_residual_rf,8.293979178430886,0.27195970959880167,6.5787390594327055,0.22152078759227042,13.646689216676373,0.5120227706914617,4
0.05,bias_calibrated_multi_wall,8.34454056669856,0.010729258796823068,6.573528482139033,0.010924798437569121,13.923932844190587,0.14393008370121954,5
0.05,bias_calibrated_log_distance,8.487024686926274,0.10608824633545508,6.993973169357351,0.13936974428124474,13.88519538131015,0.11932472465133256,6
0.05,multi_wall_linear,10.067237604396071,0.04567663361779082,8.093382940153324,0.044482007522109256,16.208493936580656,0.053042807615887304,7
0.05,log_distance,15.012893573329208,0.0012338631286487893,12.71879321698723,0.006498128126339053,24.10873500184458,0.02121735870484564,8
0.1,direct_extra_with_anchors,7.432041305829333,0.0621665750844904,5.84092139781783,0.03842248743899046,12.074239466089466,0.07615519024562811,1
0.1,wallpath_fewshot_residual_extra,7.539096392871056,0.06435566008634262,5.914195486392219,0.0975218057504903,12.308286001096993,0.29355971296475625,2
0.1,direct_rf_with_anchors,7.556609882172277,0.0931923822306695,5.978289290700148,0.10160800540786083,12.289436531986526,0.2440562922073477,3
0.1,wallpath_fewshot_residual_rf,7.590312914194314,0.041207388526043665,5.985102000870223,0.0263326400985801,12.440091584318168,0.12594351254849795,4
0.1,bias_calibrated_multi_wall,8.274600188444984,0.04793673107516146,6.496283550155943,0.02564566741962543,13.782540576097452,0.08725409564288522,5
0.1,bias_calibrated_log_distance,8.481705985599929,0.13391294368200216,6.954462020753572,0.13829307680215452,13.892922037392523,0.06592855431311125,6
0.1,multi_wall_linear,10.067891922769839,0.03394103618527837,8.085463960405813,0.032005630988169026,16.191989241494824,0.16415771082229996,7
0.1,log_distance,14.974210072119854,0.0827137878121573,12.676630086961348,0.0963294683982126,24.066652011121857,0.07722519929423645,8
