anchor_fraction,adapted_method,baseline_method,adapted_rmse_mean,adapted_rmse_std,baseline_rmse_mean,baseline_rmse_std,rmse_improvement_mean_percent,rmse_improvement_std_percent,adapted_mae_mean,baseline_mae_mean,mae_improvement_mean_percent,anchor_seed_rmse_wins,scenario_rmse_wins,num_scenarios,mean_point_win_percent
0.01,bias_calibrated_multi_wall,multi_wall_linear,9.035797504091564,0.5485996107303903,10.082548369088169,0.0047074799065504975,10.38256033495666,5.423749848557279,7.14953846004316,8.1058317467768,11.798750273415186,3,2,3,59.43066707551706
0.01,direct_extra_with_anchors,direct_extra,9.044415694848587,0.19121993471442664,11.152879828791113,0.021365335397043578,18.906278327916446,1.6215639426770596,7.174316592262667,8.97882971253039,20.10038918464573,3,3,3,60.76271659886774
0.01,bias_calibrated_log_distance,log_distance,9.203209557177109,0.19663175479229839,14.973968641157972,0.011632356330196842,38.53791377840818,1.359826833535195,7.574346009084999,12.677742922511301,40.25447805352558,3,2,3,64.1075814083369
0.01,direct_rf_with_anchors,direct_rf,9.293318651639671,0.2603240651089798,10.87900649831038,0.01828534264304977,14.576987448006358,2.318070171955964,7.356751616715093,8.764856032004838,16.068757707796454,3,3,3,60.615679107053516
0.01,wallpath_fewshot_residual_rf,wallpath_residual_rf,9.834202842058284,0.1677434212589399,11.055135612100244,0.004672382735614363,11.044269507530968,1.495603208499969,7.790120131272329,8.758077212740147,11.05295203189606,3,3,3,64.39908805345809
0.01,wallpath_fewshot_residual_extra,wallpath_residual_extra,9.857316376208688,0.07187331678165018,10.955774638943048,0.006768516020518213,10.02600181381514,0.7113631031268031,7.804710148229506,8.74710756048877,10.773771371120395,3,3,3,60.72859124364977
0.05,direct_extra_with_anchors,direct_extra,7.882080725716855,0.2034159064669315,11.180930146969347,0.020714757582084926,29.505989908355883,1.7106819715883657,6.255167034942126,8.998245601341637,30.486020997444683,3,3,3,66.9588134227615
0.05,direct_rf_with_anchors,direct_rf,8.04699029745083,0.2868560518927799,10.903284879729085,0.020282033891351643,26.196857385074566,2.617286773924818,6.423661714494337,8.78147849052862,26.850340394122956,3,3,3,68.74751224209051
0.05,wallpath_fewshot_residual_extra,wallpath_residual_extra,8.245739858541791,0.3228123199627227,10.936550309007885,0.07832894471708832,24.61520245941699,2.426644715564318,6.494176263776701,8.734883959563534,25.665848030011137,3,3,3,64.3670124872351
0.05,wallpath_fewshot_residual_rf,wallpath_residual_rf,8.293979178430886,0.27195970959880333,11.039460382274342,0.08140739292983033,24.879121498885734,1.9167302882277324,6.578739059432704,8.752487563739257,24.846256730389133,3,3,3,66.69422199011046
0.05,bias_calibrated_multi_wall,multi_wall_linear,8.34454056669856,0.010729258796822296,10.067237604396071,0.04567663361779106,17.11052189785087,0.46457522766783776,6.573528482139032,8.093382940153324,18.777834268323573,3,3,3,62.59188018942008
0.05,bias_calibrated_log_distance,log_distance,8.487024686926274,0.10608824633545497,15.012893573329208,0.0012338631286496478,43.46844430728313,0.7047050658403033,6.99397316935735,12.718793216987232,45.01098149807044,3,3,3,69.26987031815491
0.1,direct_extra_with_anchors,direct_extra,7.432041305829333,0.062166575084490895,11.141625465331296,0.06565104898839788,33.29484939401282,0.3869044672260583,5.84092139781783,8.96233806390545,34.827275270522534,3,3,3,67.89093961486938
0.1,wallpath_fewshot_residual_extra,wallpath_residual_extra,7.539096392871056,0.06435566008634204,10.965092105883167,0.037631316131250335,31.242814047401314,0.8069942954974487,5.914195486392219,8.750337996483134,32.408859090704276,3,3,3,66.87023712119291
0.1,direct_rf_with_anchors,direct_rf,7.556609882172277,0.09319238223066993,10.87415987741173,0.0535332088350942,30.509261998848576,0.6844986347066868,5.978289290700148,8.754345375328784,31.711446787738495,3,3,3,68.41609732112902
0.1,wallpath_fewshot_residual_rf,wallpath_residual_rf,7.590312914194314,0.041207388526044095,11.065540394835757,0.04063395924617825,31.405091745024922,0.4824055191150114,5.985102000870222,8.762675322638946,31.696137680190674,3,3,3,70.19206987530974
0.1,bias_calibrated_multi_wall,multi_wall_linear,8.274600188444984,0.047936731075161755,10.067891922769839,0.03394103618527997,17.8115016339904,0.520316644393266,6.496283550155943,8.085463960405813,19.653775160239007,3,3,3,62.57709301530671
0.1,bias_calibrated_log_distance,log_distance,8.481705985599929,0.1339129436820015,14.974210072119854,0.08271378781215769,43.353645516456176,1.1970349640214093,6.954462020753571,12.676630086961348,45.13210828957799,3,2,3,70.04363220847954
