fold,anchor_fraction,method,rmse_mean,rmse_std,rank
holdout_Comms,0.01,direct_extra_with_anchors,7.941628117321624,0.09614115901519064,1
holdout_Comms,0.01,direct_rf_with_anchors,7.983892827613924,0.1327607823448666,2
holdout_Comms,0.01,bias_calibrated_multi_wall,9.170662690676878,0.7126503580549572,3
holdout_Comms,0.01,wallpath_fewshot_residual_rf,9.394751624033379,0.5953580648513744,4
holdout_Comms,0.01,multi_wall_linear,9.478999764752436,0.023799922550422795,5
holdout_Comms,0.01,wallpath_fewshot_residual_extra,9.557304526718129,0.6431779820836522,6
holdout_Comms,0.01,bias_calibrated_log_distance,10.06550571754268,0.5127692247792588,7
holdout_Comms,0.01,log_distance,15.605269913781617,0.016241436085651074,8
holdout_Comms,0.05,direct_rf_with_anchors,7.572787197243634,0.263590860516842,1
holdout_Comms,0.05,wallpath_fewshot_residual_rf,7.603858575829253,0.018415045470693284,2
holdout_Comms,0.05,direct_extra_with_anchors,7.63643081458016,0.14886403338998883,3
holdout_Comms,0.05,wallpath_fewshot_residual_extra,7.79574489907575,0.38917328614650026,4
holdout_Comms,0.05,bias_calibrated_multi_wall,8.598621970338334,0.11347421793418798,5
holdout_Comms,0.05,bias_calibrated_log_distance,9.064129127608117,0.0151083199973947,6
holdout_Comms,0.05,multi_wall_linear,9.439407776183327,0.05152103499078805,7
holdout_Comms,0.05,log_distance,15.647133324020038,0.021038247679424714,8
holdout_Comms,0.1,direct_extra_with_anchors,7.374835189357245,0.13109067934096805,1
holdout_Comms,0.1,wallpath_fewshot_residual_extra,7.402490404439507,0.19632467894200586,2
holdout_Comms,0.1,wallpath_fewshot_residual_rf,7.408634537691861,0.16426342146578612,3
holdout_Comms,0.1,direct_rf_with_anchors,7.450499143061492,0.007362777034217991,4
holdout_Comms,0.1,bias_calibrated_multi_wall,8.541600385098493,0.03786553155102933,5
holdout_Comms,0.1,bias_calibrated_log_distance,9.104781236791078,0.1349884709349082,6
holdout_Comms,0.1,multi_wall_linear,9.468416133832141,0.02475499453136124,7
holdout_Comms,0.1,log_distance,15.597784283183833,0.12868300594882742,8
holdout_Library,0.01,bias_calibrated_log_distance,7.4097683554013,0.06103943999997105,1
holdout_Library,0.01,bias_calibrated_multi_wall,8.334149475399089,0.463887245956877,2
holdout_Library,0.01,wallpath_fewshot_residual_extra,10.360922945818634,1.167325366015124,3
holdout_Library,0.01,wallpath_fewshot_residual_rf,10.621583529420171,0.9489175391929612,4
holdout_Library,0.01,direct_extra_with_anchors,10.740223570978019,0.5379784510335613,5
holdout_Library,0.01,multi_wall_linear,11.282966750430605,0.03789394687712333,6
holdout_Library,0.01,direct_rf_with_anchors,11.288896597641804,0.5712648931486966,7
holdout_Library,0.01,log_distance,15.390746024297812,0.013012056864422849,8
holdout_Library,0.05,bias_calibrated_multi_wall,7.45691707227873,0.18291708664073716,1
holdout_Library,0.05,bias_calibrated_log_distance,7.470279451139015,0.29003325277583775,2
holdout_Library,0.05,direct_extra_with_anchors,8.03040576928921,0.7063979815666905,3
holdout_Library,0.05,direct_rf_with_anchors,8.656914676223902,0.6918408043682179,4
holdout_Library,0.05,wallpath_fewshot_residual_extra,8.73006929042379,0.5053251696040105,5
holdout_Library,0.05,wallpath_fewshot_residual_rf,9.18278367239278,0.9188725078212255,6
holdout_Library,0.05,multi_wall_linear,11.310132416748944,0.05726523249524368,7
holdout_Library,0.05,log_distance,15.427138119984903,0.05164610135105203,8
holdout_Library,0.1,direct_extra_with_anchors,7.275861906660759,0.49666411840822167,1
holdout_Library,0.1,bias_calibrated_multi_wall,7.327222929418967,0.08792539093772485,2
holdout_Library,0.1,bias_calibrated_log_distance,7.333155947634784,0.08477067367803104,3
holdout_Library,0.1,wallpath_fewshot_residual_extra,7.373772569033047,0.3682700082607205,4
holdout_Library,0.1,wallpath_fewshot_residual_rf,7.46052734554605,0.1373414765510044,5
holdout_Library,0.1,direct_rf_with_anchors,7.553710182357488,0.38176530723913565,6
holdout_Library,0.1,multi_wall_linear,11.278869010496448,0.05156831053968532,7
holdout_Library,0.1,log_distance,15.429950699329423,0.019503849818954998,8
holdout_SSE,0.01,log_distance,7.655099372729558,0.033931524197377216,1
holdout_SSE,0.01,bias_calibrated_log_distance,8.388790968143963,1.458703043896626,2
holdout_SSE,0.01,direct_extra_with_anchors,9.751575158253031,0.12143798113330512,3
holdout_SSE,0.01,multi_wall_linear,9.790174125421375,0.05416848053188714,4
holdout_SSE,0.01,wallpath_fewshot_residual_rf,9.8228988880578,0.21685051297604585,5
holdout_SSE,0.01,wallpath_fewshot_residual_extra,9.876583176980118,0.17281823072459238,6
holdout_SSE,0.01,direct_rf_with_anchors,10.040960251062712,0.19798328381173566,7
holdout_SSE,0.01,bias_calibrated_multi_wall,10.115519660852478,1.7331580543864078,8
holdout_SSE,0.05,bias_calibrated_log_distance,7.634471376877777,0.3261491244046243,1
holdout_SSE,0.05,log_distance,7.6524849888084985,0.06468022344982348,2
holdout_SSE,0.05,direct_extra_with_anchors,8.836924999704637,0.6968532387610261,3
holdout_SSE,0.05,direct_rf_with_anchors,8.88777535896937,0.7137303726137464,4
holdout_SSE,0.05,bias_calibrated_multi_wall,9.301450698981293,0.4816990762135922,5
holdout_SSE,0.05,wallpath_fewshot_residual_extra,9.371211240973603,0.4469893172640913,6
holdout_SSE,0.05,wallpath_fewshot_residual_rf,9.418884565541857,0.29164493055120494,7
holdout_SSE,0.05,multi_wall_linear,9.766517847816985,0.0978921777427146,8
holdout_SSE,0.1,log_distance,7.519501221831196,0.1640783662888568,1
holdout_SSE,0.1,bias_calibrated_log_distance,7.6897564839668275,0.4704511183066928,2
holdout_SSE,0.1,direct_rf_with_anchors,8.195390804466513,0.4342299794675144,3
holdout_SSE,0.1,direct_extra_with_anchors,8.212600262431057,0.26806587321990843,4
holdout_SSE,0.1,wallpath_fewshot_residual_extra,8.796746932352606,0.4278457732615974,5
holdout_SSE,0.1,wallpath_fewshot_residual_rf,9.012338872293975,0.4270577759198312,6
holdout_SSE,0.1,bias_calibrated_multi_wall,9.30553137671816,0.49849462819575163,7
holdout_SSE,0.1,multi_wall_linear,9.710817219534654,0.1642083338702842,8
