split,method,anchor_mode,anchor_fraction,anchor_count,anchor_seed,random_seed,model_seed,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,unique_test_points
leave_scenario_fewshot,bias_calibrated_log_distance,fraction,0.01,,11,11,11,9.266376121251549,7.632783100075001,6.832953457869962,15.175243049592163,17.75181350558498,3.3897354158626527,8.62411851906891,2265,2265
leave_scenario_fewshot,bias_calibrated_log_distance,fraction,0.01,,22,11,11,8.982757177932402,7.455575244367445,6.6713447637255285,14.486433926821112,16.69556168651319,2.876426074992285,8.509764952852727,2265,2265
leave_scenario_fewshot,bias_calibrated_log_distance,fraction,0.01,,33,11,11,9.360495372347374,7.634679682812552,6.750902262247038,15.361239755501636,18.037929864774313,2.5094162476995305,9.017854717809454,2265,2265
leave_scenario_fewshot,bias_calibrated_log_distance,fraction,0.05,,11,11,11,8.42094308697203,6.896652335408142,6.022535028229328,13.861459887909872,16.119094408205868,-0.11038485325090637,8.420219573039342,2174,2174
leave_scenario_fewshot,bias_calibrated_log_distance,fraction,0.05,,22,11,11,8.609394276334058,7.1536309605378,6.402168696528918,14.014604013143508,15.915835843040647,1.5240061746102946,8.473433482663525,2174,2174
leave_scenario_fewshot,bias_calibrated_log_distance,fraction,0.05,,33,11,11,8.430736697472732,6.93163621212611,6.066901231846401,13.779522242877071,15.98440347875541,0.3678298329996494,8.422708737459041,2174,2174
leave_scenario_fewshot,bias_calibrated_log_distance,fraction,0.1,,11,11,11,8.634877115886317,7.113387689112879,6.282124912034078,13.95711656259189,16.46310052601907,1.6722631544792665,8.471401226988855,2059,2059
leave_scenario_fewshot,bias_calibrated_log_distance,fraction,0.1,,22,11,11,8.42346790313615,6.888488035443158,6.002424054998734,13.896263051763341,15.906351152471784,-0.631801826584609,8.399740351170937,2059,2059
leave_scenario_fewshot,bias_calibrated_log_distance,fraction,0.1,,33,11,11,8.386772937777318,6.861510337704677,5.992257659481979,13.825386497822342,15.900535485552638,-0.335931827497078,8.380042369648763,2059,2059
leave_scenario_fewshot,bias_calibrated_multi_wall,fraction,0.01,,11,11,11,8.460880921682344,6.698314454285971,5.518746313346256,14.222739545844458,16.926330240195195,1.323009746896704,8.356802688858018,2265,2265
leave_scenario_fewshot,bias_calibrated_multi_wall,fraction,0.01,,22,11,11,9.092897975054033,7.180208690391452,5.890603115340838,14.991406342413168,18.260758042366234,3.6041341271176788,8.34811420492601,2265,2265
leave_scenario_fewshot,bias_calibrated_multi_wall,fraction,0.01,,33,11,11,9.553613615538321,7.570092235452055,6.35727367790372,15.419849265996396,18.990336361941125,1.367752683413149,9.455198872155746,2265,2265
leave_scenario_fewshot,bias_calibrated_multi_wall,fraction,0.05,,11,11,11,8.346958985486319,6.5665876585815806,5.433772629814648,13.811966681476216,17.059874155339624,-1.336316488868033,8.239295027304838,2174,2174
leave_scenario_fewshot,bias_calibrated_multi_wall,fraction,0.05,,22,11,11,8.35385421016189,6.5678763971564695,5.37344297278532,14.086281111579218,16.96155038621379,0.7045752955244677,8.324088768001944,2174,2174
leave_scenario_fewshot,bias_calibrated_multi_wall,fraction,0.05,,33,11,11,8.332808504447472,6.5861213906790494,5.427846271296964,13.873550739516325,16.594647295389446,0.5052446330604282,8.31747710742601,2174,2174
leave_scenario_fewshot,bias_calibrated_multi_wall,fraction,0.1,,11,11,11,8.306595654114432,6.51555294894637,5.349465891509482,13.824587101987541,16.894075081890602,0.7707621684202374,8.270759157458578,2059,2059
leave_scenario_fewshot,bias_calibrated_multi_wall,fraction,0.1,,22,11,11,8.219485351696258,6.46717533130251,5.323363070263824,13.68222453635724,16.859448741216006,-0.35036433806520156,8.212014629636354,2059,2059
leave_scenario_fewshot,bias_calibrated_multi_wall,fraction,0.1,,33,11,11,8.29771955952426,6.506122370218949,5.312444376818959,13.840810089947576,17.019017144004362,-0.5503282965316076,8.279449779698412,2059,2059
leave_scenario_fewshot,direct_extra_with_anchors,fraction,0.01,,11,11,11,9.084477763013565,7.184023333010271,5.999250000000032,15.34551964285715,18.008281746031734,2.523038224652848,8.727085100056522,2265,2265
leave_scenario_fewshot,direct_extra_with_anchors,fraction,0.01,,22,11,11,9.212430762701096,7.395145904422675,6.27466666666669,15.339261904761916,17.757224206349207,2.4090647693452336,8.89186636734162,2265,2265
leave_scenario_fewshot,direct_extra_with_anchors,fraction,0.01,,33,11,11,8.836338558831098,6.943780539355053,5.689833333333311,14.563703030303019,17.385066666666688,2.2742608763908216,8.538654261205528,2265,2265
leave_scenario_fewshot,direct_extra_with_anchors,fraction,0.05,,11,11,11,7.688690657991406,6.112228224195909,5.24643847120371,12.406977777777774,15.12003095238096,-0.3995754599783195,7.678300820237992,2174,2174
leave_scenario_fewshot,direct_extra_with_anchors,fraction,0.05,,22,11,11,8.094223766416523,6.446031063293145,5.439374999999998,13.266125,15.954490888278377,1.3550491968113094,7.9799937377821974,2174,2174
leave_scenario_fewshot,direct_extra_with_anchors,fraction,0.05,,33,11,11,7.863327752742638,6.207241817337324,5.1186250000000015,12.965716666666674,15.220158653846148,0.9086985756993387,7.810645955718039,2174,2174
leave_scenario_fewshot,direct_extra_with_anchors,fraction,0.1,,11,11,11,7.386066489454517,5.826577036883829,4.77358333333332,11.992756776556831,14.651005952380936,1.195912048545583,7.288605666297669,2059,2059
leave_scenario_fewshot,direct_extra_with_anchors,fraction,0.1,,22,11,11,7.502771988435366,5.884452442720423,4.796666666666752,12.143617177267116,15.112597619047612,0.043463286466210324,7.502646096756792,2059,2059
leave_scenario_fewshot,direct_extra_with_anchors,fraction,0.1,,33,11,11,7.407285439598117,5.811734713849241,4.727083333333326,12.086344444444453,14.544346103896098,0.002601218818673099,7.407284982862676,2059,2059
leave_scenario_fewshot,direct_rf_with_anchors,fraction,0.01,,11,11,11,9.4421231673621,7.470089866221997,6.167050685425679,15.947552380952356,18.86044805194803,2.3050982086171814,9.156430098912239,2265,2265
leave_scenario_fewshot,direct_rf_with_anchors,fraction,0.01,,22,11,11,9.445105542391568,7.538808568436713,6.314869047619055,15.781826190476176,18.371829365079385,2.430319089623448,9.127078822357555,2265,2265
leave_scenario_fewshot,direct_rf_with_anchors,fraction,0.01,,33,11,11,8.992727245165344,7.061356415486569,5.762857142857115,14.89099761904763,17.65185052601306,2.6619857459282716,8.58970169414595,2265,2265
