split,fold,heldout_scenario,method,anchor_mode,anchor_fraction,anchor_count,anchor_seed,random_seed,model_seed,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,target_anchor_count,test_count
leave_scenario_fewshot,holdout_Comms,Comms,log_distance,fraction,0.01,,11,11,11,15.597888053079437,13.048013061215958,11.608084881372633,25.671258900644755,27.912954878357606,-12.707928384169257,9.044482732540512,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,multi_wall_linear,fraction,0.01,,11,11,11,9.453277323666729,7.417627919244001,5.978953753210021,15.217361166037023,19.102612104294348,4.131978691099397,8.502423434201104,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,bias_calibrated_log_distance,fraction,0.01,,11,11,11,10.314470649127893,8.698566407744751,8.317204458991142,16.350480561498888,18.778649085564158,4.9583905526387575,9.044482732540514,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,bias_calibrated_multi_wall,fraction,0.01,,11,11,11,8.513861047674828,6.641899601072356,5.428827397595526,14.263086478694628,17.540438917915694,0.44116401106913933,8.502423434201104,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,wallpath_fewshot_residual_extra,fraction,0.01,,11,11,11,9.274248339179469,7.11169586134791,5.698003497571165,14.9661715335513,18.590563665558744,3.2681316870942414,8.679343150986929,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,wallpath_fewshot_residual_rf,fraction,0.01,,11,11,11,8.787247188635945,6.798562188730638,5.416268628299619,14.321321747175576,16.735381691191968,2.7787726193806193,8.336314286539999,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,direct_extra_with_anchors,fraction,0.01,,11,11,11,7.841727390309449,6.058597063278571,4.900083333333356,12.907661904761904,16.12713333333332,0.6335363395877082,7.816093664379365,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,direct_rf_with_anchors,fraction,0.01,,11,11,11,8.041747083951376,6.22430287882992,5.174259920634881,13.238373051948024,16.777333874458833,-0.07058069759610353,8.041437342127793,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,log_distance,fraction,0.01,,22,11,11,15.62389119394624,13.064789804927193,11.587142483362484,25.671258900644755,27.97674076414572,-12.729904425871178,9.058449610637366,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,multi_wall_linear,fraction,0.01,,22,11,11,9.483482242439086,7.441411751077648,6.016049421290106,15.269720062442362,19.317302582219725,4.158831565091077,8.52294288704668,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,bias_calibrated_log_distance,fraction,0.01,,22,11,11,9.475787155760845,8.010752712626507,7.48706398042853,15.29614837741516,17.118394230023355,2.781192706884217,9.058449610637366,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,bias_calibrated_multi_wall,fraction,0.01,,22,11,11,9.069727706370589,7.099208490173589,5.795924514485549,14.666627806680163,18.506067585337124,3.1015165986734132,8.52294288704668,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,wallpath_fewshot_residual_extra,fraction,0.01,,22,11,11,9.104200538726596,7.168727445800795,5.952174229197567,14.68108582284415,17.544946978491268,3.7925932729370726,8.27663601443377,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,wallpath_fewshot_residual_rf,fraction,0.01,,22,11,11,9.419837381401997,7.403348317492513,6.255884832362838,15.046571358435052,18.268780878289753,4.176128875803102,8.44353503603449,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,direct_extra_with_anchors,fraction,0.01,,22,11,11,8.033507063126823,6.327119192328815,5.183071428571424,13.343950000000033,16.493533333333335,0.2573545443485746,8.029383810219294,1373,915,14,1373
leave_scenario_fewshot,holdout_Comms,Comms,direct_rf_with_anchors,fraction,0.01,,22,11,11,8.077909138052354,6.337395623101105,5.073869047619027,13.112701587301586,16.370575396825412,0.012570763551012597,8.07789935679651,1373,915,14,1373
