split,random_seed,fold,heldout_scenario,heldout_config,method,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,test_count
random,33,random,,,log_distance,9.948987185818046,8.256603764738015,7.426861511437117,16.237492525631392,17.980509308065894,-0.7440514020191731,9.921125618332075,458,1830,458
random,33,random,,,multi_wall_linear,6.982547055816502,5.50896336302312,4.619337777681238,11.166002250976424,13.496026949532185,-0.452093929424549,6.967895985566171,458,1830,458
random,33,random,,,direct_rf,6.179861383145187,4.812860715794949,3.9383155316905416,10.001799404761927,12.592948809523804,-0.42666854346291466,6.165114813927507,458,1830,458
random,33,random,,,direct_extra,6.527827164936939,5.081436728082308,4.2108139915640095,10.40474166666668,13.066111656746068,-0.13908935046456009,6.526345198338499,458,1830,458
random,33,random,,,wallpath_residual_extra,6.381523393215104,5.042316239404379,4.19627078357324,10.457309852003172,12.829511674352602,-0.21271330907663286,6.3779772550780764,458,1830,458
random,33,random,,,wallpath_residual_rf,6.355310139410703,5.020979446911106,4.198237358940773,9.978293421015746,12.440182558159611,-0.2319564718260076,6.35107574850706,458,1830,458
