method,sparse_rate,sparse_seed,scene_id,sample_id,anchor_count,valid_count,mw_anchor_count,mw_design_rank,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,los_rmse,nlos_rmse,high_wall_rmse,unclipped_rmse,unclipped_count,clipped_pixel_fraction,non_anchor_rmse,non_anchor_mae,non_anchor_p90_ae,non_anchor_count,non_anchor_los_rmse,non_anchor_nlos_rmse,free_space_rmse,free_space_mae,free_space_p90_ae,free_space_count,wall_region_rmse,rmse_delta_vs_multi_wall,rmse_delta_vs_direct_rf
log_distance,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,7.338052986609415,5.997988700866699,5.535097122192383,11.57680892944336,13.38410472869873,-0.1561802625656128,7.336604595184326,17170,12.143105777511678,7.254409416732492,7.171790772096558,7.338052986609415,17170,0.0,7.3438799671836446,6.005972862243652,11.57680892944336,16311,12.16791626400249,7.259815688698572,7.360165677635472,6.026136875152588,11.631044387817383,15797,7.07866857533773,0.6459518309128791,4.6842078447338205
multi_wall,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,6.692101155696536,5.46915864944458,4.858711242675781,10.74017333984375,12.54803466796875,-0.07795616239309311,6.6918416023254395,17170,9.818888027834753,6.641615459906304,6.595051537307276,6.692101155696536,17170,0.0,6.693221875325646,5.476655006408691,10.727775573730469,16311,9.845871098606072,6.642224688236116,6.695828589227043,5.485383987426758,10.768954277038574,15797,6.649064985076571,0.0,4.038256013820941
idw,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,4.041747068071811,3.063035488128662,2.428699493408203,6.772269248962402,8.25858211517334,-0.25348684191703796,4.033907890319824,17170,10.090906086346898,3.9014095570858704,3.8194993434666222,4.041747068071811,17170,0.0,4.146808553450074,3.224346876144409,6.879661560058594,16311,10.351818618049107,4.002830113512163,3.970735859928005,3.0096635818481445,6.6681108474731445,15797,4.783518836370034,-2.6503540876247245,1.3879019261962169
multi_wall_residual_idw,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,3.2345148910380974,2.3473851680755615,1.7527351379394531,5.314565181732178,6.649757385253906,-0.06286688148975372,3.2339980602264404,17170,4.892565249249685,3.2072391653892187,3.166136277005176,3.2345148910380974,17170,0.0,3.3185931208746546,2.4710073471069336,5.431449890136719,16311,5.019068417030341,3.2906141548607,3.1609623110773946,2.2900660037994385,5.225193977355957,15797,3.984256569610391,-3.4575862646584383,0.580669749162503
direct_rf_geometry,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,9.514509053486666,7.19175910949707,5.604291915893555,16.277685165405273,19.19318389892578,-6.23814058303833,7.184322357177734,17170,1.0965588643912239,9.575519900286926,9.713588910371271,9.514509053486666,17170,0.0,9.515029162562346,7.1961846351623535,16.280555725097656,16311,1.1030312191580092,9.576050301305221,9.575256978830112,7.231631278991699,16.343994140625,15797,8.785409241258673,2.8224078977901303,6.860663911611072
direct_rf_sparse_anchor,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,5.179899284535008,4.197460174560547,3.770294189453125,8.111017227172852,9.818227767944336,0.40706944465637207,5.164030075073242,17170,1.0789300782234645,5.212104670641283,5.2765876657051916,5.179899284535008,17170,0.0,5.182073186325033,4.201117992401123,8.124366760253906,16311,1.0879054273639124,5.214277734306057,5.158338103498282,4.1874542236328125,8.02415657043457,15797,5.4218057142841385,-1.512201871161528,2.5260541426594134
direct_rf_all_features,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,2.6538451418755944,1.8269178867340088,1.1478309631347656,4.491729736328125,5.79985237121582,-0.04562562331557274,2.6535301208496094,17170,1.1050794822272587,2.6681086522406146,2.69432229655824,2.6538451418755944,17170,0.0,2.7180854414385243,1.8993011713027954,4.605888366699219,16311,1.111042771053115,2.7328094463606796,2.54881050989434,1.7395588159561157,4.298341274261475,15797,3.6510488649344994,-4.038256013820941,0.0
direct_extra_all_features,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,2.632807107411841,1.854454755783081,1.2126884460449219,4.440367221832275,5.671675682067871,-0.21874935925006866,2.6237802505493164,17170,1.1424469365580887,2.6467031767023523,2.672330939260076,2.632807107411841,17170,0.0,2.6955217767973823,1.9210668802261353,4.538227081298828,16311,1.1464874172191697,2.7098818867081507,2.5322003611580057,1.7734060287475586,4.235980033874512,15797,3.593091929754515,-4.059294048284695,-0.02103803446375352
wallpath_rf,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,2.642434703904585,1.7837097644805908,1.0775260925292969,4.445516109466553,5.796782493591309,-0.10379708558320999,2.640472173690796,17170,1.9012783226632248,2.650730412701902,2.6700633730884764,2.642434703904585,17170,0.0,2.7089341412416386,1.8610509634017944,4.540458679199219,16311,1.9422518690607438,2.7175051241207604,2.540258373325137,1.6984695196151733,4.267970085144043,15797,3.6159593847038947,-4.049666451791951,-0.01141043797100938
wallpath_extra,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,2.6141023902323917,1.7677359580993652,1.071401596069336,4.416481018066406,5.6764140129089355,-0.07755772024393082,2.613027811050415,17170,1.4351001943411583,2.625981777772858,2.6465120449046684,2.6141023902323917,17170,0.0,2.680582838918248,1.847206473350525,4.5196380615234375,16311,1.465865079772947,2.6928084218437944,2.50906378650828,1.6818009614944458,4.254814147949219,15797,3.6090121071212606,-4.0779987654641445,-0.039742751643202734
wallpath_calibrated,0.05,11,B21,B21_Ant1_f1_S0,859,17170,859,3,2.7163165161201634,1.9617629051208496,1.3669013977050781,4.584217071533203,5.849176406860352,0.053628966212272644,2.7158663272857666,17170,1.1684651700174027,2.7307106163449917,2.7548522210186928,2.7163165161201634,17170,0.0,2.784068632648076,2.0435404777526855,4.688926696777344,16311,1.1971795401164602,2.798828167474606,2.6172570805829456,1.878967523574829,4.413933753967285,15797,3.6684029980614823,-3.9757846395763723,0.062471374244569056
log_distance,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,7.305424836473307,5.474283218383789,4.250190734863281,11.481369018554688,16.265888214111328,0.3566509783267975,7.296926021575928,17170,13.12508771498973,6.412277620193877,6.605883619654,7.305424836473307,17170,0.0,7.310967561173506,5.4771904945373535,11.477691650390625,16311,13.11024147570725,6.415311354439782,7.303125296011211,5.458474159240723,11.479528427124023,15797,7.331830227982753,2.0056488320250017,4.1389746542911725
multi_wall,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,5.299776004448305,3.7990190982818604,2.644939422607422,8.684331893920898,10.72307014465332,0.28636178374290466,5.2921881675720215,17170,7.5364902494956585,5.012892552260604,5.238653511256392,5.299776004448305,17170,0.0,5.318979590344692,3.80562686920166,8.711601257324219,16311,7.527796261856218,5.034462643357207,5.1976712592942445,3.733766794204712,8.643982887268066,15797,6.357643521923101,0.0,2.133325822266171
idw,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,4.212949572753408,3.104785203933716,2.274974822998047,6.980864524841309,8.540909767150879,0.25238868594169617,4.20550537109375,17170,8.126478845007295,3.5739086025447038,3.5844018491202574,4.212949572753408,17170,0.0,4.322461309258075,3.2682948112487793,7.082103729248047,16311,8.309825639158571,3.6680801629943858,4.1951868072299785,3.0892465114593506,6.931211948394775,15797,4.412176913694846,-1.086826431694897,1.0464993905712738
multi_wall_residual_idw,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,3.801577870195461,2.469888925552368,1.582244873046875,5.808619976043701,7.822619438171387,0.2021860033273697,3.7963080406188965,17170,4.499853001006154,3.7221867983406733,3.9045965944245586,3.801577870195461,17170,0.0,3.900396378899028,2.5999627113342285,5.9838104248046875,16311,4.601377122045781,3.820265450613808,3.6707741513915972,2.3891348838806152,5.673301696777344,15797,5.069276563723512,-1.4981981342528443,0.6351276880133265
direct_rf_geometry,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,6.311416127746937,4.495489120483398,3.1211509704589844,11.003981590270996,13.121207237243652,-1.9484049081802368,6.003314971923828,17170,0.6963515490188121,6.6248548756377605,7.040287309119412,6.311416127746937,17170,0.0,6.300140950811432,4.482434272766113,10.993431091308594,16311,0.7034461244413728,6.6151953344809336,6.215075768610633,4.411388397216797,10.945037841796875,15797,7.32931395701532,1.0116401232986316,3.1449659455648025
direct_rf_sparse_anchor,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,4.230268984105134,2.900075912475586,1.8881034851074219,7.130224227905273,9.368229866027832,-0.2756914496421814,4.221398830413818,17170,0.7531955859790939,4.436296649264791,4.667590933639384,4.230268984105134,17170,0.0,4.240827321951263,2.9023497104644775,7.1687774658203125,16311,0.7624591384050644,4.44873573619752,4.094548166958706,2.7873952388763428,6.899763584136963,15797,5.558294146721973,-1.0695070203431714,1.0638188019229995
direct_rf_all_features,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,3.1664501821821345,2.000735282897949,1.141958236694336,5.101137638092041,6.782663822174072,0.12031174451112747,3.1642558574676514,17170,2.9138159928112892,3.1913465170585216,3.3416611350274117,3.1664501821821345,17170,0.0,3.243725722288881,2.0835235118865967,5.2247467041015625,16311,2.978774035103701,3.27000062730484,3.0538624609995026,1.917051911354065,4.917230129241943,15797,4.252532986433167,-2.133325822266171,0.0
direct_extra_all_features,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,3.014963060968712,1.9472196102142334,1.1078720092773438,4.94479513168335,6.343363285064697,0.008587607182562351,3.0150387287139893,17170,1.6752711445393758,3.120494019285294,3.266423190827084,3.014963060968712,17170,0.0,3.085513945419441,2.0217137336730957,5.045627593994141,16311,1.7107166157739238,3.1945114162250388,2.9033988454625383,1.8630473613739014,4.767463684082031,15797,4.084947876631304,-2.284812943479593,-0.15148712121342234
wallpath_rf,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,3.371302676007668,2.081023931503296,1.1738262176513672,5.218310832977295,7.061278343200684,0.17219150066375732,3.3670003414154053,17170,3.02658155945337,3.4048415872125526,3.570624503997173,3.371302676007668,17170,0.0,3.4569823387395897,2.176048517227173,5.377506256103516,16311,3.09416837030351,3.4924872976346872,3.2153866296473503,1.9784423112869263,4.884203910827637,15797,4.8147121341458865,-1.9284733284406372,0.2048524938255336
wallpath_extra,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,3.301865107146045,2.0512304306030273,1.15289306640625,5.141503810882568,6.987473487854004,0.18100731074810028,3.2969958782196045,17170,2.851522080114471,3.3448266121759147,3.507640858424532,3.301865107146045,17170,0.0,3.3864019588552505,2.1462461948394775,5.3152313232421875,16311,2.9151034732609884,3.4316209624698697,3.149603543042207,1.9517420530319214,4.9226202964782715,15797,4.712138812121002,-1.9979108973022601,0.13541492496391072
wallpath_calibrated,0.05,11,B21,B21_Ant1_f1_S1,859,17170,859,3,3.204581569542928,2.1098363399505615,1.2445869445800781,5.163395881652832,6.720475196838379,0.1877284198999405,3.199171304702759,17170,1.9017091708541196,3.309816630893219,3.471869763051549,3.204581569542928,17170,0.0,3.2847623089071747,2.2012062072753906,5.27337646484375,16311,1.944434613645829,3.393707510551061,3.070619645713494,2.012634515762329,4.990170478820801,15797,4.465565174350158,-2.0951944349053773,0.03813138736079358
log_distance,0.05,11,B21,B21_Ant1_f1_S2,859,17170,859,3,7.29100286288084,5.531088352203369,4.355417251586914,12.642354965209961,15.551523208618164,-0.1684093177318573,7.289269924163818,17170,11.115482815635495,6.813958514449721,7.048982339665881,7.29100286288084,17170,0.0,7.290290141498954,5.533576011657715,12.636619567871094,16311,11.028135046801456,6.827436126251483,7.2949962468608405,5.500566005706787,12.745820999145508,15797,7.244898782977399,1.8291911631181659,4.332766781070614
multi_wall,0.05,11,B21,B21_Ant1_f1_S2,859,17170,859,3,5.461811699762674,3.915034770965576,2.7377090454101562,8.597744941711426,10.274357795715332,-0.192634716629982,5.4585723876953125,17170,6.670878141841649,5.331907395330461,5.569331955489602,5.461811699762674,17170,0.0,5.465533492633175,3.914771318435669,8.584426879882812,16311,6.61920899268205,5.342428220383838,5.377474926689536,3.862515687942505,8.559942245483398,15797,6.352094995498986,0.0,2.503575617952448
idw,0.05,11,B21,B21_Ant1_f1_S2,859,17170,859,3,4.260432070919988,3.185241937637329,2.3744163513183594,7.303792953491211,8.619832992553711,-0.357289582490921,4.245547771453857,17170,7.228329932369564,3.85902736699365,3.8943102940823398,4.260432070919988,17170,0.0,4.371178071148444,3.3529889583587646,7.420806884765625,16311,7.421587893507509,3.9590658114452926,4.247809512086219,3.174180507659912,7.333677768707275,15797,4.403057977003948,-1.2013796288426866,1.3021959891097614
