scenario,config,source_file,coord,pl_db,p_rx_dbm,derived_pl_db,pl_minus_derived_db,consistent_with_received_power
Comms,C1,PL_Comms_C1.csv,H-10,83.0,-73.0,83.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-10,118.0,-108.0,118.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-10,102.0,-92.0,102.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-10,104.0,-94.0,104.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-10,96.0,-86.0,96.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-10,101.0,-91.0,101.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-10,107.0,-97.0,107.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-10,107.0,-97.0,107.0,0.0,True
Comms,C1,PL_Comms_C1.csv,P-10,112.0,-102.0,112.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-11,105.0,-95.0,105.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-11,108.0,-98.0,108.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-11,104.0,-94.0,104.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-11,106.0,-96.0,106.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-11,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-11,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-11,84.0,-74.0,84.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-11,84.0,-74.0,84.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-11,104.0,-94.0,104.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-11,102.0,-92.0,102.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-11,101.0,-91.0,101.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-11,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-11,103.0,-93.0,103.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-11,109.0,-99.0,109.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-11,114.0,-104.0,114.0,0.0,True
Comms,C1,PL_Comms_C1.csv,P-11,116.0,-106.0,116.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-12,116.0,-106.0,116.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-12,114.0,-104.0,114.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-12,109.0,-99.0,109.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-12,102.0,-92.0,102.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-12,102.0,-92.0,102.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-12,98.0,-88.0,98.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-12,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-12,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-12,103.0,-93.0,103.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-12,108.0,-98.0,108.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-12,102.0,-92.0,102.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-12,113.0,-103.0,113.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-12,102.0,-92.0,102.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-12,111.0,-101.0,111.0,0.0,True
Comms,C1,PL_Comms_C1.csv,P-12,104.0,-94.0,104.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-13,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-13,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-13,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-13,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-13,95.0,-85.0,95.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-13,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-13,91.0,-81.0,91.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-13,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-13,106.0,-96.0,106.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-13,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-13,100.0,-90.0,100.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-13,115.0,-105.0,115.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-13,109.0,-99.0,109.0,0.0,True
Comms,C1,PL_Comms_C1.csv,P-13,113.0,-103.0,113.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-14,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-14,98.0,-88.0,98.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-14,95.0,-85.0,95.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-14,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-14,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-14,86.0,-76.0,86.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-14,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-14,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-14,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-14,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-14,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-15,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-15,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-15,96.0,-86.0,96.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-15,95.0,-85.0,95.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-15,98.0,-88.0,98.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-15,84.0,-74.0,84.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-15,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-15,86.0,-76.0,86.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-15,110.0,-100.0,110.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-15,109.0,-99.0,109.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-15,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-16,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-16,91.0,-81.0,91.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-16,91.0,-81.0,91.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-16,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-16,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-16,84.0,-74.0,84.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-16,89.0,-79.0,89.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-16,86.0,-76.0,86.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-16,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-16,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-17,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-17,91.0,-81.0,91.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-17,95.0,-85.0,95.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-17,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-17,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-17,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-17,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-17,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-17,104.0,-94.0,104.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-17,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-17,88.0,-78.0,88.0,0.0,True
