method_id,method,task2_rmse_mean,task2_rmse_std,task2_rmse_is_best,task2_mae_mean,task2_mae_std,task2_mae_is_best,task2_p90_ae_mean,task2_p90_ae_std,task2_p90_ae_is_best,task3_rmse_mean,task3_rmse_std,task3_rmse_is_best,task3_mae_mean,task3_mae_std,task3_mae_is_best,task3_p90_ae_mean,task3_p90_ae_std,task3_p90_ae_is_best
wallpath_extra,WallPath-PI,4.81854362687406,0.0058283334457948,True,3.25375908083386,0.0055126853544311,True,7.97810558636983,0.0068394372400511,True,5.31952730043467,0.0184950800702498,True,3.73539296639574,0.0187702172335467,True,8.80480573734364,0.0286405637049392,True
wallpath_rf,WallPath-RF,5.24027438209749,0.0356728999594364,False,3.46028546153175,0.0256641949930694,False,8.59350967089335,0.101075252187684,False,6.30026707022397,0.0836016057275683,False,4.26146069427152,0.0609133632882863,False,10.3451475252547,0.307936841667154,False
wallpath_calibrated,WallPath-Calibrated,5.13397686521572,0.0401457084731943,False,3.67650007396274,0.0360610979964091,False,8.48712077977922,0.0746126631043531,False,6.27647045003172,0.0794263005980736,False,4.80375166903029,0.0714269183574307,False,10.2377056346355,0.121654218838987,False
direct_rf_all_features,Direct RF,4.92694547198932,0.0031887304944501,False,3.42739739365048,0.005874679503083,False,8.27206155437893,0.0088031025658613,False,5.87137606037811,0.0185829739157515,False,4.31425079904161,0.0174429928514299,False,9.8030319435532,0.0296310991927654,False
direct_extra_all_features,Direct ExtraTrees,5.51928773125926,0.0425782697355012,False,4.0249268143177,0.0440451358302462,False,9.24907192611694,0.0723362855644516,False,7.76687365530765,0.0974006521852626,False,6.19703278055778,0.110906912676448,False,12.5623715786891,0.137287968446148,False
multi_wall_residual_idw,Multi-wall residual-IDW,5.62727242047394,0.0117651525052547,False,3.92700567028258,0.0055627730156152,False,8.8559109843572,0.0231129640268812,False,5.85608453628327,0.0030150775077566,False,4.15772282301127,0.0009390528982405,False,9.28634010569827,0.0026685725477364,False
idw,IDW,6.16138028610391,0.0037168048000541,False,4.58101223384009,0.0042079601424969,False,10.1548542410533,0.0061316378346732,False,6.29583469882737,0.0025275711060694,False,4.66985058635563,0.00170097826813,False,10.3197189356543,0.0040069314742802,False
multi_wall,Multi-wall,9.33831880536443,0.006698824730034,False,7.35464912319183,0.0072319878469593,False,14.8882853925493,0.0086823780785327,False,10.1523656849783,0.0011542584191069,False,8.09707828030572,0.0004119090493206,False,16.2546797006338,0.0036028360542786,False
log_distance,Log-distance,10.865385433616,0.0021057828255818,False,8.8194279434416,0.0041367460881611,False,17.5955274700589,0.0125409602608406,False,11.5003317076671,0.0006084331629248,False,9.36677681821244,0.0011147006925868,False,18.5947111118878,0.0033746687629648,False
