method_id,method,rmse_mean_0p005,rmse_std_0p005,is_best_0p005,rmse_mean_0p010,rmse_std_0p010,is_best_0p010,rmse_mean_0p050,rmse_std_0p050,is_best_0p050,rmse_mean_0p100,rmse_std_0p100,is_best_0p100
wallpath_extra,WallPath-PI,3.32794943678676,0.0151436260531282,False,2.9670564770712,0.0076255879296691,False,2.24888700700948,0.0071058762977924,False,1.95108119322039,0.0029249401475086,False
direct_rf_all_features,Direct RF,3.22169869749909,0.0134169010347411,False,2.88981141394875,0.0085820233263209,False,2.22758360243873,0.0080152363321793,False,1.94913632783966,0.0006274155343822,False
direct_extra_all_features,Direct ExtraTrees,3.20525402432415,0.0174768349638291,True,2.87837606354241,0.0148949210098247,True,2.21425638621841,0.0061168926107634,True,1.93786486134353,0.0018723484434747,True
multi_wall_residual_idw,Multi-wall residual-IDW,4.09382793667801,0.0308828900787792,False,3.6814158829485,0.0216709888506293,False,2.98697183814292,0.0112746352846743,False,2.74839685720964,0.0049808882000485,False
idw,IDW,4.77373102909144,0.0060248509912534,False,4.24383533632084,0.014904865483746,False,3.37051342365108,0.0053840911224873,False,3.07919422829783,0.0033940060808095,False
multi_wall,Multi-wall,6.05883985388133,0.0104381141481498,False,5.9537674345087,0.0090062944294319,False,5.86977075145804,0.0013160981597507,False,5.86052851609131,0.0004631280733578,False
log_distance,Log-distance,7.50164978116983,0.0027242480222867,False,7.46810495139466,0.0012684913107424,False,7.44433552889036,0.0001178256880667,False,7.4418562258128,0.0003324156875974,False
