split,random_seed,fold,heldout_scenario,heldout_config,method,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,test_count
leave_scenario_out,11,holdout_Comms,Comms,,log_distance,15.643411327913833,13.09462898209432,11.631089185047728,25.685390494207926,27.964164434884236,-12.757977027094233,9.052642716380591,1387,901,1387
leave_scenario_out,11,holdout_Comms,Comms,,multi_wall_linear,9.482231582019024,7.445694747385867,6.016049421290106,15.259524583719934,19.306893933000183,4.127525701802376,8.536758597734845,1387,901,1387
leave_scenario_out,11,holdout_Comms,Comms,,direct_rf,10.067418871966405,7.924190631566626,6.526950396825399,17.4730496031746,20.061240079365106,-4.07827312245554,9.204379994452752,1387,901,1387
leave_scenario_out,11,holdout_Comms,Comms,,direct_extra,10.805763174861147,8.421477323001858,6.602499999999978,19.00910396825396,21.823597222222208,-4.645633493810249,9.756157400963437,1387,901,1387
leave_scenario_out,11,holdout_Comms,Comms,,wallpath_residual_extra,10.668145339614872,8.329172791041909,6.858776789411195,17.075849663168352,20.862422314379057,5.357785614738583,9.225153564773153,1387,901,1387
leave_scenario_out,11,holdout_Comms,Comms,,wallpath_residual_rf,10.920725068625824,8.446297698645221,6.8006386267096275,18.060429763051552,22.028572971974448,5.356912411227523,9.516602620838439,1387,901,1387
leave_scenario_out,11,holdout_Library,Library,,log_distance,15.38199404245583,13.92357849832046,14.55296764793465,22.44472939058985,24.31860957990501,13.562103252874635,7.257761092824277,687,1601,687
leave_scenario_out,11,holdout_Library,Library,,multi_wall_linear,11.276905352139998,9.544031692207565,9.054897061054234,18.063514394706203,20.750227926345687,8.595170252511052,7.30011250950784,687,1601,687
leave_scenario_out,11,holdout_Library,Library,,direct_rf,12.560354595222993,10.71423485842126,10.316708333333352,19.780075793650788,21.7910261904762,10.002370393659321,7.597045087781617,687,1601,687
leave_scenario_out,11,holdout_Library,Library,,direct_extra,12.189908192183255,10.487782946497852,10.211357142857068,18.86575833333335,21.27892380952383,9.748336785795333,7.318728827095997,687,1601,687
leave_scenario_out,11,holdout_Library,Library,,wallpath_residual_extra,11.770240749675406,9.869265235447346,9.258141993865351,18.37754067086179,21.249101740068202,8.963277551775096,7.6287759722752435,687,1601,687
leave_scenario_out,11,holdout_Library,Library,,wallpath_residual_rf,11.6285325766031,9.672083376388835,8.954737679414436,18.3602860784161,21.843925149394458,8.62672784367577,7.797585305481992,687,1601,687
leave_scenario_out,11,holdout_SSE,SSE,,log_distance,7.6452516112722115,6.211411661632073,5.58568355615229,12.611787093237593,14.43136012399613,-2.248830304331704,7.307026376165596,214,2074,214
leave_scenario_out,11,holdout_SSE,SSE,,multi_wall_linear,9.79580849468331,7.791382665293398,6.821711547711345,16.434904081185728,20.09298463209834,-3.9700948734472523,8.955233707745295,214,2074,214
leave_scenario_out,11,holdout_SSE,SSE,,direct_rf,10.189664220081442,8.030872286604218,6.695465930808325,16.541190873015875,20.739837202380915,-3.7393066747720107,9.478757434918007,214,2074,214
leave_scenario_out,11,holdout_SSE,SSE,,direct_extra,9.93970807479871,7.8378479809267025,6.5321577519702245,16.343792857142894,20.187927813852824,-3.678810733741702,9.23385879237524,214,2074,214
leave_scenario_out,11,holdout_SSE,SSE,,wallpath_residual_extra,10.013242216128365,7.83367177907077,6.460839497193348,16.426253507776323,19.398133872466648,-3.902624236050958,9.221417664927825,214,2074,214
leave_scenario_out,11,holdout_SSE,SSE,,wallpath_residual_rf,9.979450982191258,7.846863786901098,6.673523314105246,16.61915833041382,20.541259435103044,-3.9803291459506696,9.151307108596765,214,2074,214
