method,sparse_rate,sparse_seed,scene_id,sample_id,anchor_count,valid_count,mw_anchor_count,mw_design_rank,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,los_rmse,nlos_rmse,high_wall_rmse,unclipped_rmse,unclipped_count,clipped_pixel_fraction,non_anchor_rmse,non_anchor_mae,non_anchor_p90_ae,non_anchor_count,non_anchor_los_rmse,non_anchor_nlos_rmse,free_space_rmse,free_space_mae,free_space_p90_ae,free_space_count,wall_region_rmse,rmse_delta_vs_multi_wall,rmse_delta_vs_direct_rf
log_distance,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,7.347121409138525,5.992092132568359,5.53271484375,11.609460830688477,13.27704906463623,-0.11626380681991577,7.3464155197143555,17170,13.063017986690916,7.242859952084984,7.135862499759735,7.347121409138525,17170,0.0,7.3431304244347775,5.989881992340088,11.601341247558594,16311,13.230423161742102,7.2347635366389405,7.363110841755335,6.016219139099121,11.662681579589844,15797,7.16058748309382,0.69137842573753,4.766598513044478
multi_wall,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,6.655742983400995,5.399202823638916,4.790126800537109,10.607976913452148,12.471028327941895,-0.06086429953575134,6.655658721923828,17170,9.658554487835925,6.607582346727161,6.561440227798468,6.655742983400995,17170,0.0,6.64840420922368,5.392034530639648,10.607952117919922,16311,9.785814016806151,6.597634963746195,6.642168969788709,5.406092166900635,10.641656875610352,15797,6.8099721078105295,0.0,4.075220087306947
idw,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,4.112812417515001,3.1336443424224854,2.523509979248047,6.6231207847595215,8.229216575622559,0.2884131968021393,4.102806568145752,17170,9.585295655694768,3.9922147953117344,3.920176271617093,4.112812417515001,17170,0.0,4.21972118107413,3.2986741065979004,6.76312255859375,16311,9.8331350206875,4.095995913389536,4.035708874188374,3.0803751945495605,6.553285121917725,15797,4.913641866887276,-2.542930565885994,1.5322895214209535
multi_wall_residual_idw,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,3.206911575149274,2.299862861633301,1.7574234008789062,5.050410270690918,6.253811836242676,-0.028262263163924217,3.206880569458008,17170,5.042690458538957,3.17597412654824,3.161227728534416,3.206911575149274,17170,0.0,3.2902722822611774,2.4209821224212646,5.146392822265625,16311,5.1730752944367095,3.258536353968072,3.095212170577,2.229647636413574,4.9410080909729,15797,4.287595717871946,-3.4488314082517215,0.6263886790552262
direct_rf_geometry,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,9.311239336648342,7.102248191833496,5.606609344482422,15.826716423034668,18.91756248474121,-6.18146276473999,6.963585376739502,17170,1.1358395715619347,9.370850365039587,9.507458853836047,9.311239336648342,17170,0.0,9.298561512510004,7.093385696411133,15.823379516601562,16311,1.1296077768919701,9.358114928034594,9.34626177994823,7.123575687408447,15.880389213562012,15797,8.898379007423795,2.6554963532473463,6.7307164405542945
direct_rf_sparse_anchor,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,5.195704393191656,4.247659206390381,3.818187713623047,8.157713890075684,9.613669395446777,0.30986693501472473,5.186607360839844,17170,1.0758734482776877,5.228025131478835,5.295169617555377,5.195704393191656,17170,0.0,5.177422741564685,4.234610557556152,8.141571044921875,16311,1.0683961892943408,5.209648390849406,5.180819796060091,4.241032123565674,8.113080978393555,15797,5.363987995916982,-1.4600385902093391,2.6151814970976086
direct_rf_all_features,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,2.5805228960940476,1.754374384880066,1.1066398620605469,4.283109188079834,5.742300987243652,0.04367729276418686,2.580228328704834,17170,1.0534702797570579,2.5945050347551977,2.6198415828275268,2.5805228960940476,17170,0.0,2.6434709610086347,1.8242696523666382,4.397239685058594,16311,1.03875578439894,2.658008064602148,2.451790487822329,1.6550779342651367,4.056419372558594,15797,3.7566724744906033,-4.075220087306947,0.0
direct_extra_all_features,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,2.566881966884507,1.7963560819625854,1.1836299896240234,4.26792049407959,5.5740814208984375,-0.12609247863292694,2.5638575553894043,17170,1.0729447369801066,2.5806560180260742,2.603558195307357,2.566881966884507,17170,0.0,2.6278056314592906,1.8591381311416626,4.35894775390625,16311,1.0666790958172399,2.6420800108379745,2.448113737534595,1.7060374021530151,4.039201259613037,15797,3.666304877212606,-4.088861016516488,-0.01364092920954052
wallpath_rf,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,2.624271289373364,1.7387373447418213,1.058553695678711,4.302126884460449,5.692529678344727,-0.01962284930050373,2.624274492263794,17170,1.816481508726731,2.6331679880443097,2.6576777554211115,2.624271289373364,17170,0.0,2.6893978335419457,1.8119618892669678,4.412822723388672,16311,1.8596563316727337,2.698534929761318,2.4869784256993785,1.6366018056869507,4.064933776855469,15797,3.8678962378950765,-4.031471694027632,0.043748393279316566
wallpath_extra,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,2.576108537735746,1.715558409690857,1.0481643676757812,4.256539821624756,5.624736785888672,-0.010830938816070557,2.5761606693267822,17170,1.3004696738916566,2.5885932700377543,2.613538230741185,2.576108537735746,17170,0.0,2.6414648586047247,1.7918833494186401,4.362983703613281,16311,1.3312933796466804,2.6542840118842355,2.440431805600626,1.6146608591079712,3.9949402809143066,15797,3.8035868369275785,-4.079634445665249,-0.004414358358301396
wallpath_calibrated,0.05,33,B21,B21_Ant1_f1_S0,859,17170,859,3,2.6802439320993208,1.941961407661438,1.3714485168457031,4.467281341552734,5.61850118637085,0.06906086206436157,2.6794321537017822,17170,1.1575791707507765,2.69442098795205,2.718938824948225,2.6802439320993208,17170,0.0,2.746961295825628,2.021082878112793,4.536827087402344,16311,1.185195837801395,2.761501907281595,2.568617370911782,1.855574131011963,4.276432991027832,15797,3.7316082265595627,-3.9754990513016746,0.09972103600527316
log_distance,0.05,33,B21,B21_Ant1_f1_S1,859,17170,859,3,7.291092422024111,5.490251064300537,4.297218322753906,11.663905143737793,16.13379669189453,0.37392401695251465,7.281709671020508,17170,12.870306165492867,6.44740462290327,6.640712936583989,7.291092422024111,17170,0.0,7.2961707110721035,5.4894561767578125,11.660850524902344,16311,12.853890827114498,6.466635359880651,7.2910592750702214,5.481023788452148,11.6580171585083,15797,7.2914737822183575,1.9523594114784473,4.107110285668561
multi_wall,0.05,33,B21,B21_Ant1_f1_S1,859,17170,859,3,5.338733010545663,3.8052420616149902,2.626453399658203,8.704750061035156,10.592110633850098,0.35711345076560974,5.326930999755859,17170,6.962852708165504,5.142305574074372,5.389187988816886,5.338733010545663,17170,0.0,5.3633426017740975,3.8190369606018066,8.736831665039062,16311,6.9533698721907955,5.173871752748179,5.210168276820843,3.7273387908935547,8.650266647338867,15797,6.64123259326396,0.0,2.1547508741901145
idw,0.05,33,B21,B21_Ant1_f1_S1,859,17170,859,3,3.9908044217833725,2.9629878997802734,2.1972484588623047,6.783718585968018,8.414738655090332,-0.11108987033367157,3.9893739223480225,17170,6.356135378348882,3.661229395660223,3.734990224089637,3.9908044217833725,17170,0.0,4.094541700080385,3.119030237197876,6.887657165527344,16311,6.553158928686088,3.7545271893919447,3.9614475062762518,2.936607599258423,6.749574184417725,15797,4.314221996185799,-1.347928588762291,0.8068222854278235
multi_wall_residual_idw,0.05,33,B21,B21_Ant1_f1_S1,859,17170,859,3,3.874727241757217,2.517914295196533,1.6458511352539062,5.832034111022949,7.703114032745361,0.28711026906967163,3.8641879558563232,17170,3.455389714087346,3.9153863809817664,4.11598285671126,3.874727241757217,17170,0.0,3.9754472008735204,2.650517463684082,5.950187683105469,16311,3.56249774573613,4.015160765888057,3.6836794378068665,2.4078633785247803,5.670987129211426,15797,5.623841622850262,-1.4640057687884465,0.690745105401668
direct_rf_geometry,0.05,33,B21,B21_Ant1_f1_S1,859,17170,859,3,6.315601767722507,4.405604839324951,3.185850143432617,10.473944664001465,12.776936531066895,-1.8272957801818848,6.045655250549316,17170,0.6966897893613958,6.629249721962732,7.040356343962779,6.315601767722507,17170,0.0,6.332701565867988,4.41185998916626,10.480888366699219,16311,0.7035094602240062,6.643868786224044,6.2378810335024095,4.324590682983398,10.39151668548584,15797,7.149287594464161,0.9768687571768435,3.131619631366958
direct_rf_sparse_anchor,0.05,33,B21,B21_Ant1_f1_S1,859,17170,859,3,4.2536140991592335,2.918435573577881,1.8484630584716797,7.211472511291504,9.24707317352295,-0.20876142382621765,4.248611927032471,17170,0.7229476578373204,4.46136694358414,4.686129871633613,4.2536140991592335,17170,0.0,4.27630206073917,2.9312376976013184,7.228485107421875,16311,0.7260823706846131,4.482997899477387,4.106169284930565,2.8004472255706787,7.042930603027344,15797,5.6811040432442415,-1.08511891138643,1.0696319628036846
direct_rf_all_features,0.05,33,B21,B21_Ant1_f1_S1,859,17170,859,3,3.183982136355549,2.040672779083252,1.1563758850097656,5.0926618576049805,6.755826473236084,0.2597914934158325,3.1734580993652344,17170,1.9404868062840654,3.285478915148592,3.4373509110534783,3.183982136355549,17170,0.0,3.2623370045081734,2.127655029296875,5.2313232421875,16311,1.9975059905167567,3.3646795167222523,3.019091504341372,1.9317058324813843,4.88599157333374,15797,4.680369629344563,-2.1547508741901145,0.0
