verified_seed,transfer_condition,method,rmse,non_anchor_rmse,mae,p90_ae,los_rmse,nlos_rmse,high_wall_rmse,free_space_rmse,wall_region_rmse
11,Ant1-f1 source-like,direct_extra_all_features,2.8630526379413905,2.875160506802647,1.897680285692215,4.750431129455566,0.7426502159692691,2.9734889989063267,3.10386122885255,2.7719408645708223,4.1313446275673655
11,Ant1-f1 source-like,direct_rf_all_features,2.881270428178898,2.893959908012377,1.8929551503658295,4.759432734489441,0.7908054781241753,2.991263578984069,3.1216616024890977,2.785396878108753,4.18827457363098
11,Ant1-f1 source-like,direct_rf_geometry,6.184521392150152,6.184457518990128,4.37391706609726,10.509779420852661,0.8360209039489733,6.429699236280509,6.794038461155249,6.079894512769848,7.8894998886271255
11,Ant1-f1 source-like,direct_rf_sparse_anchor,5.024678025220699,5.024811853306392,3.6402273931503295,8.449758081436157,0.8385467901393411,5.2275150233872205,5.498425206090017,4.953034311741554,6.061404792267201
11,Ant1-f1 source-like,idw,4.226791240936065,4.248110468931707,3.1134957756996156,6.925487844467163,7.728450914642812,3.988118844095416,3.985630790826276,4.1872958398125695,4.895798216085926
11,Ant1-f1 source-like,log_distance,7.4671650562617105,7.467630422615299,6.012729655265808,12.127714574813842,9.518190007197314,7.264930118736628,7.248973406766472,7.460261775864282,7.635061687023826
11,Ant1-f1 source-like,multi_wall,5.9434094126064565,5.9451459667652715,4.558371753692627,9.383792726516724,5.612014915405259,5.992056026941924,6.154993553294487,5.842954254382684,7.292743241476517
11,Ant1-f1 source-like,multi_wall_residual_idw,3.6625549679301717,3.6810287069988235,2.4560344948768615,5.588402027130127,2.9364508870575263,3.740196767153457,3.8838838339177078,3.5225389134261444,5.342898443344132
11,Ant1-f1 source-like,wallpath_calibrated,3.004964164085984,3.018428469065023,2.0525504751205443,4.970574281692505,0.8164573035988796,3.1219950985604377,3.2611079305471984,2.9136059546554267,4.254742841908586
11,Ant1-f1 source-like,wallpath_extra,2.966839214602491,2.980939462399059,1.9214761936664582,4.818668835639953,1.287216158296299,3.0707683992861448,3.2026752962618326,2.855869610590013,4.410423348528225
11,Ant1-f1 source-like,wallpath_rf,3.0016507847128033,3.0157349746999773,1.9234544043540955,4.840607913970947,1.4459881400734744,3.103518788653597,3.238421546616784,2.8857231774488787,4.4862201354356985
11,Ant1-f2-f3 frequency shift,direct_extra_all_features,6.773818833353065,6.7929552048346755,5.0123169105052945,11.376788785934448,3.2185351584525224,6.942792074176221,7.238380763854849,6.672228793330625,8.395558326670482
11,Ant1-f2-f3 frequency shift,direct_rf_all_features,5.948492471933572,5.970780340056431,4.1941432654857635,10.013468777179718,2.950828854117006,6.121941416452795,6.363657576909122,5.805823882792323,8.055874020829425
11,Ant1-f2-f3 frequency shift,direct_rf_geometry,18.44371915991528,18.4442041560091,15.422500824928283,29.95943444633484,6.48254629520551,18.968515600420044,19.85516315110071,18.436624499616123,18.392245323729398
11,Ant1-f2-f3 frequency shift,direct_rf_sparse_anchor,10.2699880631559,10.270928070866573,7.976598978996277,17.162448710441588,3.660637998389663,10.590300499561287,11.024918530481319,10.16503464783538,11.790504378175179
11,Ant1-f2-f3 frequency shift,idw,7.126995376046142,7.162942213647452,5.318586740970612,11.759125675201416,11.983690865992916,6.843146986051222,6.8859289405151705,7.03477615455009,8.652752834149874
11,Ant1-f2-f3 frequency shift,log_distance,12.565188170626259,12.566201369732433,10.229795004844666,20.33937898826599,15.367869651140516,12.273523398724196,12.275327535699455,12.539154338749041,13.022798932602935
