transfer_condition,method,rmse_mean,rmse_std,non_anchor_rmse_mean,non_anchor_rmse_std,mae_mean,mae_std,p90_ae_mean,p90_ae_std,los_rmse_mean,los_rmse_std,nlos_rmse_mean,nlos_rmse_std,high_wall_rmse_mean,high_wall_rmse_std,free_space_rmse_mean,free_space_rmse_std,wall_region_rmse_mean,wall_region_rmse_std
Ant1-f1 source-like,direct_extra_all_features,2.878376063542406,0.01489492100982465,2.8905183083022017,0.01490406349274578,1.9084237107435864,0.009715346281765356,4.7805582447052,0.02987390336204149,0.7498379802105131,0.0062921722750901845,2.9892636186715222,0.01539541790589105,3.1208120584952836,0.016357623600646336,2.7884398502285257,0.015764479024948375,4.144095434051821,0.015516971517024664
Ant1-f1 source-like,direct_rf_all_features,2.889811413948753,0.008582023326321093,2.9025552276832385,0.008614578843444942,1.8977019735972087,0.0042484491249011,4.775869000116984,0.01562643243746779,0.7918483877397611,0.002205332043441119,3.0000136043143164,0.008700228968339158,3.1315616937572854,0.009582877589950967,2.7946302542452166,0.009135180658120584,4.198900288873802,0.010855450485336296
Ant1-f1 source-like,direct_rf_geometry,6.214606489946796,0.061744332749030656,6.214305320451797,0.06155511239818687,4.389262811183929,0.032512596622299515,10.532194622675577,0.08747980425922658,0.8738229131996446,0.03518403195463261,6.459217087134967,0.06353890364518341,6.824469440462017,0.06893257289058209,6.1084016524921845,0.06185733542579729,7.944673375090637,0.06469877800750283
Ant1-f1 source-like,direct_rf_sparse_anchor,5.036186832492993,0.01055281879634835,5.036589006380841,0.010799881502669983,3.650342346509298,0.01155388732449487,8.466883797327677,0.020590810513726746,0.8415394067858791,0.024011849210950235,5.23902684959394,0.010188891894474231,5.509770253468708,0.01010547201812213,4.964343866777175,0.010527603034631388,6.087753773583927,0.023683858312871613
Ant1-f1 source-like,idw,4.243835336320842,0.014904865483746034,4.26524057278255,0.014980084257226774,3.1189706729253133,0.004860488395471939,6.938462645848592,0.016487706541053252,7.792412686319326,0.05695238550712758,4.002253663455023,0.012431512907225347,4.000116422134803,0.012551990538342843,4.204339230012809,0.014803730825216332,4.913001695336729,0.021206798858078007
Ant1-f1 source-like,log_distance,7.468104951394664,0.0012684913107424572,7.468818544165845,0.0013140097039092515,6.008945845603943,0.004021602706522461,12.126271357218423,0.0025584214481174637,9.545299824934538,0.02507540354528491,7.2640624094943185,0.005946611932900656,7.248224423878383,0.008154102166976136,7.46081523880424,0.0006466663691236894,7.639378444445725,0.008539797376541747
Ant1-f1 source-like,multi_wall,5.953767434508698,0.00900629442943117,5.955708636586933,0.009181401153881127,4.558946031252543,0.0031713564372040266,9.371762283960978,0.011260808616751659,5.643303482536818,0.04957125890638291,5.998472678128789,0.006628509644107867,6.164030903815835,0.00980044598480638,5.853243042772622,0.009104948502793574,7.323877835132275,0.02742503624880678
Ant1-f1 source-like,multi_wall_residual_idw,3.6814158829484946,0.021670988850629524,3.6999845954287807,0.021780172552001837,2.458319154580434,0.0043437009444378324,5.586368798255921,0.019417177287030653,2.988139448988619,0.05558268110560261,3.755990827048945,0.022074676558406812,3.9011374141246438,0.023868229077548216,3.5419005161566006,0.023078200063702068,5.388837049061675,0.04397179407808266
Ant1-f1 source-like,wallpath_calibrated,3.018571838160496,0.013946821831512997,3.0320333212565713,0.01390440163936422,2.0618944334983826,0.008529336804200122,4.992081776618957,0.022669846476275585,0.8326057673835439,0.022533355170289676,3.13543498013772,0.014045459718853074,3.2755599899070282,0.015099180155784677,2.9271326823286117,0.013563275308846781,4.279785517885947,0.02561493833790435
Ant1-f1 source-like,wallpath_extra,2.967056477071201,0.007625587929669639,2.9812526366649323,0.007629618660970817,1.921188362598419,0.005743216272684107,4.80839833577474,0.01608524174148969,1.3119460907450504,0.021567085954754248,3.070044190905175,0.006898719454785775,3.2014958912088134,0.006855122137622613,2.8565591864404283,0.007049768621764835,4.4187018711363555,0.016327961831408357
Ant1-f1 source-like,wallpath_rf,2.997623739146686,0.016388832253213716,3.01183102441815,0.016433939770077448,1.921181160926819,0.006568649815273553,4.827330513000488,0.020291618214585763,1.493908033878763,0.04276516672026405,3.097561646710832,0.01691269469031667,3.2314810984454603,0.018127702092498955,2.882568506461491,0.015799331543156093,4.485792379541425,0.02615962930693696
Ant1-f2-f3 frequency shift,direct_extra_all_features,6.8397435651176925,0.05759659680178794,6.858242020262885,0.0570797523307433,5.083178366104762,0.061492399922534885,11.483328766822815,0.09812654732864726,3.1968536081387335,0.027725234050964356,7.009009884053019,0.058116733397455954,7.304673867169638,0.05853081593584755,6.741232838637974,0.06051651417498497,8.424889306329026,0.03127962776569145
Ant1-f2-f3 frequency shift,direct_rf_all_features,5.945512501009602,0.007298204221317878,5.967748232451179,0.007593925523610179,4.192245103677114,0.009482187935969078,10.020157831509907,0.005810334777546674,3.010999246541554,0.07072234930280107,6.115514905175625,0.009465885828825798,6.354442883276398,0.01128617760344762,5.805162345511685,0.008615308591255897,8.027155812377693,0.025869372015806965
Ant1-f2-f3 frequency shift,direct_rf_geometry,18.318268463795803,0.1474495120366415,18.318125379888684,0.1477823402730224,15.316439148902893,0.1486811180039885,29.72587297566732,0.2250000042758246,6.323963245944907,0.20106075260277148,18.84221758039127,0.1467747709511995,19.712384666757625,0.15780450833783966,18.3116317864775,0.14743145423665632,18.2669602556447,0.14364862324251482
Ant1-f2-f3 frequency shift,direct_rf_sparse_anchor,10.397372255080908,0.12844118988106412,10.398171977093407,0.12827851726432585,8.027280277729034,0.04864855224549031,17.354221551259357,0.2223477124325084,3.7314468412824273,0.16990472566067413,10.716851424672276,0.13125237521598918,11.163447826509804,0.1465212109545104,10.290591402464191,0.1279826666074202,11.950988342750604,0.14873284902287834
Ant1-f2-f3 frequency shift,idw,7.120152760995438,0.008734238724949881,7.156064980637274,0.008778359075386828,5.312033014297485,0.007461007072283881,11.7630500386556,0.005417772417793777,12.118158700197485,0.13396609935279202,6.8236432671572835,0.01728313834292808,6.863938846271842,0.019101000359870307,7.029236272510093,0.007461887509707903,8.63102040997242,0.025243323186534536
Ant1-f2-f3 frequency shift,log_distance,12.564025674726642,0.003726234570998842,12.565018420492402,0.0036966788522558376,10.224668992360433,0.004440077571521515,20.330155526479086,0.017533062378541877,15.478577774784469,0.10613641983234966,12.26448470953912,0.00812929415191672,12.263784248685132,0.010044054972903607,12.538734247831295,0.003667264018294299,13.010488830803517,0.010786614412811143
Ant1-f2-f3 frequency shift,multi_wall,11.030594490792302,0.005584968163200272,11.033059611291884,0.005274646380498501,8.752500669161478,0.01008086152014019,17.646546946843465,0.009653384124691885,10.943732436938767,0.07646255506472463,11.072391419181294,0.0017938825001026014,11.327560316178976,0.0038651403297964653,10.905463630404503,0.00486219045850503,12.762246244394007,0.029603289495030653
Ant1-f2-f3 frequency shift,multi_wall_residual_idw,6.600200689236659,0.017295840398873778,6.633491046050945,0.017383046194465457,4.661348928133646,0.00839781806113302,10.490682077407838,0.032232156659881994,6.009373903349324,0.16399706048859566,6.6949853389101195,0.025022139397541197,6.908957827856856,0.02628841744071358,6.398248859785145,0.018388539919975435,9.198109352751187,0.054344809869346346
Ant1-f2-f3 frequency shift,wallpath_calibrated,6.191679378743338,0.06457707232095174,6.2165875379938,0.06468801402054053,4.483802894194921,0.05505797316326098,10.234640281359354,0.11913452046825826,2.9037015514629307,0.07715503916992891,6.370012279219022,0.06825570772919677,6.616151716642768,0.07156308566501483,6.060994563496014,0.07004461413986561,8.13764215506722,0.04611499934511294
Ant1-f2-f3 frequency shift,wallpath_extra,5.7442872017753395,0.004940499812997899,5.768429376428504,0.005204812001613453,3.9200444399515786,0.006925767928342096,9.562959211667378,0.014408033518842617,3.584490800154807,0.10586584820701257,5.897777252279108,0.005266106996047454,6.117624689264556,0.006954881320830883,5.571195257150109,0.003312494328774927,8.173054308182373,0.028365538271185063
Ant1-f2-f3 frequency shift,wallpath_rf,6.361599703572904,0.0480566597136804,6.383291265160719,0.04802765093637124,4.229837611834209,0.036942575882254934,10.476599249839785,0.14663429546045545,3.800862741844453,0.11519141858296586,6.532288879520839,0.04704162754870841,6.798632389542024,0.05008858751963051,6.180793801090021,0.04869222483710317,8.870141949152304,0.04240785339200018
Ant2-Ant5 additional antennas,direct_extra_all_features,8.118058955940207,0.10610820476158975,8.130892736173225,0.10572474157618547,6.536424337782793,0.12136927698598418,13.080074649403493,0.14806127572340236,9.592430644202246,0.2710753450589707,7.876106662613187,0.11296075765358184,8.040610778544108,0.10403086813949672,8.102376844105212,0.10711191584815795,8.399079679690411,0.09085116966210396
Ant2-Ant5 additional antennas,direct_rf_all_features,6.018943339813858,0.021025217293448955,6.037227498166082,0.02146804209920517,4.452821643633975,0.019251346506095425,10.042246066861681,0.03289282613462345,5.432488086356398,0.08809517222800464,6.076253877078833,0.018980610430746635,6.243346293983148,0.01827105338210998,5.937910129846972,0.021020082504530323,7.311006822522337,0.030259448247198027
Ant2-Ant5 additional antennas,direct_rf_geometry,24.071258846046504,0.10998657857183976,24.071290063425348,0.11023511901207715,21.817481893466578,0.11579780577475056,35.10257131155995,0.14129043103229955,17.981820734305007,0.13360416495093502,24.347861771216667,0.1084395005439475,24.766361291142037,0.11232760191686504,24.140502620457028,0.10976145174492637,22.573402703702072,0.11182988589267968
Ant2-Ant5 additional antennas,direct_rf_sparse_anchor,12.834975282725091,0.02210129897405001,12.835654808610457,0.021960882630043844,10.60151690779461,0.029168425526328486,20.50755313810375,0.09782985852938907,13.42107596657671,0.09701191369453549,12.718719994532004,0.028418666433269693,12.490281939725227,0.030635952919119046,12.860488596490043,0.02283856736088078,12.199335668160147,0.07326264048921609
Ant2-Ant5 additional antennas,idw,6.316843200815409,0.0026009272622525073,6.348703533994887,0.002614045019425417,4.68373157893618,0.0015150718926353582,10.345479044185744,0.00553637402333574,11.16690228140814,0.006262201288586335,5.989662831025484,0.0036195881262218606,5.973138714603134,0.005696774695849189,6.249932599767394,0.002728172281955476,7.445336937669386,0.005408647911500084
Ant2-Ant5 additional antennas,log_distance,11.599542062987625,0.0008855525749940981,11.600384103497802,0.0008748563680222889,9.452300079895391,0.0008862983617272461,18.750833555923567,0.0032700724894998584,14.412542152941443,0.00921237303330504,11.306062311380598,0.0009491048782840183,11.1844405929588,0.001486825656091109,11.583276073260988,0.0007637294940573276,11.893694396865094,0.0037905773358159925
Ant2-Ant5 additional antennas,multi_wall,10.279560509917975,0.002381294741480861,10.281603774596759,0.0024103973045333355,8.213082836104762,0.0011748276252772408,16.468178811271986,0.004569788088961611,11.14071297791026,0.008200361520200278,10.234777095617702,0.002463202546936135,10.307287283241365,0.0038311346546883503,10.184935983998557,0.0013476168862316877,11.61672002866239,0.014883662288588314
Ant2-Ant5 additional antennas,multi_wall_residual_idw,5.8918364293784755,0.001799368796375988,5.921553466774192,0.0018084384873534966,4.193772378125124,0.0006796438166044883,9.353594655907818,0.0013810847697940528,6.070375351234577,0.004383375099860269,5.928798214245922,0.0013953911487579365,6.059183222153812,0.002775239811432162,5.729118216809138,0.001938444757109981,8.023748229696482,0.01388473937888081
Ant2-Ant5 additional antennas,wallpath_calibrated,6.454985072659222,0.08568501171479753,6.476861815270602,0.08573803601886922,4.979884730759594,0.07718176590596912,10.511234518206782,0.12926951305027864,6.414233377331063,0.3603921326694685,6.411899482186693,0.08915584967554564,6.500970795528168,0.09783421019583036,6.395035300648705,0.08830872797764198,7.368286338712029,0.06411027365789561
Ant2-Ant5 additional antennas,wallpath_extra,5.397805999428528,0.021616837927801082,5.418495891595275,0.021627256330549377,3.810648261014786,0.021121117677446438,8.933977635933294,0.032096921522859034,4.493192111902388,0.039635010585731045,5.48892029558879,0.021769372360419578,5.670614735058511,0.02251016963817244,5.272746133157419,0.022696512605969197,7.228637698834272,0.008357247391494576
Ant2-Ant5 additional antennas,wallpath_rf,6.465890927743729,0.09130711081487919,6.483391242593669,0.09086276770604644,4.386644324387113,0.06644873459184111,10.618840939998627,0.3402958183908631,4.5650570697562625,0.04119454814858129,6.598016411970467,0.09504885741753848,6.859031706857471,0.10093106246136505,6.337122483416233,0.09418039603422812,8.334972287852231,0.057232918459470025
