method,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,p90_mean,p90_std,count
direct_rf,6.364357579617017,0.19508365851574144,6.179861383145187,6.568536455280132,4.964412556422157,0.16427478783491625,10.220333109025484,0.1905000784473791,458
wallpath_residual_rf,6.449826497590375,0.11700242783273351,6.355310139410703,6.580688274964572,5.039251675873697,0.12867975939228657,10.152264160640524,0.22755826713422164,458
wallpath_residual_extra,6.49326014695783,0.12419105995779392,6.381523393215104,6.626971910001163,5.0653329612754465,0.0782691353504032,10.815073193466183,0.5177397030746947,458
direct_extra,6.643405848328736,0.1737475173294356,6.527827164936939,6.84321411741534,5.1460918440095815,0.14324900797312093,10.791143575150514,0.395448196096531,458
multi_wall_linear,7.058525038982883,0.11898442247865695,6.982547055816502,7.195649303542226,5.6132689350783815,0.09111194062075915,11.031762723066691,0.1871429728188176,458
log_distance,9.997042444009994,0.1792775866694595,9.846689821351063,10.195450324860875,8.286842654879704,0.1244272383777565,16.10886694697922,0.34227848177064846,458
