sparse_rate,method,rmse,non_anchor_rmse,mae,p90_ae
0.005,direct_extra_all_features,3.2107365960154257,3.217331713736572,2.16983159160614,5.371065503120422
0.005,direct_rf_all_features,3.2328559897280718,3.239777714439239,2.162486918926239,5.383894587516784
0.005,wallpath_calibrated,3.3423364059163467,3.3496764629253466,2.3074989485740662,5.552523185729981
0.005,wallpath_extra,3.343900653143496,3.3518378302361733,2.229428218841553,5.430540254592896
0.005,wallpath_rf,3.3627473084417296,3.370705637814432,2.2176294322013854,5.438907702445984
0.005,multi_wall_residual_idw,4.129475733398484,4.139854896153331,2.7360379276275637,6.1470044860839845
0.005,idw,4.780633955325499,4.792649623461158,3.5124012775421143,7.813011762619019
0.005,direct_rf_sparse_anchor,5.052566767591446,5.05269165078667,3.661192337036133,8.532226821899414
0.005,multi_wall,6.070455674127751,6.072223222302755,4.584707983970642,9.396839868545532
0.005,direct_rf_geometry,6.687319590156975,6.687177879197052,4.814894146919251,11.282507738113404
0.005,log_distance,7.499579994125038,7.500003480785285,6.031931704521179,12.17715369987488
0.01,direct_extra_all_features,2.8928018832888847,2.904922873214053,1.916592219114304,4.8101723279953
0.01,direct_rf_all_features,2.898433894417862,2.9111889373876974,1.901147799253464,4.790534789085388
0.01,wallpath_extra,2.9747883746027464,2.989034020340809,1.926782251358032,4.816665422439575
0.01,wallpath_rf,3.0116236794691,3.0259614544305173,1.9263112316131592,4.837411045074463
0.01,wallpath_calibrated,3.032834712931358,3.0462190652097423,2.069262227535248,5.015758089065551
0.01,multi_wall_residual_idw,3.7050882213470544,3.7237762266868737,2.46332839345932,5.604689356803895
0.01,idw,4.250288779538097,4.271726542963992,3.122777454376221,6.932884170532226
0.01,direct_rf_sparse_anchor,5.038473888306167,5.038926324047261,3.6478660259246825,8.489729997634887
0.01,multi_wall,5.958142159407403,5.960202169601721,4.556101053237915,9.361474224090577
0.01,direct_rf_geometry,6.173671116460058,6.173364532664015,4.367263305664062,10.458103424072265
0.01,log_distance,7.469547790558245,7.470229854528339,6.009385330200195,12.123317403793337
0.05,direct_extra_all_features,2.208037009598794,2.258716222402364,1.3911398799419403,3.544282744884491
0.05,direct_rf_all_features,2.2196385626996924,2.272016841859381,1.3651979508399965,3.516681113243103
0.05,wallpath_extra,2.2446590785447795,2.3011105133829672,1.3212852849960328,3.4756620721817018
0.05,wallpath_rf,2.285581651267301,2.3423116215685584,1.3275348105430602,3.4934566168785097
0.05,wallpath_calibrated,2.407465563720866,2.4650830957287333,1.6079538669586182,3.931361275672912
0.05,multi_wall_residual_idw,2.978067751770724,3.055450226214387,1.9802387919425963,4.565971494674683
0.05,idw,3.3643449194312662,3.4517643830615308,2.4660530228614808,5.487149049758911
0.05,direct_rf_sparse_anchor,5.015819803091696,5.015666538390798,3.6453274059295655,8.445068626403808
0.05,multi_wall,5.87128691749204,5.872302525705403,4.546674425125122,9.339412029266358
0.05,direct_rf_geometry,7.087434556204864,7.086756492118775,5.050381757736206,12.123645698547364
0.05,log_distance,7.444199514588873,7.444470856271163,5.992377841949463,12.10094534111023
0.1,direct_extra_all_features,1.9391655021157832,2.036014604844903,1.1800734958648682,3.032133587360382
0.1,wallpath_extra,1.947787951701195,2.050748489144462,1.0832711617946624,2.905574669837952
0.1,direct_rf_all_features,1.9492610236355652,2.0482459813725336,1.1386740391254424,2.9857061710357664
0.1,wallpath_rf,1.9821700431504443,2.0856598862120865,1.0920333732366565,2.9279859735965728
0.1,wallpath_calibrated,2.1762608794148206,2.2894941816696464,1.4291102032661438,3.537785848617553
0.1,multi_wall_residual_idw,2.742690101577056,2.891055263684707,1.7955776681900024,4.22976925945282
0.1,idw,3.0781942064574923,3.244708148707254,2.223365543365478,5.0336693010330205
0.1,direct_rf_sparse_anchor,4.992567892040306,4.9929581301985015,3.632857487678528,8.408402055740357
0.1,multi_wall,5.860129714122281,5.861803638052785,4.546257995605469,9.346932207107544
0.1,direct_rf_geometry,6.485803502355529,6.486547831706557,4.675086798667908,10.970171739578246
0.1,log_distance,7.442205348518508,7.442287242087946,5.990920245170593,12.092782550811767
