sparse_rate,method,sparse_seed_mean,sparse_seed_std,anchor_count_mean,anchor_count_std,anchor_count_std_mean,anchor_count_std_std,valid_count_mean,valid_count_std,valid_count_std_mean,valid_count_std_std,mw_anchor_count_mean,mw_anchor_count_std,mw_anchor_count_std_mean,mw_anchor_count_std_std,mw_design_rank_mean,mw_design_rank_std,mw_design_rank_std_mean,mw_design_rank_std_std,rmse_mean,rmse_std,rmse_std_mean,rmse_std_std,mae_mean,mae_std,mae_std_mean,mae_std_std,median_ae_mean,median_ae_std,median_ae_std_mean,median_ae_std_std,p90_ae_mean,p90_ae_std,p90_ae_std_mean,p90_ae_std_std,p95_ae_mean,p95_ae_std,p95_ae_std_mean,p95_ae_std_std,bias_db_mean,bias_db_std,bias_db_std_mean,bias_db_std_std,std_error_db_mean,std_error_db_std,std_error_db_std_mean,std_error_db_std_std,count_mean,count_std,count_std_mean,count_std_std,los_rmse_mean,los_rmse_std,los_rmse_std_mean,los_rmse_std_std,nlos_rmse_mean,nlos_rmse_std,nlos_rmse_std_mean,nlos_rmse_std_std,high_wall_rmse_mean,high_wall_rmse_std,high_wall_rmse_std_mean,high_wall_rmse_std_std,unclipped_rmse_mean,unclipped_rmse_std,unclipped_rmse_std_mean,unclipped_rmse_std_std,unclipped_count_mean,unclipped_count_std,unclipped_count_std_mean,unclipped_count_std_std,clipped_pixel_fraction_mean,clipped_pixel_fraction_std,clipped_pixel_fraction_std_mean,clipped_pixel_fraction_std_std,non_anchor_rmse_mean,non_anchor_rmse_std,non_anchor_rmse_std_mean,non_anchor_rmse_std_std,non_anchor_mae_mean,non_anchor_mae_std,non_anchor_mae_std_mean,non_anchor_mae_std_std,non_anchor_p90_ae_mean,non_anchor_p90_ae_std,non_anchor_p90_ae_std_mean,non_anchor_p90_ae_std_std,non_anchor_count_mean,non_anchor_count_std,non_anchor_count_std_mean,non_anchor_count_std_std,non_anchor_los_rmse_mean,non_anchor_los_rmse_std,non_anchor_los_rmse_std_mean,non_anchor_los_rmse_std_std,non_anchor_nlos_rmse_mean,non_anchor_nlos_rmse_std,non_anchor_nlos_rmse_std_mean,non_anchor_nlos_rmse_std_std,free_space_rmse_mean,free_space_rmse_std,free_space_rmse_std_mean,free_space_rmse_std_std,free_space_mae_mean,free_space_mae_std,free_space_mae_std_mean,free_space_mae_std_std,free_space_p90_ae_mean,free_space_p90_ae_std,free_space_p90_ae_std_mean,free_space_p90_ae_std_std,free_space_count_mean,free_space_count_std,free_space_count_std_mean,free_space_count_std_std,wall_region_rmse_mean,wall_region_rmse_std,wall_region_rmse_std_mean,wall_region_rmse_std_std,rmse_delta_vs_multi_wall_mean,rmse_delta_vs_multi_wall_std,rmse_delta_vs_multi_wall_std_mean,rmse_delta_vs_multi_wall_std_std,rmse_delta_vs_direct_rf_mean,rmse_delta_vs_direct_rf_std,rmse_delta_vs_direct_rf_std_mean,rmse_delta_vs_direct_rf_std_std,num_rows_mean,num_rows_std
0.005,direct_extra_all_features,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,3.205254024324152,0.01747683496382919,0.9486700642437459,0.019534468153054454,2.1677586414019268,0.011461143151741298,0.6891001371092068,0.009183334562011106,1.344449401855469,0.006754107688202492,0.5198289820588408,0.004452937630497249,5.354700619697571,0.031168846001395842,1.6412200361341167,0.025566535768366965,7.001663314501445,0.03325840170795138,2.091192730129756,0.03443756696320169,-0.24849004326760768,0.015329733456744139,0.45839840984489694,0.03087194480816149,3.1712857429186503,0.013467507845686677,0.9192721034272945,0.0172640539246221,69171.2,0.0,62288.73393528755,0.0,0.7599022339959262,0.007735425716406462,0.36812675091419456,0.022483783746260182,3.330262555069344,0.018636653361004812,0.9867108638822479,0.020030410996415376,3.478626755540269,0.019073211608472095,1.0033516629846027,0.019799829124560363,3.205254024324152,0.01747683496382919,0.9486700642437459,0.019534468153054454,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,3.2118764752777658,0.017401821229993335,0.95000598209363,0.019457581709623296,2.1745738198757176,0.011355897476492825,0.6908337301230864,0.009069428918855324,5.365479299227396,0.030903196389446778,1.6426614401608137,0.02503706660933622,68825.0,0.0,61977.186267776655,0.0,0.7603377613609195,0.007669487384692851,0.36855087944198867,0.022718202004944503,3.3371656946221453,0.01856092542131649,0.9881134437434255,0.019971198034766664,3.11898419881361,0.01612957176717322,0.9401056584903601,0.019558460193789786,2.094350636402766,0.010596355212060508,0.673913245584353,0.008650064085109255,5.206762235005697,0.030068448866609546,1.6409116958424097,0.027243172591896684,66369.0,0.0,61020.82222471212,0.0,4.439790965063248,0.03272282128317753,0.8714747970450459,0.01394980504743587,-2.853585829557179,0.02031174884193468,1.2422444849379335,0.008755392400882947,-0.016444673174936402,0.0089758626925377,0.11035849020690826,0.011989208391339426,250.0,0.0
0.005,direct_rf_all_features,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,3.221698697499089,0.013416901034741165,0.9199380379702707,0.017277621494451844,2.156271199305852,0.005781066252858852,0.6702704232299267,0.005893317373371135,1.3237878328959147,0.006134788219280915,0.5104485900140759,0.006732318213370838,5.357494741121928,0.02757131583322747,1.5662349787797227,0.02431347041855527,7.031421093304952,0.03637777051198596,1.9984274716820194,0.04813640637042269,-0.20273955955635756,0.010309212758366852,0.4497724052017331,0.02851969725850367,3.1886669257481888,0.011765886397091896,0.9028593495897465,0.016071890641658853,69171.2,0.0,62288.73393528755,0.0,0.7959544503989203,0.019882890304086968,0.4523129324074582,0.09226885602965901,3.347058687671709,0.015191201683705037,0.9588144368888738,0.018866804223688433,3.497335498516511,0.015829424109849277,0.9725511224779622,0.01796093751772423,3.221698697499089,0.013416901034741165,0.9199380379702707,0.017277621494451844,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,3.2286477959085054,0.013367716067903948,0.9216548383825129,0.017230140423189006,2.163559237321218,0.005753037515133395,0.6725372362956913,0.005866273206298822,5.368813430468241,0.027478410270036332,1.5682725422664419,0.024178243244537313,68825.0,0.0,61977.186267776655,0.0,0.7966244993013367,0.019941954577327014,0.45313883795480675,0.09251373775905453,3.3542941096951497,0.015143084032911919,0.9606051241555583,0.01882989044642838,3.1306078365803693,0.011194024987564256,0.9060672912045612,0.017104064320414652,2.0803008614381153,0.0043589975096953665,0.6530527704551137,0.0056315155457599625,5.20155103302002,0.025145005333277223,1.5592386381347894,0.026189975408148734,66369.0,0.0,61020.82222471212,0.0,4.494099160547774,0.03747276594401247,0.9025760618406607,0.02169431282977899,-2.8371411563822426,0.012100537327661389,1.2185111122134593,0.012644833983876709,0.0,0.0,0.0,0.0,250.0,0.0
0.005,wallpath_extra,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,3.3279494367867577,0.015143626053128214,0.9641925487923628,0.03960751939976143,2.2277950735092165,0.0020468784871257267,0.6856122037620968,0.012663307985840738,1.378697809855143,0.004835294380643839,0.5281527805838772,0.009139750559344455,5.42205053806305,0.008621231426080065,1.5179884071189693,0.0241362114625849,7.149140086174011,0.024934182247156805,1.9451090173700025,0.05146425725361018,-0.0017783084339365006,0.027963249682683756,0.3609369806047058,0.02261202538957657,3.311944043795268,0.016254089216213453,0.9515836801714319,0.04189791669239709,69171.2,0.0,62288.73393528755,0.0,1.4588310993957652,0.059523703725564724,0.8664163916223137,0.07933208875638824,3.443986371703217,0.018706086526682812,1.0116426675365509,0.046357768592986084,3.588169890851741,0.020212612875172974,1.0382139624881492,0.046948091976933046,3.3279494367867577,0.015143626053128214,0.9641925487923628,0.03960751939976143,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,3.3358558055506404,0.01518147952253093,0.9664304908153419,0.03971868748402978,2.236920383612315,0.002052675731374192,0.6884655935889903,0.012731229652133778,5.4342268892923995,0.00858405316328876,1.520471428896388,0.024340425300066255,68825.0,0.0,61977.186267776655,0.0,1.4618886702458127,0.05959839575412362,0.8678080218753877,0.0794457254466641,3.4521771255893454,0.018747589654324423,1.0140027488686396,0.046469567356430444,3.2230963205961065,0.011916454676997501,0.9296600735999085,0.03216740036990764,2.151947031180064,0.000803466170013255,0.6624274667348615,0.011194088240174201,5.265053972880046,0.006968822838789132,1.4909578640959866,0.02323711793929342,66369.0,0.0,61020.82222471212,0.0,4.7386052649828825,0.03470056299953253,1.2416152753193554,0.11061647425105296,-2.730890417094574,0.005078192962007056,1.1128889900817296,0.02975193279765221,0.10625073928766908,0.01605920155753244,0.35466973817144254,0.05901676574750086,250.0,0.0
0.005,wallpath_calibrated,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,3.3407353208366337,0.0015810906877368862,0.8920813574016567,0.010388953591917584,2.310168819109599,0.0024676426177061427,0.6310551055385254,0.008030982772034949,1.5016343154907226,0.005972249362098672,0.4694627383937163,0.00623084286340395,5.548313355127971,0.004797788757834546,1.5504387041858887,0.010690844339798916,7.1952124748229975,0.002877280274087404,1.979642046128901,0.021504181893424866,-0.3853225620526355,0.018589393082011286,0.5382356832258272,0.01934362837498004,3.2828323788642884,0.004773325011772358,0.8613988444609776,0.011161303937628719,69171.2,0.0,62288.73393528755,0.0,0.8533332265746779,0.013164810101756718,0.40868433040211,0.017399307897848132,3.4714090266119606,0.0024575913027668705,0.9315402207576723,0.0110618183498853,3.6278263849442745,0.002265709568888889,0.9488293214197653,0.010229494392534353,3.3407353208366337,0.0015810906877368862,0.8920813574016567,0.010388953591917584,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,3.3480781420098515,0.0015916542242858007,0.8937168424642078,0.010442497962436787,2.3184862082799276,0.0024588886497892266,0.6332531557374618,0.00810418511170699,5.559495808283487,0.00467315634516891,1.5526290872008452,0.010879088916219137,68825.0,0.0,61977.186267776655,0.0,0.8548117163607382,0.013192723224833532,0.4098065589634116,0.016862153464448523,3.4790539855755225,0.002461811103795677,0.9333005252308114,0.011092501335813661,3.2520595519388205,0.00016382225374164577,0.8735767762848999,0.008311538772113635,2.238981446584066,0.0036884215227543675,0.6135548704123138,0.0075295349036280075,5.403144399960836,0.0035523383594019257,1.5340018519674299,0.008854921146993065,66369.0,0.0,61020.82222471212,0.0,4.578934215354864,0.012495261797037296,0.9764637042470543,0.04413341161203912,-2.718104533044697,0.008906436782323357,1.1594671417815032,0.015934449043409474,0.11903662333754504,0.013033113961727507,0.19866433731495173,0.012214742277071419,250.0,0.0
0.005,wallpath_rf,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,3.3421376237041778,0.018464391763559487,0.9859103369023013,0.03728853344072414,2.2165446564356484,0.0011327235051430719,0.7015368213250387,0.01166697671598114,1.3496790351867674,0.008036168937816151,0.5465209497899494,0.010317025922351439,5.4286028683980305,0.012514425643422243,1.5289400843049459,0.016943229046929013,7.18421020189921,0.028064776623642377,1.9557190333960925,0.041071397981461984,-0.0050246406853354,0.027700640478260544,0.37292226313974375,0.02274165341172957,3.3249649095535276,0.019331291797386945,0.9733020839519869,0.03957198457908372,69171.2,0.0,62288.73393528755,0.0,1.636610970959396,0.06424995391821411,0.9630301697611311,0.07450927209702932,3.454560605925591,0.022260596806269725,1.0315309796701038,0.0433536908022376,3.601297577176277,0.023414122207460086,1.0563488244663255,0.04304810342315901,3.3421376237041778,0.018464391763559487,0.9859103369023013,0.03728853344072414,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,3.3500101942728215,0.01853969755465873,0.9882044401321074,0.037394020172740364,2.22541473865509,0.0012042548643754704,0.7043848244529726,0.011734440836261517,5.440869839986166,0.012426360699634374,1.5316048558650175,0.016992498811324093,68825.0,0.0,61977.186267776655,0.0,1.6402704378966246,0.0643748318045424,0.9647549584220628,0.07493711497101564,3.4627058845169656,0.02234013333955944,1.0339461612816385,0.043457521816997816,3.2325816633977844,0.015376221233916132,0.9484535923581895,0.030132142157951177,2.1388016682465874,0.0010559082277875635,0.677314619095371,0.010011014494403227,5.266992282867432,0.010453287394093095,1.5016526884070405,0.014724388431548163,66369.0,0.0,61020.82222471212,0.0,4.791520613730468,0.03718258579777349,1.3102405596827966,0.09494538790741765,-2.716702230177153,0.008027762400605473,1.107937239272568,0.027498100828024338,0.12043892620508918,0.016250136411672198,0.3418180233193078,0.062128730674465046,250.0,0.0
0.005,multi_wall_residual_idw,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,4.0938279366780135,0.030882890078779236,1.347578344663417,0.041509401886461454,2.733854582150777,0.003784881417343678,0.7094935248471409,0.007184307585682901,1.8782158406575522,0.010258929829311309,0.5071625471155469,0.007012114502799632,6.14658066813151,0.0032787008470794993,1.581251418200291,0.020234914905021176,8.011056718190511,0.0123965869805476,2.153415622185343,0.06030938446670721,0.02139726578492747,0.030351893785114527,0.4130015382872622,0.017320107480079228,4.077400302569072,0.030342644839438538,1.3340260503869423,0.04062211838751818,69171.2,0.0,62288.73393528755,0.0,3.4441654345875587,0.0945512309129685,1.928205648026342,0.1470427059438219,4.172035835908883,0.03725705977904027,1.444422654600604,0.04922854660743649,4.323814146864222,0.04066636167043885,1.5083835419576521,0.051840794646276965,4.0938279366780135,0.030882890078779236,1.347578344663417,0.041509401886461454,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,4.104117458738851,0.030960549714717144,1.3509696543905239,0.041613679487703024,2.747614457289378,0.003803949400762167,0.7130708037353842,0.007220511707677846,6.1599990186691285,0.003426406764319937,1.5849661702850464,0.020479989121411454,68825.0,0.0,61977.186267776655,0.0,3.452541170051221,0.0947457927001054,1.9312787603257042,0.1478522594731011,4.182524732289687,0.03734694639480098,1.4480680004419133,0.04931916865301551,3.9415694909594166,0.0220840491573166,1.2339703281351637,0.04118417919090091,2.6586757992108665,0.002865656005957366,0.6831358344939874,0.005172509748661241,6.012578022321065,0.002525756424319148,1.5493189933309661,0.017902665609130106,66369.0,0.0,61020.82222471212,0.0,5.933229324197179,0.07095273759806976,2.7857123896919735,0.18544239715947614,-1.9650119172033176,0.02112296156076782,0.8473940379023724,0.026202414750446424,0.8721292391789249,0.02284355080555795,0.8780169950739068,0.0527610167854027,250.0,0.0
0.005,idw,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,4.7737310290914445,0.006024850991253476,1.1351110395673996,0.009205338348186296,3.5114060780207317,0.0008812943696843111,0.8523571264853799,0.007497954411388626,2.6266454594930013,0.005586726739919237,0.6894364703438574,0.007322460474927681,7.812519795735677,0.014069559902541055,1.8990903920757445,0.011379981469608025,9.809378378550212,0.01322232976843023,2.433241290994482,0.02228885413225256,-0.12533797223931953,0.026986225740309407,0.6145087604686662,0.016939566524573003,4.739067881902058,0.007550538550724495,1.1073912766899656,0.006869632303268533,69171.2,0.0,62288.73393528755,0.0,8.838535520423811,0.11023507760602597,4.045477733745662,0.03612591685817729,4.487603778607647,0.007553654456121304,1.1221198630602263,0.015786355375911557,4.46653062895725,0.012202137258513306,1.0837328990045778,0.023695792465865593,4.7737310290914445,0.006024850991253476,1.1351110395673996,0.009205338348186296,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,4.785729345384584,0.006039999675829179,1.1379702635486248,0.009228355378895676,3.52907940642039,0.000885730459575992,0.856655916286757,0.007535552771902777,7.8272857697804765,0.014252891119664338,1.9027204529316597,0.011274240541925225,68825.0,0.0,61977.186267776655,0.0,8.859350298164586,0.11050251049954152,4.048087074010131,0.035810849818679706,4.498885458909584,0.007568470356769299,1.1249476549414077,0.015813638384568576,4.735054490509179,0.007533625053534,1.1317772566787558,0.010068614469641378,3.4782802734375,0.001712690043312052,0.8480237754798723,0.00833253619664483,7.747863419850667,0.014009489186272888,1.894299258669804,0.010887137583832696,66369.0,0.0,61020.82222471212,0.0,5.430867101839982,0.012223961094908484,1.030361737188489,0.02249509771125602,-1.2851088247898872,0.004561313986965474,1.2760775565085856,0.04362977967622991,1.5520323315923552,0.010711199032272483,0.588531285051351,0.0032064760373587864,250.0,0.0
0.005,direct_rf_sparse_anchor,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,5.03851479155096,0.012177292690543072,1.0783281531054971,0.022246697239808638,3.6512706270217894,0.008593722302391549,0.8737111782226453,0.014449034927160011,2.673442877451579,0.0022775220119227333,0.9465021207911536,0.007482065250520018,8.492124648412068,0.03517057536545747,1.8721982825263457,0.04745040147338566,10.554112513860067,0.02814544745825038,2.3345732096153022,0.06231018229464784,-1.0006655046151332,0.006893068908867402,1.0062211859630061,0.03835711269290356,4.840891359011333,0.013430531534522845,1.0512740780956202,0.011641885252392329,69171.2,0.0,62288.73393528755,0.0,0.8129983914791784,0.008697299635334815,0.4107051388144496,0.005780150942498286,5.240327665765467,0.013011224202311836,1.1310142606506717,0.025463977205415458,5.514909298813527,0.01225437177532403,1.118052482057303,0.026745042011108403,5.03851479155096,0.012177292690543072,1.0783281531054971,0.022246697239808638,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,5.038749784501609,0.012084465798906346,1.0785517066224222,0.02221557399235515,3.651376872062683,0.008587001771693671,0.8738966795786666,0.014415569952625138,8.49249936167399,0.0348991157404607,1.8724844379620957,0.04749946625102913,68825.0,0.0,61977.186267776655,0.0,0.8127477949514996,0.008832517797048564,0.41090238549068264,0.005808550022074557,5.240579700715195,0.012913726892268808,1.131243349164947,0.025470046802857724,4.96773063328668,0.01158102150929331,1.075305252309193,0.02275991149172438,3.5836832485198973,0.008031039374616406,0.876675221588699,0.014437585680684978,8.383053548812866,0.03429773945178922,1.8669886313743351,0.05110344998157809,66369.0,0.0,61020.82222471212,0.0,6.038040836718802,0.022213491251911906,1.1792037130038329,0.013032572061729569,-1.0203250623303715,0.0031552906276624006,1.0587860132589897,0.028808244243205043,1.8168160940518712,0.010064995091675265,0.7244373002570311,0.013911722154032023,250.0,0.0
0.005,multi_wall,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,6.058839853881331,0.010438114148149841,1.4502165609736037,0.00148988347818324,4.595779493967692,0.010580083626431449,1.0246109817584272,0.031084836691046565,3.7525849787394208,0.013775728658697492,0.9937724943729161,0.03479196224216282,9.417208847681682,0.018691171793555904,1.9934412818724079,0.04225347136147335,11.560995564142862,0.02374382279071764,2.4713630759820266,0.014568654129559844,0.027934676333466368,0.029615873262557286,0.4882270425103113,0.01785970883484989,6.041821667353312,0.01060976892512559,1.4391497512199871,0.0011892371498464747,69171.2,0.0,62288.73393528755,0.0,5.728113171792079,0.1111056528347197,2.352477944212381,0.18261545851058028,6.107711258995972,0.01694879266127097,1.5252138370163826,0.016188068852518223,6.27214933174277,0.019880488258311797,1.5804645184017492,0.023189389203490132,6.058839853881331,0.010438114148149841,1.4502165609736037,0.00148988347818324,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,6.060465315438548,0.01056986389168267,1.451897927747373,0.0016058651645066173,4.596540803273519,0.010557506697532333,1.024809105500438,0.031004287641083195,9.41862146695455,0.018922017743938112,1.9940285131086386,0.04230390659251408,68825.0,0.0,61977.186267776655,0.0,5.729251149323065,0.11124866193893951,2.354036670122492,0.18407892755723607,6.109341167965407,0.01709337296920276,1.5271827627743635,0.016253011534808102,5.943903635244944,0.006325497356509669,1.380946648459328,0.008007042095130033,4.541706405321757,0.012709291452003611,1.0217819477785275,0.03379505291697569,9.316709256490071,0.018811444158527747,1.9925801756008312,0.04021518002970475,66369.0,0.0,61020.82222471212,0.0,7.569121868216844,0.05839936112790228,2.7406462346656455,0.16467975909307347,0.0,0.0,0.0,0.0,2.8371411563822426,0.012100537327661389,1.2185111122134593,0.012644833983876709,250.0,0.0
0.005,direct_rf_geometry,22.0,11.0,346.2,0.0,311.54776203999364,0.0,69171.2,0.0,62288.73393528755,0.0,346.2,0.0,311.54776203999364,0.0,3.4,0.0,0.490880693673816,0.0,6.701051247993303,0.017596114031786177,2.2129752178819575,0.012445798930802497,4.818792818705241,0.004834399717395168,1.7447692878041658,0.006213891545475423,3.497200481414795,0.010766141940363185,1.6665864084773776,0.007306746073756372,11.295202419281006,0.029492705897785798,3.849080470316767,0.03666626737544733,14.092079917271931,0.06415195964890948,4.675405527349693,0.02327861652038333,-1.9068760903157915,0.019167263450083395,2.7599300867730983,0.0008248702015657199,5.978347886721292,0.014955260949447394,1.68242170472682,0.0138477925527613,69171.2,0.0,62288.73393528755,0.0,0.8428143773755861,0.024806969700640048,0.5144060597863245,0.04300956067751643,6.9599652850339675,0.018530150119780306,2.2736902182196834,0.010314234957847971,7.33364401587336,0.0198654367495681,2.289133158802175,0.01027661097737829,6.701051247993303,0.017596114031786177,2.2129752178819575,0.012445798930802497,69171.2,0.0,62288.73393528755,0.0,3.787878787878788e-06,0.0,7.5909546975019154e-06,0.0,6.700927083847733,0.01763522138308257,2.2129716306983553,0.012499089919291738,4.818541314125061,0.004838631877503256,1.7447652500266777,0.0062484985875582355,11.295304143269854,0.029887597811131265,3.849351921029502,0.036956279085305604,68825.0,0.0,61977.186267776655,0.0,0.8426234038567907,0.024632530819173187,0.5146513321225669,0.043010057535420795,6.959844459727631,0.01857252234282645,2.273694244272114,0.010414781517068268,6.624781029635623,0.017516454410700336,2.225902129248088,0.012296174386641079,4.745060963312785,0.004337431689714571,1.7560476093838062,0.006398562622553379,11.183889384587607,0.02579739017301031,3.863561035376657,0.035473931334616834,66369.0,0.0,61020.82222471212,0.0,7.822740988507069,0.025315128457476632,2.1658112278021546,0.006496915335453743,0.6422113941119715,0.027020091693531135,1.9999185454749888,0.01663897030525487,3.4793525504942147,0.021863127360457077,1.7191900001987612,0.024390183704892467,250.0,0.0
