sparse_rate,method,rmse,non_anchor_rmse,mae,p90_ae
0.005,direct_extra_all_features,3.2193322454894373,3.2258970996022045,2.178041837692261,5.374278579711914
0.005,direct_rf_all_features,3.225428614966797,3.232345099757331,2.1552715020179747,5.359704669952393
0.005,wallpath_extra,3.3137691180919835,3.3216271265202177,2.2254988594055174,5.422307808876037
0.005,wallpath_rf,3.3271036762972104,3.334919651834922,2.2153694109916686,5.432223628997803
0.005,wallpath_calibrated,3.3391750134065057,3.3464932393182862,2.3106417198181157,5.549327217102051
0.005,multi_wall_residual_idw,4.076827956608604,4.087074762986536,2.729484178066253,6.143110667228699
0.005,idw,4.7695305422617,4.781518267206836,3.5110924978256226,7.798210704803467
0.005,direct_rf_sparse_anchor,5.031049560671516,5.031276271005269,3.646162070274353,8.46652098274231
0.005,multi_wall,6.050246487427113,6.051751623514418,4.596842618942261,9.4212136592865
0.005,direct_rf_geometry,6.720886441152598,6.720810166554564,4.824202167510986,11.328916774749755
0.005,log_distance,7.50473614087007,7.505262001367864,6.0285314245224,12.1566120262146
0.01,direct_extra_all_features,2.8630526379413905,2.875160506802647,1.897680285692215,4.750431129455566
0.01,direct_rf_all_features,2.8812704281788983,2.893959908012377,1.8929551503658293,4.759432734489441
0.01,wallpath_extra,2.966839214602491,2.980939462399059,1.9214761936664584,4.818668835639953
0.01,wallpath_rf,3.0016507847128038,3.0157349746999773,1.9234544043540955,4.840607913970947
0.01,wallpath_calibrated,3.004964164085984,3.018428469065023,2.0525504751205443,4.970574281692505
0.01,multi_wall_residual_idw,3.662554967930172,3.681028706998824,2.456034494876861,5.588402027130127
0.01,idw,4.226791240936065,4.248110468931707,3.113495775699616,6.925487844467163
0.01,direct_rf_sparse_anchor,5.024678025220698,5.024811853306393,3.6402273931503295,8.449758081436157
0.01,multi_wall,5.943409412606456,5.945145966765272,4.558371753692627,9.383792726516724
0.01,direct_rf_geometry,6.184521392150151,6.184457518990128,4.37391706609726,10.50977942085266
0.01,log_distance,7.4671650562617105,7.467630422615299,6.012729655265808,12.127714574813842
0.05,direct_extra_all_features,2.2144667830528344,2.264581181762847,1.3936795480251312,3.549409440517425
0.05,direct_rf_all_features,2.2274450067516853,2.27984989439339,1.3677350032329558,3.5269943976402285
0.05,wallpath_extra,2.24491106618243,2.3013423556244006,1.3223936996459962,3.477819317817688
0.05,wallpath_rf,2.2915881732888703,2.3483527469339,1.332083751916885,3.5026237363815307
0.05,wallpath_calibrated,2.411340190675119,2.468877104035081,1.6092360513210298,3.93258825969696
0.05,multi_wall_residual_idw,2.983198594999054,3.0607144544013947,1.9839355597496036,4.579792251586914
0.05,idw,3.372926405336415,3.460568940282344,2.4709622797966,5.501463379859924
0.05,direct_rf_sparse_anchor,5.008724719622082,5.009120324322665,3.63733645439148,8.427859939575196
0.05,multi_wall,5.86892297572054,5.870432494743222,4.545780791282654,9.35356297492981
0.05,direct_rf_geometry,7.068149633299869,7.0684563785516366,5.041464155197144,12.091741779327393
0.05,log_distance,7.444400712017063,7.444643610902067,5.992651900291443,12.09857187271118
0.1,direct_extra_all_features,1.9357189010007485,2.0314061928660783,1.1754661526679993,3.016132565498352
0.1,direct_rf_all_features,1.9484559277823827,2.0476773526567,1.133910620689392,2.9720145359039307
0.1,wallpath_extra,1.953376809425804,2.0561978940995136,1.0841979101896286,2.9053718202114105
0.1,wallpath_rf,1.988304976962656,2.091952946978654,1.0916176068782806,2.924379830598831
0.1,wallpath_calibrated,2.1818268139217456,2.295051529755386,1.4313795063495636,3.542545127868652
0.1,multi_wall_residual_idw,2.75063059611994,2.899425247775528,1.7961860494613648,4.231422093391418
0.1,idw,3.0829758919290176,3.249748471173093,2.226505909442902,5.046079960823059
0.1,direct_rf_sparse_anchor,4.965102235739556,4.965684644548907,3.613063312530517,8.366909381866455
0.1,multi_wall,5.86041936342659,5.862528963882795,4.543767440795898,9.33751902961731
0.1,direct_rf_geometry,6.473623057771053,6.474123823443455,4.663387173652649,10.973644521713258
0.1,log_distance,7.441543515295524,7.442186085719439,5.991299812316894,12.084321649551391
